regulation_project_id;Мероприятия, необходимые для достижения целей регулирования;Сроки мероприятий;Описание ожидаемого результата;Объем финансирования;Источники финансирования
59099;нет;нет;нет;нет;нет
59105;нет;нет;нет;нет;нет
59113;Принятие предложенного проекта федерального закона;I квартал 2017 года;Решение проблемы, указанной в пункте 1.4;Финансирование не предусмотрено;Финансирование не предусмотрено
59123;Росрыболовство Заключение договоров с некоммерческими рыбоводными хозяйствами.;С момента вступления в силу;Осуществление аквакультуры (рыбоводства) на основании договоров безвозмездного пользования;В пределах лимитов бюджетных ассигнований, доведенных Росрыболовству;Бюджетное финансирование
59125;Информация уточняется.;Информация уточняется.;Информация уточняется.;Информация уточняется.;Информация уточняется.
59142;не потребуются;не потребуются;нет;не потребуется;не потребуется
59161;Вышеуказанные мероприятия не требуются;-;-;-;-
59173;Кроме вступления в силу нормативного правового акта установленным законодательством порядком разработка дополнительных мероприятий не требуется.;Не устанавливаются;Обеспечивается возможность доступа уполномоченных государственных органов, осуществляющих оперативно-розыскную деятельность, к базам данных и хранилищам информации;Финансирование не требуется;Не требуются
59193;Кроме вступления в силу нормативного правового акта установленным законодательством порядком разработка дополнительных мероприятий не требуется.;Дата регистрации нормативного правового акта в Минюсте России.;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения негативных последствий, указанных в п. 3.2;Дополнительного финансирования не требуется.;Не требуются
59198;Вступление в силу нормативного правового акта установленным законодательством порядком;После регистрации нормативного правового акта в Минюсте России;Решение проблемы по хранению информации в целях безопасности государства;По оценкам операторов порядка 1,2 трлн. рублей;Собственные средства организаторов распространения информации сети Интернет
59201;Не требуются.;-;-;-;-
59208;Не требуются;Отсутствуют;Отсутствует;Отсутствует;Отсутствуют
59212;Анализ статистических данных Минкомсвязи России, Россвязи, Роскомнадзора по нарушениям требований нормативных правовых актов по СОРМ.;Не устанавливаются.;Обеспечивается возможность доступа уполномоченных государственных органов, осуществляющих оперативно-розыскную деятельность, к базам данных о пользователях сети «Интернет», а также содержанию сообщений пользователей сети «Интернет».;По оценке Mail.ru Group, разовые капитальные затраты на реализацию проекта составят $1,2–2 млрд. Дополнительные операционные издержки каждый год составят примерно $80–100 млн. Еще $35–40 млн потребуется для доработки программного обеспечения, которое необходимо для хранения пользовательской информации. На это понадобится 3–5 лет. По оценке Mail.ru Group, для хранения информации потребуется дополнительно 4500 стоек в дата-центрах. Минимальный срок строительства такого дата-центра — 3–4 года. «Рабмлер» оценил, что расходы компании вырастут в два раза. «Яндекс» затруднился оценить расходы.;За счет собственных средств организаторов распространения информации в сети «Интернет».
59216;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
59234;Проведение публичного обсуждения проекта акта с субъектами предпринимательской и иной деятельности, а также его согласование с федеральными органами исполнительной власти.;-;-;-;-
59244;нет;нет;нет;нет;нет
59297;Принятие федерального закона;2017 год;реализация Федерального закона уже в 2017 году должна показать эффективность распространения режима свободного порта Владивосток на новые муниципальные образования;0;0
59300;-;-;-;-;-
59301;-;-;-;-;-
59306;нет;нет;нет;нет;нет
59309;Принятие организационных мер по формированию, опубликованию и актуализации Списка;2017 год;Размещение и поддержание Списка в актуальном состоянии;нет;За счет бюджетных ассигнований, предусмотренных ФТС России
59312;Не требуются;Не требуются;Не требуются;Не требуются;Не требуются
59315;-;-;-;-;-
59319;отсутствуют;отсутствуют;отсутствует;отсутствует;отсутствуют
59320;-;-;-;-;-
59322;Рассмотрение и принятие законопроекта;1 января 2017 г.;Вступление законопроекта в законную силу; ; 
59330;нет;нет;нет;нет;нет
59334;Издание нормативного правового акта ФТС России, отменяющего компетенцию таможенных органов по совершению таможенных операций в отношении определенных видов товаров;Отсутствуют;Отсутствует;Отсутствует;Отсутствует
59354;Заключение соглашений о предоставлении субсидий;С момента вступления в силу изменений в статью 78 Бюджетного кодекса;Улучшение инвестиционного климата, увеличение производственных мощностей, количества рабочих мест, налоговой базы региона;В пределах бюджетных ассигнований Минвостокразвития России;В пределах бюджетных ассигнований Минвостокразвития России
59355;Отсутствуют;Отсутствуют;Отсутствует;Отсутствует;Отсутствует
59357;"Вступление в силу нормативного правового акта; Обеспечение работников соответствующими средствами индивидуальной защиты";"4 квартал 2017 года; с 4 квартала 2017 года";"Действующий нормативный правовой акт; Снижение производственного травматизма и профессиональной заболеваемости работников";отсутствует;отсутствует
59358;"Вступление в силу нормативного правового акта;"; ; ; ; 
59358;Обеспечение работников соответствующими средствами индивидуальной защиты;с 4 квартала 2017 года;Снижение производственного травматизма и профессиональной заболеваемости работников;отсутствует;отсутствуют
59359;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
59367;не требуются;без срока;не требуется;0 руб.;не требуются
59378;нет;нет;нет;нет;нет
59386;нет;нет;нет;нет;нет
59395;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
59400;нет;нет;нет;нет;нет
59442;Принятие проекта постановления Правительства Российской Федерации ; ; ; ; 
59442;«О внесении изменения в пункт 18 типового договора о подключении (технологическом присоединении) к централизованным системам горячего водоснабжения»;2016 г.;«О внесении изменения в пункт 18 типового договора о подключении (технологическом присоединении) к централизованным системам горячего водоснабжения»;Не требуется;Не требуется
59474;Принятие рассматриваемого проекта постановления Правительства Российской Федерации;2017;Распределение субъектам Российской Федерации субсидии на софинансирование региональных программ повышения мобильности трудовых ресурсов;-;-
59475;принятие проекта постановления;2017 г.;соблюдение Правил дорожного движения, снижение количества ДТП и уровня загрузки дорог;данные отсутствуют;бюджеты различных уровней бюджетной системы Российской Федерации
59482;нет;нет; ;нет;нет
59496;дополнительных мероприятий не требуется;-;-;-;-
59505;требует дополнительной оценки;-;-;-;-
59543;не предусмотрено;-;-;-;-
59554;нет;нет;нет;нет;нет
59578;подготовка и утверждение порядка выдачи и формы подтверждений, а также порядка совершения таможенных операций при вывозе из Российской Федерации продукции, произведенной в рамках соглашения о разделе продукции;- 2017;- идентификация ввозимых товаров, подтверждение на момент вывоза продукции факта ее производства в рамках соглашений о разделе продукции идентификация ввозимых товаров, подтверждение на момент вывоза продукции факта ее производства в рамках соглашений о разделе продукции идентификация ввозимых товаров, подтверждение на момент вывоза продукции факта ее производства в рамках соглашений о разделе продукции идентификация ввозимых товаров, подтверждение на момент вывоза продукции факта ее производства в рамках соглашений о разделе продукции идентификация ввозимых товаров, подтверждение на момент вывоза продукции факта ее производства в рамках соглашений о разделе продукции;- отсутствет;- отсутствют
59590;Нет;Нет;Нет;Нет;Нет
59593;нет;нет;нет;нет;нет
59605;нет;нет;нет;нет;нет
59617;Принятие проекта федерального закона;Указан в п. 13.1.;Достижение заявленных целей;Не требуется;-
59623;Кроме вступления в силу правового акта установленным законодательством порядком разработка дополнительных мероприятий не требуется.;Не устанавливаются.;Обеспечивается возможность доступа уполномоченных государственных органов, осуществляющих оперативно-розыскную деятельность, к базам данных об абонентах, а также содержанию сообщений пользователей услугами связи.;Дополнительного финансирования не требуется;Не требуется
59625;Отсутствуют.;Отсутствуют.;Отсутствуют.;0;Отсутствуют.
59640;Нет;Нет;Нет;Нет;Нет
59666;нет;нет;нет;нет;нет
59667;нет;нет;нет;Реализация предлагаемого способа регулирования не потребует дополнительного финансирования из средств федерального бюджета;нет
59668;Принятие предлагаемых изменений;I квартал 2018 года;Принятие предлагаемых изменений;0;нет
59694;Издание информационных писем, опубликование в специализированных журналах информации о вступлении в силу Федеральных норм и правил в области промышленной безопасности «Правил безопасности при обогащении и брикетировании углей»;150;Ознакомление с Федеральными нормами и правилами в области промышленной безопасности «Правил безопасности при обогащении и брикетировании углей» и принятие к руководству углеобогатительными организациями, надзорными и контролирующими организациями;Не требуется;Не требуется
59719;не потребуются;нет;нет;нет;нет
59727;не потребуются;нет;нет;нет;нет
59747;Утверждение Роскомнадзором требования к способам (методам) ограничения доступа к информационным ресурсам, а также к информационным сообщениям об ограничении доступа к сайтам в сети «Интернет»;Издание приказа в течении 60 дней после принятия законопроекта;Ограничение доступа только к ресурсам, содержащим запрещенную информацию;расходов федерального бюджета принятие законопроекта не потребует;расходов федерального бюджета принятие законопроекта не потребует
59757;не требуются;не применимы;не применимы;не применимы;не применимы
59775;Принятие нормативных правовых актов;12 месяцев;Федеральными органами исполнительной власти своими нормативными правовыми актами и технической документацией соответствующие положения о сертификации, перечень критически важного энергетического оборудования, методики оценки базовых (обязательных) функций и информационной безопасности систем удаленного мониторинга и диагностики технического состояния критически важного энергетического оборудования, провести актуализацию и утверждение действующих методических, руководящих документов по определению профилей защиты средств обеспечения информационной безопасности систем удаленного мониторинга и диагностики технического состояния критически важного энергетического оборудования;Не требуется;Не требуется
59786;Вступление в силу приказа;В установленном порядке;предотвращение угроз здоровью и безопасности людей;В пределах бюджетного финансирования;Федеральный бюджет
59787;Осуществление Росрыболовством государственного контроля и надзора за соблюдением правил рыболовства для Байкальского рыбохозяйственного бассейна, утвержденных Минсельхозом России;круглогодично;Обеспечение сохранения и рационального использования водных биоресурсов;В пределах лимитов бюджетного ассигнования;Бюджетное финансирование
59788;Реализация требований нормативного правового акта, а также реализация контрольных (надзорных) полномочий;постоянно и в соответствии с законодательством, регулирующим осуществление контрольных (надзорных) мероприятий;обеспечение санитарно-эпидемиологического благополучия населения;Дополнительное финансирование не предусмотрено;Не требуются
59795;торинга генно-инженерно-модифицированных организмов и продукции, полученной с применением таких организмов или содержащей такие организмы, и контроля за выпуском таких организмов в окружающую среду в целях обеспечения безопасности;Отсутствуют;Данные мониторинга генно-инженерно-модифицированных организмов и продукции, полученной с применением таких организмов или содержащей такие организмы, и контроля за выпуском таких организмов в окружающую среду в целях обеспечения безопасности;Дополнительно не предусмотрен;В рамках существующего финансирования
59826;нет;нет;нет;нет;нет
59828;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
59840;издание акта;180 дней;изданный акт;0;федеральный бюджет
59841;Издание акта;180 дней;Изданный акт;0;Федеральный бюджет
59843;Издание акта;180 дней;Изданный акт;0;Федеральный бюджет
59855;не предусмотрены;не предусмотрены;не предусмотрены;не предусмотрены;не предусмотрены
59857;нет;нет;нет;нет;нет
59858;Вступление в силу нормативного правового акта установленным законодательством порядком;После регистрации и нормативного правового акта в Минюсте России;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения проблемы, указанной в п. 3.2;Дополнительного финансирования не требуется;Не требуются
59865;Издание информационных писем, опубликование в специализированных журналах информации о вступлении в силу Федеральных норм и правил в области промышленной безопасности «Правил безопасности при разработке угольных месторождений открытым способом»;180;Ознакомление с Федеральными нормами и правилами в области промышленной безопасности «Правил безопасности при разработке угольных месторождений открытым способом» и принятие к руководству угледобывающими организациями, надзорными и контролирующими организациями;Не требуется;Не требуется
59867;Вступление в силу нормативного правового акта установленным законодательством порядком;После регистрации и нормативного правового акта в Минюсте России;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения проблемы, указанной в п. 3.2;Дополнительного финансирования не требуется;Не требуются
59869;Не предусмотрены;-;-;-;-
59925;проведение мероприятий не требуется;-;-;-;-
59958;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
59964;нет;нет;нет;нет;нет
60012;нет;нет;нет;нет;нет
60014;Информирование налоговых органов и налогоплательщиков об утверждении новых форм заявления и уведомления о подтверждении права налогоплательщика на получение социальных налоговых вычетов, предусмотренных подпунктами 2, 3 и 4 (в части социального налогового вычета в сумме страховых взносов по договору (договорам) добровольного страхования жизни) пункта 1 статьи 219 Налогового кодекса Российской Федерации;2017;качественное и своевременное исполнение налоговыми органами обязанности по выдаче уведомлений;не требуется;нет
60015;Вышеуказанные мероприятия не требуются;-;-;-;-
60031;(Мероприятие 1); ; ; ; 
60031;(Мероприятие N);отсутствует;-;-;-
60032;отсутствуют;нет;нет;0;нет
60042;-;-;-;-;-
60066;издание приказа Минтранса России;возможно короткий срок;Создание механизма учета плавучих объектов;не предусматривается;отсутствует
60068;нет;нет;нет;нет;нет
60073;не предусмотрены;не требуются;не требуются;не требуются;не требуются
60093;Вступление в силу проекта акта;февраль 2017 года;Корректировка отдельных положений Порядка обучения по охране труда и проверки знаний требований охраны труда работников организаций, утвержденного постановлением Министерства труда и социального развития Российской Федерации и Министерства образования Российской Федерации от 13 января 2003 г. № 1/29.;отсутствует;отсутствуют
60099;принятие федерального закона; ; ; ; 
60099;(Мероприятие N);-;-;-;-
60101;Осуществление уполномоченными органами власти государственного контроля и надзора за соблюдением правил рыболовства для Азово-Черноморского рыбохозяйственного бассейна, утвержденных Минсельхозом России;круглогодично;Обеспечение сохранения и рационального использования водных биоресурсов;В пределах лимитов бюджетного ассигнования;Бюджетное финансирование
60109;нет;нет;нет;нет;нет
60125;Выдача разрешений на добычу (вылов) водных биоресурсов в форме электронного документа, подписанного электронной подписью уполномоченного должностного лица федерального органа исполнительной власти в области рыболовства;Круглогодично;снижение временных, организационных и финансовых издержек Росрыболовства и пользователей водных биоресурсов при подаче заявлений на выдачу разрешений на добычу (вылов) водных биоресурсов, их оформлении, выдаче и внесении изменений в указанные разрешения;В пределах лимитов бюджетного ассигнования;Бюджетное финансирование
60129;нет;нет;нет;нет;нет
60144;"Принятие ведомственного акта Министерства Российской Федерации по развитию Дальнего Востока «Об утверждении Правил осуществления мониторинга реализации инвестиционных проектов в рамках, заключенных инвестиционных соглашений и соглашений о предоставлении субсидии между Министерством Российской Федерации по развитию Дальнего Востока ";2017 год;Контрол за соблюдением инвесторами инвестиционных проектов принятых на себя обязательств по реализации проекта и строительству объектов инфраструктуры, своевременное выявление рисков;-;-
60144;и инвесторами инвестиционных проектов»;2017 год;Контрол за соблюдением инвесторами инвестиционных проектов принятых на себя обязательств по реализации проекта и строительству объектов инфраструктуры, своевременное выявление рисков;-;-
60152;(Мероприятие 1); ; ; ; 
60152;(Мероприятие N);отсутствует;-;-;-
60155;Вступление в силу приказа ФТС России;май 2017 года;Наличие утвержденного порядка действий уполномоченных должностных лиц таможенных органов при изъятии и уничтожении товаров, а также формы и порядка заполнения, учета и хранения актов о факте изъятия и актов об уничтожении запрещенной к ввозу продукции и форм журналов регистрации таких актов.;отсутствует;отсутствуют
60160;Отсутствуют.;Отсутствуют.;Отсутствует.;0;Отсутствует.
60166;Отсутствуют.;Отсутствуют.;Отсутствуют.;0;Отсутствуют.
60168;Нет;Нет;Нет;Нет;Нет
60177;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
60187;Издание приказа об утверждении устава службы на судах морского флота;2017;Улучшение ситуации с безопасностью мореплавания и предотвращение загрязнения с судов;нет;нет
60195;проведение мероприятий не требуется;-;-;-;-
60215;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
60246;Принятие проекта нормативного акта;апрель 2017 г.;принятие приказа Минэнерго России «О внесении изменений в Методические указания по проведению анализа обоснованности применения особых формул расчета ставок вывозных таможенных пошлин на нефть сырую, указанных в подпунктах 2 или 3 пункта 5 статьи 3.1 Закона Российской Федерации «О таможенном тарифе», утвержденные приказом Минэнерго России от 3 декабря 2013 г. № 868»;финансирование не требуется;финансирование не требуется
60260;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
60264;-;-;-;-;-
60267;нет;.;.;.;.
60296;Вышеуказанные мероприятия не требуются;-;-;-;-
60304;Принятие проекта нормативного акта;август 2017 года;принятие приказа Минэнерго России «Об утверждении порядка ведения раздельного учета доходов и расходов субъектами естественных монополий в сфере транспортировки газа по трубопроводам»;финансирование не требуется;финансирование не требуется
60335;"вступление в силу проекта приказа ФНС России ""Об утверждении формы и формата заявления российской организации о постановке на учет (снятии с учета) в налоговом органе в качестве налогового агента, указанного в пункте 7.1 статьи 226 Налогового кодекса Российской Федерации""";2016;постановка на учет налоговыми органами российских организаций в качестве налогового агента, указанного в пункте 7.1 статьи 226 Налогового кодекса Российской Федерации;не требуется;не требуется
60357;(Мероприятие 1); ; ; ; 
60357;(Мероприятие N);отсутствует;-;-;-
60359;Дополнить постановление Правительства Российской Федерации; ; ; ; 
60359;"от 13 января 2014 г. № 19 «Об установлении случаев, в которых при заключении контракта в документации о закупке указываются формула цены и максимальное значение цены контракта» (Собрание законодательства Российской Федерации, 2014, № 3, ст. 288) абзацем следующего содержания:";июнь 2017 г.;Принятие постановления повысит финансовую устойчивость специализированных организаций социального питания и поставщиков продуктов за счет гибкого ценообразования с учетом изменений рыночной конъюнктуры.;Принятие постановления не потребует выделения дополнительных средств из федерального бюджета.;Принятие постановления не потребует выделения дополнительных средств из федерального бюджета
60359;«заключение контракта на оказание услуг общественного питания; ; ; ; 
60359;и (или) поставку пищевых продуктов, закупаемых для организаций, осуществляющих образовательную деятельность, медицинских организаций, организаций социального обслуживания, организаций отдыха детей и их оздоровления, при условии установления в контракте зависимости цены контракта от уровня инфляции».;июнь 2017 г.;Принятие постановления повысит финансовую устойчивость специализированных организаций социального питания и поставщиков продуктов за счет гибкого ценообразования с учетом изменений рыночной конъюнктуры.;Принятие постановления не потребует выделения дополнительных средств из федерального бюджета.;Принятие постановления не потребует выделения дополнительных средств из федерального бюджета
60366;Отсутствуют;-;-;-;-
60402;разработка инструкций, методически х указаний и иных документов;С момента вступления в силу проекта федерального закона;Разъяснение положений проекта федерального закона;Отсутствует;Отсутсвтуют
60405;не потребуются;нет;нет;нет;нет
60408;не потребуются;-;-;-;-
60412;отсутсвует;отсутсвует;отсутсвует;отсутсвует;отсутсвует
60416;Рассмотрение и принятие проекта;1 января 2017 г.;Вступление проекта в законнную силу с момента подписания.; ; 
60426;вступление в силу приказа ФНС России «О внесении изменений в формы договоров об инвестиционном налоговом кредите, утвержденные приказом Федеральной налоговой службы от 29.11.2005 № САЭ-3-19/622@»;сроки не установлены;-;не требуется;не требуется
60431;Внесение изменений в постановление Правительства Российской Федерации ; ; ; ; 
60431;"от 19 марта 2014 г. № 209 ""Об утверждении Положения о представлении информации в Федеральную службу по финансовому мониторингу организациями, осуществляющими операции с денежными средствами или иным имуществом, и индивидуальными предпринимателями и направлении Федеральной службой по финансовому мониторингу запросов в организации, осуществляющие операции с денежными средствами или иным имуществом, и индивидуальным предпринимателя""";4 месяца с даты вступления в силу Федерального закона;Реализация обязанностей организаций, осуществляющих операции с денежными средствами и иным имуществом, связанных с представлением информации в уполномоченный орган в целях противодействия финансированию распространения оружия массового уничтожения.;Отсутствует;Отсутствует
60431;Внесение изменений в постановление Правительства Российской Федерации ; ; ; ; 
60431;"от 30 июня 2012 г. № 667 ""Об утверждении требований к правилам внутреннего контроля, разрабатываемым организациями, осуществляющими операции с денежными средствами или иным имуществом, и индивидуальными предпринимателями, и о признании утратившими силу некоторых актов Правительства Российской Федерации""";4 месяца с даты вступления в силу Федерального закона;Реализация прав и исполнение обязанностей в соответствии с требований проекта федерального закона в части разработки правил внутреннего контроля, в целях противодействия финансированию распространения оружия массового уничтожения;Отсутствует;Отсутствует
60431;Доработка ЕИС Федеральной службы по финансовому мониторингу (в части формирования перечня организаций и физических лиц, в отношении которых имеются сведения об их причастности к распространению оружия массового уничтожения, а также учета и обработки сведений об операциях подлежащих обязательному контролю, о приостановленных операциях и о принятых мерах по замораживанию (блокированию) денежных средств и иного имущества);В соответствии с планом информатизации;Реализация прав и исполнение обязанностей в соответствии с требований проекта федерального закона;1 230 000 рублей;Федеральная служба по финансовому мониторингу
60431;Доработка разделов официального сайта Федеральной службы по финансовому мониторингу с целью размещения перечня организаций и физических лиц, в отношении которых имеются сведения об их причастности к распространению оружия массового уничтожения;В соответствии с планом информатизации;Реализация прав и исполнение обязанностей в соответствии с требований проекта федерального закона;270 000 рублей;Федеральная служба по финансовому мониторингу
60431;Принятие акта Правительства Российской Федерации;4 месяца с даты вступления в силу Федерального закона;Реализация требований проекта федерального закона, связанных с формированием перечня организаций и физических лиц, в отношении которых имеются сведения об их причастности к распространению оружия массового уничтожения, доведение указанного перечня до сведения указанных организаций, осуществляющих операции с денежными средствами или иным имуществом, внесение дополнений и уточнений в названный перечень, а также порядок его опубликования;Отсутствует;Отсутствует
