regulation_project_id;Цели предлагаемого регулирования;Индикативные показатели;Единицы измерения индикативных показателей;Способы расчета индикативных показателей
52754;"Обеспечение прослеживаемости подконтрольных государственному ветеринарному надзору товаров; эффективности осуществления переданных органам исполнительной власти субъектов Российской Федерации полномочий; возможности осуществления бесперебойного производства сельскохозяйственной продукции организациями, имеющим средний и высокий уровень зоосанитарной защиты, в условиях карантина; единообразного подхода при установлении защитных зон и проводимых в них мероприятий; повышения эффективности осуществления проверочных мероприятий в целях защиты жизни и здоровья граждан и животных. Указанные меры направлены на улучшение эпизоотической ситуации и обеспечение ветеринарной безопасности на территорри Российской Федерации";Случаи возникновения болезней животных;Количество случаев ;Расчет не требуется
52755;Законопроект разработан в целях установления приоритетности использования при проектировании  межгосударственных стандартов в области изыскания, проектирования, строительства и ремонта автомобильных дорог, а также в области дорожно-строительных материалов и методов их испытаний;отсутствуют;отсутствуют;отсутствует
52772;-;-;-;-
52776;информация уточняется;информация уточняется;информация уточняется;информация уточняется
52778;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
52782;Наделение Россельхознадзора полномочиями по контролю за ввозом на территорию Российской Федерации генно-инженерно-модифицированных организмов и семян в пунктах пропуска через Государственную границу Российской Федерации и осуществлению мониторинга воздействия на человека и окружающую среду генно-инженерно-модифицированных организмов и продукции, полученной с применением таких организмов или содержащей такие организмы, и контроля за выпуском таких организмов в окружающую среду в пределах своей компетенции. ;не предусмотрены;-;-
52783;Совершенствование нормативного правового регулирования в сфере обращения лекарственных средств для ветеринарного применения, устранение имеющихся несоответсвий в отдельных законодательных актах Российской Федерации;Не прослеживается;Не прослеживается;Не прослеживается
52795;обеспечение осуществления мер по повышению эффективности реализации проектов развития автомобильных дорог и мероприятий по поддержанию их состояния в соответствии с нормативными требованиями, с учетом применения инновационных технологий и материалов;отсутствуют;отсутствуют;отсутствуют
52820;обеспечение осуществления мер по повышению эффективности реализации проектов развития автомобильных дорог и мероприятий по поддержанию их состояния в соответствии с нормативными требованиями, с учетом применения инновационных технологий и материалов;отсутствуют;отсутствуют;отсутствуют
52824;Расширение организационных полномочий Правительства Российской Федерации в сфере транспортной безопасности на воздушном транспорте, а также усиление мер по предупреждению совершения актов незаконного вмешательства, в том числе террористических актов в отношении объектов транспортной инфраструктуры и транспортных средств воздушного транспорта;Отсутствуют;Отсутствуют;Отсутствуют
52828;обеспечение осуществления мер по повышению эффективности реализации проектов развития автомобильных дорог и мероприятий по поддержанию их состояния в соответствии с нормативными требованиями, с учетом применения инновационных технологий и материалов;отсутствуют;отсутствуют;отсутствуют
52833;обеспечение осуществления мер по повышению эффективности реализации проектов развития автомобильных дорог и мероприятий по поддержанию их состояния в соответствии с нормативными требованиями, с учетом применения инновационных технологий и материалов;отсутствуют;отсутствуют;отсутствуют
52839;-;-;-;-
52844;-;-;-;-
52855;-;-;-;-
52857;Определение процедуры распределения квоты добычи (вылова) водных биологических ресурсов на инвестиционные цели;Объемы выделенных квот добычи (вылова) водных биологических ресурсов на инвестиционные цели;доли квоты (в %);По результатам проведения аукциона
52865;Нет;Нет;Нет;Нет
52869;Создание условий для обновления рыбопромыслового флота и модернизации рыбохозяйственной инфраструктуры в Российской Федерации.;Количество построенных судов рыбопромыслового флота и рыбоперерабатывающих заводов;штуки;Сравнение показателей за текущий год к отчетному году
52873;-;-;-;-
52879;Повышение эффективности мероприятий по контролю в рамках осуществления федерального государственного надзора в области промышленной безопасности, а также технического расследования причин аварий на опасном производственном объекте.;Мониторинг правоприменения  Отзывы и обращения граждан, организаций и их объединений с информацией о существующих проблемах и/или недостатках в нормативном правовом регулировании;Не определены;Не определены
52879;Повышение эффективности мероприятий по контролю в рамках осуществления федерального государственного надзора в области промышленной безопасности, а также технического расследования причин аварий на опасном производственном объекте.;Уменьшение/увеличение аварийных ситуаций на опасных производственных объектах;Количество событий в год;Сравнение с показателями за предыдущие периоды
52887;(Цель N);"(Показатель N.1)
(Показатель N.K)";-;-
52902;"Реализация изменений, внесенных Федеральными законами от 29.12.2015 № 396-ФЗ и от 03.07.2016 №249-ФЗ ""О внесении изменений в часть вторую Налогового кодекса Российской Федерации""";Количество переданных налоговых деклараций по транспортному налогу с расчетом суммы транспортного налога с применением налогового вычета на транспортные средства, имеющие разрешенную максимальную массу свыше 12 тонн, зарегистрированные в реестре транспортных средств системы взимания платы ;единицы;Мониторинг федеральным органом власти, осуществляющим государственный надзор (контроль) за соблюдением налогового законодательства
52945;"освобождение от налогообложения налогом на добавленную стоимость  при ввозе на территорию Российской Федерации сырья и комплектующих изделий, которые предназначены для производства товаров, указанных в подпункте 1 пункта 2 статьи 149 Налогового кодекса  и аналоги которых не производятся на территории Российской 
Федерации
";"Количество организаций, освобожденных от налогообложения  налогом на добавленную стоимость  при ввозе на территорию Российской Федерации сырья и комплектующих изделий, которые предназначены для производства товаров, указанных в подпункте 1 пункта 2 статьи 149 Налогового кодекса  и аналоги которых не производятся на территории Российской 
Федерации
";шт.;ФТС России
52964;-;-;-;-
52967;(Цель N);(Показатель N.1)(Показатель N.K);Нет ;Нет
52971;Утверждение Требований к инструкции по ветеринарному применению лекарственных препаратов;Не прослеживается;Не прослеживается;Не прослеживается
52973;Повышение качества проведения технического осмотра;не установлены;-;-
52975;Упорядочение процедуры искусственного прерывания беременности.;Отсутствуют;Отсутствуют;Отсутствуют
52987;Утверждение Порядка формирования регистрационного досье на  лекарственнный препарат для ветеринарного применения и требований к документам в его составе;Не прослеживается;Не прослеживается;Не прослеживается
52997;"Законопроектом вносятся изменения в Кодекс внутреннего водного транспорта Российской Федерации и Устав железнодорожного транспорта Российской Федерации               (в части уточнения норм по перевозке грузов повышенной опасности аналогично норме, включенной в Федеральный закон «О транспортной безопасности» в отношении перевалки грузов повышенной опасности в портах, расположенных на внутренних водных путях.
Кроме того, законопроектом предлагается внести изменения в Федеральный закон «О транспортной безопасности» в части установления порядков выдачи специальных разрешений на перевозку грузов повышенной опасности внутренним водным транспортом и железнодорожным транспортом с целью корреляции норм Федерального закона «О транспортной безопасности» с нормами Кодекса и Устава.
При этом специальные разрешения на перевозку грузов повышенной опасности железнодорожным транспортом планируется выдавать перевозчику, а не на каждое транспортное средство в отдельности
";Отсутствуют;Отсутствуют;Отсутствуют
53004;отсутствуют;отсутствуют;отсутствуют;отсутствуют
53007;Нет;Нет;Нет;Нет
53011;Повышение результативности торгов;Доля торгов признанных несостоявшимися в связи с отсутствием заявок;Проценты;Соотношение общего количества торгов, признанных несостоявшимися в связи с отсутствием заявок, к общему числу проведенных торгов 
53011;Повышение результативности торгов;Среднее количество заявок, поданных для участия в торгах;Единицы;Соотношение общего количества принятых заявок к общему числу торгов 
53011;Повышение результативности торгов;Изменение цены предмета торгов в ходе процедуры торгов;Единицы;Соотношение начальной цены предмета торгов и цены, предложенной победителем
53014;Контроль за деятельностью хозяйствующих субъектов, осуществляющих перевозки для собственных нужд. Урегулирование сферы перевозок детей школьными автобусами.;Отсутствуют;Отсутствуют;Отсутствуют
53022;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
53024;Утверждение Правил заключения договора пользования рыбоводным участком на новый срок без проведения торгов (конкурсов, аукционов) с рыбоводным хозяйством, надлежащим образом, исполнившим свои обязанности по договору пользования рыбоводным участком и Правил изменения условий договора пользования рыбоводным участком при его заключении на новый срок без проведения торгов (конкурсов, аукционов).;Количество заключенных договоров;Штуки;Сравнение показателей за текущий год к отчетному году
53042;Совершенствование законодательной базы в сфере профессиональных и квалификационных требований, предъявляемых к работникам юридических лиц и индивидуальных предпринимателей, осуществляющих перевозки автомобильным транспортом и городским наземным электрическим транспортом;отсутствуют;-;-
53043;(Цель N);"(Показатель N.1)
(Показатель N.K)";"Нет
Нет";"Нет
Нет"
53080;Утверждение требований к объему тары для лекарственных препаратов, содержащих этиловый спирт;Отсутствуют;Отсутствуют;Отсутствуют
53109;Осуществление отнесения продукции к промышленной продукции, не имеющей произведенных в Российской Федерации аналогов, с учетом проведения экспертизы определения отличий параметров продукции от параметров произведенной в Российской Федерации промышленной продукции в форме государственной услуги;Не устанавливаются;Не устанавливаются;Не устанавливаются
53111;Обеспечение возможности выдачи заключения о подтверждении производства промышленной продукции на территории Российской Федерации в форме государственной услуги;Не устанавливаются;Индикативные показатели не устанавливаются;Индикативные показатели не устанавливаются
53125;Сохранение и  рациональное использование водных биоресурсов.;Величина запаса видов водных биоресурсов в водных объектах рыбохозяйственного значения Северного рыбохозяйственного бассейна, обеспечивающая сохранение и рациональное использование водных биоресурсов.;Тыс. тонн;Применяемые научными рыбохозяйственными организациями методики расчетов величины запаса водных биоресурсов в водных объектах рыбохозяйственного значения Северного рыбохозяйственного бассейна. Сравнение показателей за текущий год к уровню года предшествующего.
53135;Совершенствование регулирования использования рыбоводными хозяйствами водных объектов, расположенных на землях сельскохозяйственного назначения.;Количество договоров.;Штуки;Сравнение показателей за текущий год к отчетному году
53146;"1. Контроль за правильностью исчисления и уплаты (удержания) налога
2. Контроль за понотой и своевременностью представления формы 2_НДФЛ";"сумма уплаченного налога на доходы физических лиц,
количество представленных сведений о доходах физических лиц";"млрд.руб.

единиц";"форма статистической налоговой отчетности № 1-НМ
форма налоговой отчетности № 5-НДФЛ"
53176;"Внесение изменений в Федеральный закон от 29 декабря 2012 № 273-ФЗ ""Об образовании в Российской Федерации""";Нет;Нет;Нет
53255;Исключение дублирования требований, содержащихся в нормативных правовых актах в сфере охраны, безопасности и условий труда, и, как следствие, снижение административной нагрузки на работодателей;Количество проверок работодателей органами надзора;шт.;отсутствует
53262;Обеспечение единообразной практики применения положений Федерального закона при осуществлении уполномоченными органами переданных полномочий, а также недопущение нарушения прав организаций, осуществляющих образовательную деятельность на территории нескольких субъектов Российской Федерации.;нет;нет;нет
53275;утверждение форм документа о выявлении недоимки, требования об уплате налога, сбора, страховых взносов, пени, штрафа, процентов, а также документов, используемых налоговыми органами при применении обеспечительных мер и взыскании задолженности по указанным платежам при наличии оснований, предусмотренных Федеральным законом от 03.07.2016 № 243-ФЗ;-;-;-
53291;информация уточняется;информация уточняется;информация уточняется;информация уточняется
53293;(Цель N);"(Показатель N.1)
(Показатель N.K)";-;-
53297;Урегулирование ряда вопросов в отношении порядка составления счетов-фактур, ведения журнала учета, книг покупок и  продаж.;Количественные показатели не установлены ;-;-
53308;Повышение трудовой мобильности граждан и привлечение граждан для трудоустройства в субъекты Российской Федерации, отнесенные к территориям приоритетного привлечения трудовых ресурсов.;-;Чел.;-
53315;Приведение приказа ФНС России от 21.07.2014 № ММВ-7-8/378@ в соответствие с изменениями, внесенными в статью 32 Налогового кодекса Российской Федерации;-;-;-
53317;утверждение Порядка изменения срока уплаты налога, сбора, страховых взносов, а также пени и штрафа налоговыми органами;-;-;-
53324;Уточняется;Уточняется;Уточняется;Уточняется
53354;Представление корректно заполненной налоговой декларации по разработанной форме ;Представление налоговых деклараций по утвержденной форме;Количество представленных налоговых деклараций;Результаты контрольной работы отражаются в статистической налоговой отчетности
53382;отсутствуют;отсутствуют;отсутствуют;отсутствуют
53386;-;-;-;-
53388;нет;нет;нет;нет
54663;(Цель N);(Показатель N.1);Отсутствует;Отсутствует
54679;Проектом постановления предусматривается дополнить Перечень  разделом 10 «Услуги, непосредственно связанные с услугами, которые оказываются репозитарием в рамках лицензируемой деятельности», а также исключить из  соответствующих разделов  Перечня отсылки к утратившим силу положениям Федерального закона от 22 апреля 1996 г. № 39-ФЗ «О рынке ценных бумаг».;"показатели 
не установлены
";-;-
54686;отсутствуют;отсутствуют;отсутствуют;отсутствуют
54690;отсутствуют;отсутствуют;отсутствуют;отсутствуют
54693;-;-;-;-
54700;-;-;-;-
54708;Установление форм документов, используемых при проведении налогового мониторинга, и требований к ним;количество документов;штука;суммирование количества документов
54719;отсутствуют;отсутствуют;отсутствуют;отсутствуют
54734;Отсутствуют.;Отсутствуют.;Отсутствуют.;Отсутствуют.
54737;реализация возможности постановки на учет (снятия с учета) в налоговых органах организаций и физических лиц в качестве плательщиков страховых взносов;количество представленных документов;шт;суммирование количества представленных документов
54744;Определение процедуры подготовки и заключения договора о закреплении и предоставлении доли квоты добычи (вылова) водных биологических ресурсов на инвестиционные цели, примерной формы указанного договора;Количество заключенных договоров ;шт;Информация Росрыболовства
54746;нет;нет;нет;нет
54749;нет;нет;нет;нет
54768;нет;нет;нет;нет
54769;Перевод СОРЭ в юрисдикцию РФ;количество СОРЭ, инкорпорированных в юрисдикции РФ;Штуки;арифметический подсчет
54783;-;-;-;-
54788;нет;НЕТ;НЕТ;НЕТ
54815;отсутствуют;отсутствуют;отсутствуют;отсутствуют
54822;нет;нет;нет;нет
54845;-;Служащие Банка России;Количество служащих Банка России;На основе официальных данных Банка России
54854;отсутствуют ;отсутствуют ;отсутствуют ;отсутствуют 
54863;издание приказа «Об утверждении формы решения об уточнении платежа и порядка ее заполнения и о признании утратившим силу приказа ФНС России от 02.04.2007 №ММ-3-10/187@»;-;-;-
54881;отсутствуют;отсутствуют;отсутствуют;отсутствуют
54884;не предусмотрены;нет;нет;нет
54885;отсутствуют;отсутствуют;отсутствуют;отсутствуют
54898;"Совершенствование порядка подачи документов заявителем для заключения договора, обеспечивающего поставку электрической энергии (мощности) на розничном рынке электрической энергии, до завершения мероприятий по технологическому присоединению посредством взаимодействия заявителей с субъектами розничных рынков электрической энергии в режиме ""одного окна"". ";отсутствуют;отсутствуют;отсутствуют
54905;"1. Упрощение требований к комплектам документов для получения Свидетельств СПС. 
2. Конкретизация списка документов, предоставляемого заявителем на получение свидетельства СПС.";Не предусмотрены;Не предусмотрены.;Не предусмотрены.
54906;Решение проблемы, указанной в п. 3.1, и предупреждение возникновения проблемы, указанной в п.3.2;отсутствуют;отсутствуют;отсутствуют
54924;-;-;-;-
54930;Приведение в соответствие норм и терминологии действующей редакции Правил проведения аукционов с Законом о рыболовстве;Количество проведенных аукционов;шт;Протоколы заседаний комиссий по организации и проведению аукциона
54954;нет;нет;нет;нет
54955;Появление аттестованных специалистов ответственных за обеспечение безопасности дорожного движения ;Количество аттестованных специалистов ответственных за обеспечение безопасности дорожного движения ;Человек;статистический учет
54961;--;----;----;----
54970;-;-;-;-
54982;-;-;-;-
54995;отсутствуют;"-
(Показатель N.K)";"-
-";"-
-"
55013;вступление в силу приказа ФНС России « «Об утверждении форм документов, используемых налоговыми органами при осуществлении зачета и возврата сумм излишне уплаченных (взысканных) налогов, сборов, страховых взносов, пеней, штрафов»;-;-;-
55112;отсутствуют;-;-;-
55135;-;отсутствует;отсутствует;отсутствует
55137;Преобразование Объединения РОСИНКАС в акционерное общество «Российское объединение инкассации».;Отсутствуют;Отсутствуют;Отсутствуют
55152;Наделение руководителей, заместителей руководителей и иных должностных лиц (сотрудников) структурных подразделений отрядов ФПС, в сферу деятельности которых входят вопросы организации и осуществления федерального государственного надзора в области защиты населения и территорий от чрезвычайных ситуаций природного и техногенного характера, полномочиями по осуществлению федерального государственного надзора в области защиты населения и территорий от чрезвычайных ситуаций природного и техногенного характера;Отсутствуют;Отсутствуют;Отсутствуют
55157;"Утверждение порядка определения стоимости работ по культуртехнической мелиорации, необходимых для приведения 
земельного участка 
из земель сельскохозяйственногоназначения 
в состояние, пригодное для ведения сельского хозяйства
";Отсутствуют;Отсутствуют;Расчет не требуется
55240;Повышение исполнения установленных требований в области пожарной безопасности и защиты населения и территории от чрезвычайных ситуаций;Отсутствуют;Отсутствуют;Отсутствуют
55251;Исключение из-под государственного контроля предусмотренных статьями 27 и 29 Закона о защите конкуренции сделок, иных действий в отношении кредитных организаций, совершение которых не окажет существенного влияния на состояние конкуренции.;Кредитные организации, величина стоимости активов которых составляет от 29 до 31 млрд. руб.;Количество кредитных организаций, величина стоимости активов которых составляет от 29 до 31 млрд. руб.;отсутствуют
55280;отсутствуют;отсутствуют;отсутствуют;отсутствуют
55283;-;-;-;-
55292;утверждение порядка направления налогоплательщику требования об уплате налога, сбора, страховых взносов, пени, штрафа, процентов в электронной форме по телекоммуникационным каналам связи при наличии оснований, предусмотренных Федеральным законом от 03.07.2016 № 243-ФЗ;-;-;-
55293;В целях развития товарной аквакультуры (товарного рыбоводства) в Российской Федерации.;Количество договоров аренды на земельные участки.;Штуки;Сравнение показателей за текущий год к отчетному году
55300;отсутствуют ;отсутствуют ;отсутствуют ;отсутствуют 
55301;отсутствуют;отсутствуют;отсутствуют;отсутствуют
55311;Уплата сбора за пользование объектами водных биологических ресурсов на территории Российской Федерации;Собираемость сбора;млрд.рублей;Данные из формы сведений о полученных разрешениях на добычу (вылов) водных биоресурсов, суммах сбора за пользование объектами водных биоресурсов, подлежащих уплате в виде разового и регулярных взносов.
55315;Дипломирование членов экипажей судов внутреннего плавания;нет;нет;нет
55324;"Осуществление мониторинга воздействия 
на человека и окружающую среду генно-инженерно-модифицированных организмов и продукции, полученной с применением таких организмов 
или содержащей такие организмы, и контроля за выпуском таких организмов в окружающую среду.";не предусмотрены.;-;-
55362;-;-;-;-
55382;Установление требований к организации системы внутреннего контроля;количество документов;штука;суммирование количества документов
55399;Соответствие нормам действующего законодательства Российской Федерации;Степень удовлетворенности потребителей качеством услуг в области оценочной деятельности;проценты;Расчет среднего арифметического значения показателя
55411;Совершенствование порядка реализации лома и отходов черных и цветных металлов компаниями с государственным участием   ;Количественные и качественные, отражающие эффективность произведенных продаж  ;проценты ;Определение возросшей долей прибыли после введения предлагаемого правового регулирования  
55433;отсутствуют;отсутствуют;отсутствуют;отсутствуют
55447;Установление возможности для пассажира воздушного судна пользоваться посадочным талоном в электронной форме.;нет;нет;нет
55471;нет;нет;нет;нет
55496;Внедрение риск-ориентированных подходов к организации государственного контроля (надзора) за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права, позволит  планировать контрольно-надзорную деятельности, на анализе структуры нарушений трудового законодательства в различных отраслях и видах экономической деятельности,в том числе в зависимости от численности работающих и других факторов, оценки рисков причинения вреда в случае нарушений трудового законодательства, классификации областей риска, определении дифференцированных показаний (критериев).;"Частота нарушений на одну проверку(вероятности нарушений обязательных требований; показатель потенциального вреда непосредственно жизни и здоровью работников; показатель потенциального вреда иным правам и законным интересам работников";шт.;По формулам каждые 5 лет
55502;-;-;-;-
55527;Установление дополнительных требований по обеспечению безопасности дорожного движения при перевозке пассажиров и грузов автомобильным и городским наземным электрическим транспортом.;нет;неьт;нет
55533;-;-;-;-
55569;информация уточняется;информация уточняется;информация уточняется;информация уточняется
55570;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
55593;-;-;-;-
55595;Внесение изменений в статью 5 Федерального закона от 23 августа 1996 года № 127-ФЗ «О науке и государственной научно-технической политике» и статью 103 Федерального закона от 29 декабря 2012 года № 273-ФЗ «Об образовании в Российской Федерации» с целью расширения возможностей научных и образовательных организаций по распоряжению принадлежащими им правами на результаты интеллектуальной деятельности;нет;нет;нет
55598;создание благоприятных условий при осуществлении субъектами транспортной инфраструктуры деятельности;отсутствуют;отсутствуют;отсутствуют
55604;Введение в обращение биомедицинских клеточных продуктов.; ; ; 
55619;Совершенствование законодательства Российской Федерации о недрах в целях вовлечения в освоение трудноизвлекаемых запасов (ресурсов) нефти;Отсутствуют;Отсутствуют;Отсутствуют
55635;Введение в обращение биомедицинских клеточных продуктов.; ; ; 
55650;-;-;-;-
55655; Обеспечение единого нормативного правового регулирования отношений в области химической безопасности;отсутствуют;отсутствуют;отсутствуют
55658;Обеспечение единого нормативного правового регулирования отношений в области биологической безопасности;отсутствуют;отсутствуют;отсутствуют
55668;Снижение стоимости мероприятий по выводу объекта электроэнергетики из эксплуатации;Отсутсвуют;Отсутсвуют;Отсутсвуют
55731;отсутствуют;отсутствуют;отсутствуют;отсутствуют
55732;Снижение избыточных административных обязанностей для субъектов предпринимательской деятельности;Рост числа судоходных компаний, перевозок на внутренних водных путях;"шт.
Тонно/км
";Статистический учет по соответствующим показателям
