regulation_project_id;Описание новых или изменения существующих функций, полномочий, обязанностей или прав;Порядок реализации;Оценка изменения трудозатрат и (или) потребностей в иных ресурсах;Наименование органа
59787;отсутствуют;нет;нет;Росрыболовство
59788;Отсутствуют;Не требуется;Не требуется;Новые функции, полномочия, обязанности и права федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации и органов местного самоуправления проектом нормативного правового акта не предусмотрены
59826;нет;нет;нет;нет
59828;утверждение порядков осуществления органами субъектов РФ различных полномочий;издание соответствующих приказов;нет данных;Минсельхоз России
59840;Нет;нет;нет;Росавиация
59841;Нет;Нет;Нет;Росавиация
59843;Нет;Нет;Нет;Росавиация
59855;отсутствует;не требуется;не требуется;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено
59865;Новые функции, полномочия, обязанности и права федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации и органов местного самоуправления подготавливаемыми Федеральными нормами и правилами в области промышленной безопасности не предусмотрены;не предусмотрены;не предусмотрены;Ростехнадзор и МЧС России
59925;Установление минимального срока договора аренды более трех лет в зависимости от вида разрешенного использования земельного участка и с учетом местных условий ведения сельскохозяйственного производства;Принятие нормативного правового акта субъекта Российской Федерации;(законодательные (представительные) органы государственной власти 82 субъектов Российской Федерации);Законодательные (представительные) органы государственной власти субъектов Российской Федерации
59958;не требуется;____;____;___
60012;-;-;-;новые функции, полномочия, права и обязанности органов не вводятся
60015;(N.K);Отсутствует;Отсутствует;вышеуказанные органы отсутствуют
60031;"(N.1)
(N.K)";"отсутствует
отсутствует";"отсутствует
отсутствует";(Орган N)
60032;нет;нет;нет;нет
60042;-;-;-;новые функции, полномочия, обязанности и права федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации и органов местного самоуправления не возникают 
60066;отсутствуют;отсутствуют;отсутствуют;не установлены
60073;отсутствует;не требуется;не требуется;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено
60099;"Изменение срока начала применения льготного периода при отсутствии прибыли у организации после получения статуса резидента территории опережающего социально-экономического развития либо статуса резидента свободного порта Владивосток
(N.K)";"Внесении изменения в статью 284.4 части второй Налогового кодекса Российской Федерации
-";"-
-";Налоговые органы
60101;нет;нет;нет;Росрыболовство
60109;Осуществление Территориальными органами Роспотребнадзора рассмотрения  запросов юридического лица и индивидуального предпринимателя о присвоенной их деятельности и (или) используемым ими производственным объектам категории риска, рассмотрения заявления об изменении присвоенной ранее их деятельности и (или) используемым ими производственным объектам категории риска;В соответствии с приказом;нет;Роспотребнадзор
60125;Оформления и выдачи разрешений на добычу (вылов) водных биоресурсов в электронном виде с использованием электронной подписи;В соответствии с Правилами оформления, выдачи, регистрации, приостановления действия и аннулирования разрешений на добычу (вылов) водных биологических ресурсов, а также внесения в них изменений,  утвержденными постановлением Правительства Российской Федерации от 22 октября 2008 г. № 775;нет;Росрыболовство
60125;"Контроль (надзор) в области рыболовства и сохранения водных биоресурсов в части добычи (вылова) пресноводных водных биоресурсов
";"нет
";нет;Росрыболовство
60125;Контроль (надзор) в области рыболовства и сохранения водных биоресурсов в части добычи (вылова) морских водных биоресурсов;нет;нет;ФСБ России
60129;отсутствует;отсутствует;отсутствует;отсутствует
60152;"(N.1)
(N.K)";"отсутствует
отсутствует";"отсутствует
отсутствует";Наименование органа: (Орган N)
60155;Наделение полномочиями ФТС России на утверждение порядка действий уполномоченных должностных лиц таможенных органов при изъятии и уничтожении товаров, а также формы и порядка заполнения, учета и хранения актов о факте изъятия и актов об уничтожении запрещенной к ввозу продукции и форм журналов регистрации таких актов.;Порядок реализации установлен приказом ФТС России;Привлечение дополнительных ресурсов не потребуется.;Наименование органа:	Федеральная таможенная служба
60168;Изменение функций, а также добавление новых не предусмотрено;Не предусмотрено;Не предусмотрено;-
60177;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено;Не требуется;Не требуется;-
60187;нет;нет;нет;нет
60246;"Обработка дополнительной информации в процессе проведения анализа обоснованности применения особых формул расчета ставок вывозных таможенных пошлин на нефть сырую, добываемую на конкретных месторождениях, в соответствии с проектом приказа
";порядок не изменится;трудозатраты не изменятся;все заинтересованные федеральные органы исполнительной власти
60260;Устранение дублирующих источников финансирования льгот по лекарственному обеспечению;будет установлен законопроектом;отсутствует;Минздрав России
60267;нет;нет;нет;нет
60296;(N.K);Отсутствует;Отсутствует;вышеуказанные органы отсутствуют
60304;Отсутствие новых или изменяемых функций, полномочий, обязанностей или прав;порядок не изменится;трудозатраты не изменятся;все заинтересованные федеральные органы исполнительной власти
60335;отсутствует;отсутствует;отсутствует;проект приказа ФНС России не подразумевает новых или изменений существующих функций, полномочий, обязанностей или прав
60357;"(N.1)
(N.K)";"отсутствует
отсутствует";"отсутствует
отсутствует";(Орган N)
60359;В рамках имеющихся полномочий;"Дополнить постановление Правительства Российской Федерации
от 13 января 2014 г. № 19 «Об установлении случаев, в которых при заключении контракта в документации о закупке указываются формула цены и максимальное значение цены контракта» (Собрание законодательства Российской Федерации, 2014, № 3, ст. 288) абзацем следующего содержания: «заключение контракта на оказание услуг общественного питания и (или) поставку пищевых продуктов, закупаемых для организаций, осуществляющих образовательную деятельность, медицинских организаций, организаций социального обслуживания, организаций отдыха детей и их оздоровления, при условии установления в контракте зависимости цены контракта от уровня инфляции».
";Принятие постановления не потребует выделения дополнительных средств из федерального бюджета;Минсельхоз России
60366;Обязанности по размещению информации в ГИС ЖКХ;Уточнение состава размещаемой информации;Оценка не проводилась;Органы власти субъектов Российской Федерации и органы местного самоуправления.
60402;Отсутствует;Отсутствует;Отсутствует;Отсутствует
60405;отсутствуют;нет;нет;отсутствует
60408;отсутствуют;нет;нет;отсутствует
60431;Обработка и анализ информации об операциях (сделках), совершаемыми лицами, связанными с распространением оружия массового уничтожения;Внесение изменений в акт Правительства Российской Федерации;Реализация полномочий в рамках установленной штатной численности; Росфинмониторинг
60431;Формирование перечня организаций и физических лиц, в отношении которых имеются сведения об их причастности к распространению оружия массового уничтожения и его последующее доведение до сведения организаций, осуществляющих операции с денежными средствами или иным имуществом;Принятие акта Правительства Российской Федерации;Реализация полномочий в рамках установленной штатной численности; Росфинмониторинг
60431;Информирование организаций, осуществляющих операции с денежными средствами или иным имуществом, об исключении организации или физического лица из перечня организаций или физических лиц, в отношении которых имеются сведения об их причастности к распространению оружия массового уничтожения, в связи с их ошибочным включением в указанный перечень;"Принятие акта Правительства Российской Федерации
";Реализация полномочий в рамках установленной штатной численности; Росфинмониторинг
60431;Информирование организаций, осуществляющих операции с денежными средствами или иным имуществом, о частичной или полной отмене применяемых мер по замораживанию (блокированию) денежных средств или иного имущества, в связи с принятием соответствующего решения органами, специально созданными решениями Совета Безопасности ООН;"Принятие акта Правительства Российской Федерации
";Реализация полномочий в рамках установленной штатной численности; Росфинмониторинг
60431;Информирование организаций, осуществляющих операции с денежными средствами или иным имуществом, о частичной или полной отмене применяемых мер по замораживанию (блокированию) денежных средств или иного имущества, в связи с принятием соответствующего решения международными организациям, осуществляющими борьбу с терроризмом или уполномоченными ими органами;"Принятие акта Правительства Российской Федерации
";Реализация полномочий в рамках установленной штатной численности; Росфинмониторинг
60431;Издание постановления о приостановлении операций с денежными средствами или иным имуществом в соответствии с Федеральным законом;Принятие ведомственного приказа ;Реализация полномочий в рамках установленной штатной численности; Росфинмониторинг
60431;"Обеспечение рассмотрения рассмотрения органами специально созданными решениями Совета Безопасности ООН обращений юридических или физических лиц, включенных в перечень организаций или физических лиц, в отношении которых имеются сведения об их причастности к распространению оружия массового уничтожения, о частичной или полной отмене применяемых мер по замораживанию (блокированию) денежных средств в целях покрытия чрезвычайных расходов, а также в целях оплаты расходов, связанных с обслуживанием денежных средств или иного имущества, в отношении которых применены мер в соответствии с пунктом 5 статьи 7.5 Федерального закона, совершения платежей по договорам (контрактам), заключенным до включения данного лица в состовляемые Советом Безопасности ООН или органами специально созданными решениями Совета Безопасности ООН, в рамках полномочий, предоставленных главой VII Устава ООН, перечни оргнаизаций и лиц, связанных с распространением оружия массового уничтожения,
или обечпечения своей жизнедеятельности и жизнедеятельности членов своей семьи (только физические лица)
";Принятие ведомственного приказа ;Реализация полномочий в рамках установленной штатной численности; Росфинмониторинг
60433;"(N.1)
(N.K)";"отсутствует
отсутствует";"отсутствует
отсутствует";(Орган N)
60444;Не требуется;Не требуется;Не требуется;Не требуется
60448;нет;нет;нет;нет
60465;отсутствует;отсутствует;отсутствует;отсутствует
60476;нет;нет;нет;новые функции, полномочия, права и обязанности органов не вводятся
60527;контроль и надзор в сфере оказания услуг;плановые и внеплановые проверки;не выявлена;Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор).
60544;Отсутствует;Отсутствует;Отсутствует;Отсутствует
60566;Проектом нормативного правового акта новые или изменение существующих функций, полномочий, обязанностей и прав государственных органов не предусматриваются.;Не требуется.;Не требуется.;Нет
60575;___;___;___;___
60592;Новые функции, полномочия, обязанности и права федеральных органов исполнительной власти, органов государственной власти субъектов Российской Федерации и органов местного самоуправления подготавливаемыми Федеральными нормами и правилами в области промышленной безопасности не предусмотрены;не предусмотрены;не предусмотрены;Ростехнадзор и Министерство труда и социальной защиты Российской Федерации 
60598;"-
-";"-
";"-
";(Орган N)
60618;-;-;-;-
60627;ОРИ и органы СОРМ;Выпуск постановления Правительства РФ;Оценка труодозатрат не проводилась;Органы, осуществляющие оперативно-розыскную деятельность
60628;Нет;нет;нет;нет
60638;-;-;-;проект приказа ФНС России не подразумевает новых или изменений существующих функций, полномочий, обязанностей или прав
60655;нет;нет;нет;Росрыболовство
60693;Установление порядка согласительных процедур по предоставлению организаторам ярмарок новых ярмарочных площадок;Разработка нормативного правового акта субъекта Российской Федерации;Не потребуется дополнительных ресурсов;Органы государственной власти субъектов Российской Федерации
60693;Формирование сводного перечня ярмарочных площадок, доступных для организации ярмарок на территории субъекта Российской Федерации ;"Опубликование в сети ""Интернет"" информации о ярмарочных площадках, доступных для занятия, с графиком свободных ярмарочных дней, и информации о самих проводимых ярмарках";"Не потребуется дополнительных ресурсов
";Органы государственной власти субъектов Российской Федерации
60693;Определение порядка и критериев, в соответствии с которыми органы местного самоуправления вправе взимать с организаторов ярмарок плату за использование ярмарочных площадок;Разработка нормативного правового акта субъекта Российской Федерации;Не потребуется дополнительных ресурсов;Органы государственной власти субъектов Российской Федерации
60693;Формирование перечня ярмарочных площадок, доступных для организации ярмарок на территории муниципального образования;"Опубликование в сети ""Интернет"" информации о ярмарочных площадках, доступных для занятия, с графиком свободных ярмарочных дней, и информации о самих проводимых ярмарках";Не потребуется дополнительных ресурсов;Органы местного самоуправления
60693;Установление права вводить плату за использование ярмарочных площадок, взимаемую с организаторов ярмарок;Разработка муниципальных нормативных правовых актов;Не потребуется дополнительных ресурсов;Органы местного самоуправления
60698;отсутствует;отсутствует;отсутствует;отсутствует
60702;Нет;Нет;Нет;Нет
60713;Ведение реестра недобросовестных участников аукционов на право пользования участками недр;Посредством включения в указанный перечень субъектов предпринимательского сообщества, намерненно срывающих аукционы на право пользования недрами;Не производилась;ФАС России
60723;отсутствует ;отсутствует ;отсутствует ;отсутствует 
60739;Не изменятся;В рамках полномочий, установленных Положением о Минприроды России, утвержденным постановлением Правительства Российской Федерации от 11 ноября 2015 г. № 1219;В пределах бюджетных ассигнований федерального бюджета, предусмотренных Минприроды России на 2017 год и последующие годы, без увеличения предельной численности работников и фонда оплаты труда;Минприроды России
60744;Отсутствует;Отсутствует;Отсутствует;Министерство транспорта Российской Федерации
60758;Не предполагает изменение существующих функций, полномочий, обязанностей и прав; ;Не повлечет дополнительных трудозатрат;Органы государственной власти субъектов Российской Федерации 
60774;Роспотребнадзор и его территориальные органы ;Осуществление Роспотребнадзором и его территориальными органами полномочий  в соответствии с приказом;нет;В соответствии с приказом
60777;-;-;-;-
60783;"исполнительные органы государственной власти или органы местного самоуправления, уполномоченные на распоряжение земельными участками, находящимися в государственной или муниципальной собственности, орган управления государственным фондом недр

";исполнительные органы государственной власти или органы местного самоуправления, уполномоченные на распоряжение земельными участками, находящимися в государственной или муниципальной собственности, орган управления государственным фондом недр;Низкая;"В рамках нормативного правого регулирования Земельного кодекса, Закона Российской Федерации ""О недрах"""
60784;новые функции, полномочия, обязанности или права не предусмотрены;новый порядок реализации не предусмотрен;дополнительные ресурсы не потребуются;контрольно-надзорные органы Российской Федерации, осуществяляющие весогабаритный контроль
60787;нет;нет;нет;Росрыболовство
60789;нет;нет;нет;Росрыболовство
60807;отсутствует;отсутствует;отсутствует;проект приказа ФНС России не подразумевает новых или изменений существующих функций, полномочий, обязанностей или прав
60816;Не меняются функции, полномочия, обязанности, которые  осуществляются в соответствии с законодательством Российской  Федерации ;Не меняются;Увеличение штатной численности не предполагается;Роспотребнадзор
60819;информация уточняется;информация уточняется;информация уточняется;информация уточняется
60829;нет;нет;нет;(Орган N)
60835;не установлено;не установлено;нет данных;нет
60841;Принятие постановления не повлечет появление новых и изменение существующих функций, полномочий, обязанностей или прав для органов исполнительной власти;Реализацию полномочий, предусмотренных проектом постановления,  будет осуществляться Федеральной службой по надзору в сфере природопользования  в пределах установленной Правительством Российской Федерации предельной численности ее работников, а также бюджетных ассигнований, предусмотренных Службе в федеральном бюджете на руководство и управление в сфере установленных функций.;-;Росприроднадзор
60842;-;-;-;проект приказа ФНС России не подразумевает новых или изменений существующих функций, полномочий, обязанностей или прав
60852;нет;нет;нет;нет
60861;"Для достижения целей, установленных настоящим Федеральным законом, Фонд осуществляет следующие полномочия и функции:
1) формирование компенсационного фонда долевого строительства за счет обязательных отчислений (взносов) застройщиков, привлекающих для строительства (создания) многоквартирных домов и (или) иных объектов недвижимости денежные средства участников долевого строительства в соответствии с  законодательством об участии в долевом строительстве многоквартирных домов и (или) иных объектов недвижимости;
2) контроль за поступлением обязательных отчислений (взносов) застройщиков в компенсационный фонд долевого строительства в соответствии с настоящим Федеральным законом;
3) выплата за счет средств компенсационного фонда долевого строительства возмещения гражданам - участникам долевого строительства по договорам участия в долевом строительстве при несостоятельности  (банкротстве) застройщика в соответствии с настоящим Федеральным законом;
4) осуществление полномочий конкурсного управляющего (внешнего управляющего) в деле о банкротстве застройщика в соответствии с Федеральным законом от 26 октября 2002 г. № 127-ФЗ ""О несостоятельности (банкротстве)"" (далее - Федеральный закон о банкротстве); 
5) предоставление за счет средств компенсационного фонда долевого строительства займа или пожертвования созданному в соответствии с Федеральным законом о банкротстве жилищно-строительному кооперативу или иному потребительскому кооперативу либо предоставление займа застройщику, который будет являться приобретателем в соответствии со статьей 20115-1 Федерального закона банкротстве, для завершения строительства многоквартирного дома и (или) жилого дома блокированной застройки, состоящих из трех и более блоков и исполнения обязательств по передаче жилых помещений в указанных домах участникам долевого строительства. Условия заключения беспроцентного договора займа и договора пожертвования определяются высшим органом управления Фонда;
6) взаимодействие с органами, осуществляющих государственную регистрацию прав на недвижимое имущество и сделок с ним;
7) ведение единого реестра застройщиков в соответствии с законодательством об участии в долевом строительстве многоквартирных домов и (или) иных объектов недвижимости.";"Фонд создается путем преобразования некоммерческой организации ""Фонд защиты прав граждан - участников долевого строительства"", которая на основании постановления Правительства Российской Федерации осуществляет функции по формированию компенсационного фонда долевого строительства за счет обязательных отчислений (взносов) застройщиков, осуществляющих привлечение в соответствии с законодательством об участии в долевом строительстве многоквартирных домов и (или) иных объектов недвижимости денежных средств граждан и юридических лиц для строительства (создания) многоквартирных домов и (или) жилых домов блокированной застройки, состоящих из трех и более блоков.";Нет информации;Компенсационный фонд
60891;-;-;-;проект приказа ФНС России не подразумевает новых или изменения существующих функций, полномочий, обязанностей или прав
60897;отсутствует;отсутствует;отсутствует;отсутствует
60901;Федеральный орган исполнительной власти в области связи ;Нет;Нет;"Составление перечня поселений, в которых должно быть установлено не менее чем одно средство коллективного доступа для оказания услуг по передаче данных и предоставлению доступа к информационно-телекоммуникационной сети ""Интернет"" без использования пользовательского оборудования абонента, "
60924;"Определения органами государственной власти субъектов Российской Федерации мест нахождения источников повышенной опасности, в которых не допускается розничная продажа алкогольной продукции и розничная продажа алкогольной продукции при оказании услуг общественного питания; определение органами местного самоуправления границ прилегающих к некоторым зданиям, строениям, сооружениям, помещениям, объектам и местам территорий, на которых не допускается розничная продажа алкогольной продукции и розничная продажа алкогольной продукции при оказании услуг общественного питания";В соответствии с действующим законодательством Российской Федерации  ;Реализация положений проекта постановления не потребует дополнительных расходов, трудозатрат или иных ресурсов; Органы государственной власти субъектов Российской Федерации, органы местного самоуправления
60943;Осуществление в отношении граждан, использующих внутридомовое и внутриквартирное газовое оборудование,  юридических лиц, индивидуальных предпринимателей, осуществляющих виды деятельности в сфере  использования, технического обслуживания, ремонта и технического диагностирования внутридомового и внутриквартирного газового оборудования, регионального государственного жилищного надзора с периодичностью плановых проверок один раз в год перед наступлением отопительного сезона.;"В соответствии с Федеральным законом от 26.12.2008 № 294-ФЗ ""О защите прав юридических лиц и индивидуальных предпринимателей при осуществлении государственного контроля (надзора) и муниципального контроля"" ";Отсутствуют;Органы исполнительной власти субъектов Российской Федерации
60967;-;-;-;--
60975;Необходимость в новых или в изменении существующих функций, полномочий, обязанностей или прав отсутствует.;Необходимость разработки порядка реализации отсутствует.;Необходимость в оценке изменения трудозатрат и (или) потребностей в иных ресурсах отсутствует.;Отсутствует.
60998;отсутствует;отсутствует;отсутствует;отсутствует
61005;законопроектом предполагается уточнить и легализовать сложившуюся правоприменительную практику осмотров объектов культурного наследия с особенностями, возникающими в рассматриваемой сфере, уточнить компетенцию должностных лиц, выделить случаи, когда проведение проверки не требуется;в рамках практического исполнения должностных обязанностей;в пределах установленного финансирования;федеральный и региональные органы охраны объектов культурного наследия
61009;Контроль (надзор) за маркировкой вина, игристого вина (шампанского) будет осуществляться в рамках действующих полномочий федеральных органов исполнительной власти.;Реализация федерального закона будет осуществляться в пределах действующей численности федеральных органов исполнительной власти.;Реализация законопроекта не потребует выделения дополнительных ассигнований из бюджетов бюджетной системы Российской Федерации.;ФАС России
61009;Контроль (надзор) за маркировкой вина, игристого вина (шампанского) будет осуществляться в рамках действующих полномочий федеральных органов исполнительной власти.;Реализация федерального закона будет осуществляться в пределах действующей численности федеральных органов исполнительной власти.;Реализация законопроекта не потребует выделения дополнительных ассигнований из бюджетов бюджетной системы Российской Федерации.;Росалкогольрегулирование
61009;Контроль (надзор) за маркировкой вина, игристого вина (шампанского) будет осуществляться в рамках действующих полномочий федеральных органов исполнительной власти.;Реализация федерального закона будет осуществляться в пределах действующей численности федеральных органов исполнительной власти.;Реализация законопроекта не потребует выделения дополнительных ассигнований из бюджетов бюджетной системы Российской Федерации.;ФТС России
61009;Контроль (надзор) за маркировкой вина, игристого вина (шампанского) будет осуществляться в рамках действующих полномочий федеральных органов исполнительной власти.;Реализация федерального закона будет осуществляться в пределах действующей численности федеральных органов исполнительной власти.;Реализация законопроекта не потребует выделения дополнительных ассигнований из бюджетов бюджетной системы Российской Федерации.;Роспотребнадзор
