regulation_project_id;Группа участников отношений;Описание новых или изменения содержания существующих обязанностей и ограничений;Описание и оценка видов расходов (доходов)
67794;Юридические лица и индивидуальные предприниматели, у которых срок действия договоров о закреплении долей квоты добычи (вылова) водных биологических ресурсов для Российской Федерации в районах действия международных договоров Российской Федерации в области рыболовства и сохранения водных биологических ресурсов истекает до 31 декабря 2018 года;Соблюдение требований предусмотренных Порядком распределения квоты добычи (вылова) водных биологических ресурсов, предоставленной Российской Федерации в районах действия международных договоров для осуществления промышленного и (или) прибрежного рыболовства, между лицами, у которых срок действия договоров о закреплении долей квоты добычи (вылова) водных биологических ресурсов для Российской Федерации в районах действия международных договоров Российской Федерации в области рыболовства и сохранения водных биологических ресурсов истекает до 31 декабря 2018 года, и закрепления долей квоты добычи (вылова) водных биологических ресурсов, предоставленной Российской Федерации в районах действия международных договоров для осуществления промышленного и (или) прибрежного рыболовства, за лицами, у которых срок действия договоров о закреплении долей квот добычи (вылова) водных биологических ресурсов для Российской Федерации в районах действия международных договоров Российской Федерации в области рыболовства и сохранения водных биологических ресурсов истекает до 31 декабря 2018 года, Порядком заключения договоров о закреплении доли квоты добычи (вылова) водных биологических ресурсов, предоставленной Российской Федерации в районах действия международных договоров для осуществления промышленного и (или) прибрежного рыболовства, с лицами, у которых срок действия договоров о закреплении долей квот добычи (вылова) водных биологических ресурсов для Российской Федерации в районах действия международных договоров Российской Федерации в области рыболовства и сохранения водных биологических ресурсов истекает до 31 декабря 2018 года, а также примерной формой договора о закреплении доли квоты добычи (вылова) водных биологических ресурсов, предоставленной Российской Федерации в районах действия международных договоров для осуществления промышленного и (или) прибрежного рыболовства;0,00р.
67795;нет ;нет; 
67802;Нефтедобывающие и нефтегазодобывающие компании;Применение нового коэффициента Кнмм при расчете платы за выбросы в атмосферный воздух загрязняющих веществ, образующихся при сжигании на факельных установках и (или) рассеивании ПНГ;0,00р.
67812;Отсутствуют.;отсутствуют. ; 
67890;Индивидуальные предприниматели и юридические лица, являющиеся производителями, импортерами товаров;Новые преимущества, обязанности, ограничения не вводятся. Экологический сбор уплачивается только теми производителями, импортерами товаров, которые не обеспечивают самостоятельную утилизацию отходов от использования товаров. В целях обеспечения равных условий для производителей, импортеров упаковки как готового товара (идентифицируемой по разделу I Перечня) и производителей, импортеров товаров в упаковке (идентифицируемой по разделу II Перечня), размеры ставок сбора по вновь вводимым группам идентичны действующим ставкам, предусмотренным Постановлением  № 284.;0,00р.
67913;-;-; 
67931;Судовладельцы, осуществляющие плавание на внутренних водных путях Российской Федерации;Принципиальных изменений в организации плавания судов Правила не содержат. Для того чтобы судоводители смогли ознакомиться с Правилами предусмотрено вступление в силу приказа, утверждающего Правила по истечении шести месяцев после официального опубликования приказа.; 
67967;не имеется;не имеется; 
67969;"Участники ВЭД, осуществляющие ввоз алкогольной продукции в Российскую Федерацию

Таможенные органы Российской Федерации";-; 
67976;- ; -; 
67984;---;--; 
67990;Операторы связи и операторы почтовой связи;Не изменяется; 
67999;Работодатели;Обязанность возместить расходы, связанные с переездом и возвращением к месту проживания сезонного работника, возникает у работодателя, если такие условия включены в трудовой договор.; 
68000;новые расходы и доходы не предусмотрены;новые расходы и доходы не предусмотрены; 
68048;аудиторские организации, аудиторы;отсутствуют; 
68049;аудиторские организации, аудиторы;отсутствуют; 
68058;"Лица, владеющие основным технологическим оборудованием для производства этилового спирта (за исключением основного технологического оборудования для производства фармацевтической субстанции спирта этилового (этанола)) с производственной мощностью более 4000 декалитров на правах собственности, хозяйственного ведения, оперативного управления, аренды, залога, а также лица, осуществляющие хранение основного технологического оборудования, не принадлежащего им на праве собственности
";Проектом постановления не предусматривается введение каких-либо административных и иных ограничений, а также возложение дополнительных обязанностей на субъекты предпринимательской и иной деятельности, способствующих увеличению их издержек ; 
68082;Физические и юридические лица, иные организации ;отсутствуют; 
68088;принятие федерального закона не повлечет возникновения расходов и доходов субъектов предпринимательской и иной экономической деятельности;нет; 
68162;нет;нет; 
68164;нет;нет; 
68168;нет;нет; 
68181;нет;нет; 
68186;-;-; 
68224;Высшие исполнительные органы государственной власти субъектов Российской Федерации, местные администрации, органы государственного (муниципального) финансового контроля, являющиеся органами (должностными лицами) исполнительной власти субъектов Российской Федерации (местных администраций).;Общие требования; 
68227;Информация уточняется;Информация уточняется; 
68228;отсутствует;отсутствует; 
68233;Юридические лица и индивидуальные предприниматели, у которых срок действия договоров о закреплении долей квот добычи (вылова) водных биологических ресурсов для осуществления промышленного рыболовства в пресноводных водных объектах, договоров о закреплении долей квот добычи (вылова) водных биологических ресурсов для осуществления прибрежного рыболовства во внутренних морских водах Российской Федерации, в территориальном море Российской Федерации, на континентальном шельфе Российской Федерации, в исключительной экономической зоне Российской Федерации, Каспийском море, договоров о закреплении долей квот добычи (вылова) водных биологических ресурсов для Российской Федерации в районах действия международных договоров Российской Федерации в области рыболовства и сохранения водных биологических ресурсов истекает после 31 декабря 2018 года;Соблюдение требований предусмотренных Правилами переоформления договоров о закреплении долей квот добычи (вылова) водных биологических ресурсов для осуществления промышленного рыболовства во внутренних морских водах Российской Федерации, в территориальном море Российской Федерации, на континентальном шельфе Российской Федерации, в исключительной экономической зоне Российской Федерации, Каспийском море, договоров о закреплении долей квот добычи (вылова) водных биологических ресурсов для осуществления промышленного рыболовства в пресноводных водных объектах, договоров о закреплении долей квот добычи (вылова) водных биологических ресурсов для осуществления прибрежного рыболовства во внутренних морских водах Российской Федерации, в территориальном море Российской Федерации, на континентальном шельфе Российской Федерации, в исключительной экономической зоне Российской Федерации, Каспийском море, договоров о закреплении долей квот добычи (вылова) водных биологических ресурсов для Российской Федерации в районах действия международных договоров Российской Федерации в области рыболовства и сохранения водных биологических ресурсов, срок действия которых истекает после 31 декабря 2018 года;0,00р.
68237;нет;нет; 
68239;"Юридические лица и индивидуальные предприниматели: лизинговые компании; 
операторы по приему платежей; организации, оказывающие посреднические услуги при осуществлении сделок купли-продажи недвижимого имущества; индивидуальные предприниматели, оказывающие посреднические услуги при осуществлении сделок купли-продажи недвижимого имущества; коммерческие организации, заключающие договоры финансирования под уступку денежного требования в качестве финансовых агентов
";Увеличение срока исправления несоответствий, указанных при постановке на учет, а также инициативного снятия с учета в Федеральной службе по финансовому мониторингу организаций (ИП) при прекращении деятельности юридического лица или  прекращении физическим лицом деятельности  в качестве ИП в установленном порядке;0,00р.
68289;Юридические лица, осуществляющие деятельность при обращении биомедицинских клеточных продуктов; ; 
68331;-;-; 
68392;нет;нет; 
68393;Водители ;В целях получения допуска к  осуществлению трудовой деятельности, связанной с управлением транспортным средством  расходов потребует прохождение водителями периодической переподготовки (повышения квалификации) и  независимой оценки квалификации (экзаменации) для получения свидетельства о квалификации по итогам независимой оценки квалификации; 
68399;-;-; 
68406;Юридические лица и индивидуальные предприниматели;"При образовании рыбохозяйственной заповедной зоны устанавливается особый режим хозяйственной и иной деятельности в целях сохранения водных биоресурсов и создания условий для развития аквакультуры и рыболовства.
Данный режим будет устанавливать запрет или ограничения на осуществление хозяйствующей деятельности, которая наносит не поправимый ущерб водным биологическим ресурсам. ";5 000 678,57р.
68422;Кругом лиц, на которых распространяется  действие проекта постановления, являются владельцы автомобильных дорог.;Отсутствуют; 
68429;Отсутствуют;Отсутствуют; 
68454;нет;нет; 
68455;нет;нет; 
69458;лица осуществляющие оборот спирта спирта (за исключением дистиллятов винного, виноградного, плодового, коньячного, кальвадосного, фармацевтической субстанции спирта этилового (этанола) в части его хранения и перевозки, а также приемки, снятия остатков и отпуска спирта с применением мерников ;(N.1); 
69463;аудиторские организации, проводящие обязательный аудит бухгалтерской (финансовой) отчетности организаций, указанных в части 3 статьи 5 Федерального закона «Об аудиторской деятельности»;аудиторская организация в течение 20 рабочих дней, следующих за датой заключения первого в текущем календарном году договора на проведение обязательного аудита бухгалтерской (финансовой) отчетности организации, указанной в части 3 статьи 5 Федерального закона «Об аудиторской деятельности», однократно направляет в Федеральное казначейство уведомление о начале оказания услуг по проведению такого аудита в порядке и по форме, установленными Минфином России; 
69471;1. Юридические лица;"Законопроектом устанавливается, что ликвидация юридического лица по решению суда осуществляется за счет имущества юридического лица, а при недостаточности у юридического лица средств на расходы, необходимые для его ликвидации, эти расходы возлагаются солидарно на учредителей (участников) юридического лица.

Выделить и оценить размер и виды расходов на осуществление ликвидации юридического лица не представляется возможным"; 
69471;2. Арбитражные управляющие;"Новая обязанность по осуществлению ликвидации юридического лица по решению суда.

Размер вознаграждения арбитражного управляющего, утвержденного судом в качестве ликвидатора, определяется по правилам, установленным законодательством о несостоятельности (банкротстве) для определения размера вознаграждения конкурсного управляющего"; 
69471;3. Судьи;"В соответствии с законопроектом суд возлагает обязанности по осуществлению принудительной ликвидации юридического лица на арбитражного управляющего, указывает в своем решении размер вознаграждения арбитражного управляющего и срок, в который необходимо завершить ликвидацию, а также освобождает и отстраняет арбитражного управляющего от исполнения возложенных на него обязанностей

Не повлечет расходов"; 
69486;Минсельхоз России;Полномочия по утверждению Методики эффективности рыбозащитных сооружений по предотвращению гибели водных биоресурсов при заборе воды из водных объектов рыбохозяйственного значения и рыбопропускных сооружений.;0,00р.
69494;нет;нет; 
69495;Индивидуальные предприниматели и юридические лица, осуществляющие деятельность в области обращения с отходами;Изменение содержания существующих обязанностей и ограничений не вводится; 
69508;не имеется;не имеется; 
69531;налогоплательщики, осуществляющие реализацию прав на использование охраняемых результатов интеллектуальной деятельности, используемых при создании кинопродукции, в том числе анимационных фильмов, получивших удостоверение национального фильма  ;Новые обязанности и ограничения не появляются; 
69535;Нет;Нет; 
69543;Физические лица, юридические лица, заинтересованные в получении водного объекта в пользование;Привлечение к административной ответственности в случае ненаправления, несвоевременного направления, направления недостоверной информации в федеральный орган исполнительной власти, уполномоченный на ведение реестра недобросовестных водопользователей и участников аукциона по приобретению права на заключение договора водопользования.;0,00р.
69547;нет;нет; 
69555;Юридические лица, крестьянские (фермерские) хозяйства, а также приравненный к ним в целях Закона об аквакультуре и осуществляющий аквакультуру (рыбоводство) индивидуальный предприниматель;Совершенствования механизма предоставления рыбоводных участков;0,00р.
69602;управляющие организации, товарищества собственников жилья, жилищные, жилищно-строительные или иные специализированные потребительские кооперативы, ресурсоснабжающие организации, потребители коммунальных ресурсов;указаны в проекте; 
69658;Авиаперевозчики, пассажиры воздушного судна;отсутствует; 
69659;(Группа участников отношений N) отсутствует;(N.1) отсутствует; 
69664;нет;нет; 
69666;бюджетное учреждение, государственное, муниципальное унитарные предприятия, осуществляющие закупки;Определение начальной (максимальной) цены контракта  при осуществлении закупок по строительству, реконструкции и капитальному ремонту объектов капитального строительства осуществляется Заказчиком при формировании плана-графика закупки, подготовке извещения об осуществлении закупки, документации о закупке и оформляется в виде протокола начальной (максимальной) цены контракта (цены лота) по форме согласно приложению 1 к утверждаемому Порядку; 
69684;отсутствуют;отсутствуют; 
69685;нет;нет; 
69689;налогоплательщики (плательщики сборов, страховых взносов, налоговые агенты), налоговые органы;Издание приказа ФНС России «О внесении изменений в формы документов, используемых налоговыми органами и налогоплательщиками при осуществлении зачета и возврата сумм излишне уплаченных (взысканных) налогов, сборов, страховых взносов, пеней, штрафов, утвержденные приказом ФНС России от 14.02.2017 № ММВ-7-8/182@»; 
69700;Юридические и физические лица, индивидуальные предприниматели, осуществляющие международные автомобильные перевозки грузов;Возможность для сторон договора международной автомобильной перевозки груза оформлять накладную в электронном виде; 
69722;Индивидуальные предприниматели и юридические лица, осуществляющие деятельность в области обращения с отходами;Изменение содержания существующих обязанностей и ограничений не вводится; 
69727;Производители отдельных видов промышленной продукции;Необходимость учета  утверждаемых требований к промышленной продукции, предъявляемых в целях ее отнесения к продукции, произведенной в Российской Федерации.;0,00р.
69728;Производители отдельных видов промышленной продукции;Необходимость учета  утверждаемых требований к промышленной продукции, предъявляемых в целях ее отнесения к продукции, произведенной в Российской Федерации.;0,00р.
69730;Производители отдельных видов промышленной продукции;"дополнение Перечня отдельных видов товаров машиностроения, происходящих из иностранных государств, в отношении которых устанавливается запрет на допуск для целей осуществления закупок для обеспечения государственных и муниципальных нужд, утвержденный постановлением Правительства Российской Федерации от 14 июля 2014 г. № 656""";0,00р.
69734;-;нет.; 
69739;Неопределенный круг лиц;-; 
69742;Производители отдельных видов промышленной продукции;уточнение перечня документов, подтверждающих производство промышленной продукции на территории Российской Федерации, а также подтверждающих отсутствие на территории Российской Федерации производства товаров, материалов или полуфабрикатов.;0,00р.
69749;заинтересованные федеральные органы исполнительной власти и субъекты обращения медицинских изделий;Новых или изменения содержания существующих обязанностей и ограничений не предусматривается; 
69754;Принятие проекта акта не повлечет дополнительных расходов и доходов субъектов предпринимательской и иной экономической деятельности;Отсутствует; 
69758;заинтересованные федеральные органы исполнительной власти и субъекты обращения медицинских изделий;Новых или изменения содержания существующих обязанностей и ограничений не предусматривается; 
69760;-;-; 
69769;Юридические лица и индивидуальные предприниматели, осуществляющие перевозки пассажиров и багажа автомобильным транспортом и городским наземным электрическим транспортом по регулярным маршрутам;отсутствуют;0,00р.
69770;Юридические лица и индивидуальные предприниматели, осуществляющие перевозки пассажи-ров и багажа автомобильным транспортом и городским наземным электрическим транспортом по регулярным маршрутам;отсутствуют; 
69844;Отсутсвуют;Отсутсвуют; 
69847;отсутствует;отсутствует; 
69848;отсутствует;отсутствует; 
69871;Отсутствует.;Отсутствует.; 
69880;-;-; 
69898;юридические лица и индивидуальные предприниматели, эксплуатирующие рыбопромысловые суда и наделенные правом на добычу водных биоресурсов ;предоставление документа о соответствии рыбопромыслового судна и компании требованиям Кодекса при подаче заявления на добычу водных биоресурсов;0,00р.
69906;Нет;Нет; 
69907;Лица, владеющие винодельческой продукцией, произведенной или приобретенной до 1 июня 2015 года;Проектом федерального закона не предусматривается введение каких-либо административных и иных ограничений, а также возложение дополнительных обязанностей на субъекты предпринимательской и иной деятельности, способствующих увеличению их издержек ; 
69930;Физические и юридические лица, индивидуальные предприниматели, осуществляющие деятельность в речном порту;Подача заявления о намерении заключить договор аренды с указанием интересующих его объектов порта и сроков аренды с приложением заявления о возможности его заключения без проведения торгов.; 
69936;Юридические лица и индивидуальные предприниматели, осуществляющие добычу (вылов) водных биологических ресурсов в водных объектах Азово-Черноморского рыбохозяйственного бассейна.;Соблюдение вносимых изменений в соответствии с утвержденными Минсельхозом России правилами рыболовства для Азово-Черноморского рыбохозяйственного бассейна.;0,00р.
69947;Юридические лица  и индивидуальные предприниматели, эксплуатирующие автобусы с числом мест более 20 и грузовые автотранспортные средства с полной массой свыше 15 тонн, предназначенные для междугородных и международных перевозок, оснащенные до 8 ноября 2013 г. при изготовлении тахографами в соответствии с постановлением Правительства Российской Федерации от 3 августа 1996 г. № 922 «О повышении безопасности междугородных и международных перевозок пассажиров и грузов автомобильным транспортом», перевозчики, мастерские;отсутствуют; 
69951;-;-; 
69953;"Производители отдельных видов промышленной продукции
";"дополнение Перечня отдельных видов товаров машиностроения, происходящих из иностранных государств, в отношении которых устанавливается запрет на допуск для целей осуществления закупок для обеспечения государственных и муниципальных нужд, утвержденный постановлением Правительства Российской Федерации от 14 июля 2014 г. № 656""
";0,00р.
69975;отсутствует;отсутвтует; 
69980;отсутствует;отсутствует; 
69988;Юридические лица, осуществляющие деятельность при обращении биомедицинских клеточных продуктов; ; 
69989;Участники отношений, регулируемых законодательством о налогах и сборах;Совершенствование процедур реализации налогоплательщиками и налоговыми органами своих прав и обязанностей, предусмотренных Налоговым кодексом Российской Федерации;0,00р.
70011;Банки, иные кредитные организации, через которые производится внесение платы за коммунальные ресурсы;Обязанность по размещению информации в ГИС ЖКХ.; 
70023;-;Оценка не производилась; 
70040;(Группа участников отношений N);"(N.1)
(N.K)"; 
70050;Организации, имеющие в своем составе профессиональные аварийно-спасательные службы (формирования), осуществляющие горноспасательные работы;Соответствие утвержденным Правительством Российской Федерации требованиям. ; 
70050;Организации, эксплуатирующие объекты ведения горных работ;Соответствие утвержденным Правительством Российской Федерации требованиям. Определение стоимости горноспасательного обслуживания в соответствии с утвержденным порядком расчета стоимости услуг.; 
70068;Оргназации;Совершенствование существующей обязанности путем разработки антикоррупционных стандартов бизнес-сообществом; 
70082;Налогоплательщики налога на прибыль организаций ;Не изменяется ; 
70087;Принятие приказа не приведет к дополнительным расходам субъектов предпринимательской и иной экономической деятельности, связанных с необходимостью соблюдения установленных обязанностей или ограничений.;-; 
70110;Нет;Нет; 
70118;организации, нелегально осуществляющие профессиональную деятельность по предоставлению потребительских займов;Усиление ответственности за незаконное осуществление деятельности по предоставлению потребительских займов; 
70123;организации, нелегально осуществляющие профессиональную деятельность по предоставлению потребительских займов;Усиление ответственности за незаконное осуществление деятельности по предоставлению потребительских займов; 
70129;-;-; 
70133;Информация уточняется;Информация уточняется; 
70139;организации, не входящие в перечнь лиц, имеющих право осуществлять деятельность по предоставлению потребительских кредитов (займов) физическим лицам на цели, не связанные с осуществлением ими предпринимательской деятельности;Определение перечня лиц, имеющих право осуществлять деятельность по предоставлению потребительские ипотечные кредиты (займы) физическим лицам на цели, не связанные с осуществлением ими предпринимательской деятельности. ; 
70148;отсутствуют;отсутствуют; 
70178;-;-; 
70182;-;-; 
70195;-;-; 
70222;организации,  осуществляющие  деятельность по предоставлению потребительских кредитов (займов), заемщики;Ограничение перечня лиц, имеющих право осуществлять деятельность по предоставлению потребительских кредитов (займов), а также ограничение размера начисляемых по договору потребительского кредита (займа), срок возврата по которому не превышает одного года, процентов, сумм неустойки (штрафа, пеней) и иных мер ответственности.; 
70226;"Организации Госкорпорации ""Росатом""";"Новых или изменения содержания существующих обязанностей и ограничений проектом не вносится, уточняются существующие требования.
"; 
70227;Организации федеральной почтовой связи, операторы почтовой связи, пользователи;Оказание услуг почтовой связи; 
70263;Лица, осуществляющие проектирование и строительство объектов капитального строительства.Федеральные органы исполнительной власти, региональные органы исполнительной власти субъектов Российской Федерации, органы местного самоуправления;не определено; 
71277;операторы связи;соблюдение технических требований к организации линий передачи, пересекающих Государственную границу Российской Федерации;0,00р.
71277;"юридические лица и индивидуальные предприниматели, находящиеся в юрисдикции Российской Федерации и использующие номер автономной системы и (или) IP-адрес; владельцы точек обмена трафиком";представление предусмотренных законопроектом сведений для размещения в системе;0,00р.
71287;"1. Органы по сертификации, испытательные лаборатории (центры).
2. Производители, продавцы и поставщики продукции, подпадающей под требования технического регламента Евразийского экономического союза «О безопасности рыбы и рыбной продукции» (ТР ЕАЭС 040/2016).";"1. Аккредитация органов по сертификации, испытательных лабораторий (центров) на проведение работ по оценке соответствия требованиям технического регламента Евразийского экономического союза «О безопасности рыбы и рыбной продукции» (ТР ЕАЭС 040/2016).
2. Оценка соответствия продукции требованиям технического регламента Евразийского экономического союза «О безопасности рыбы и рыбной продукции» (ТР ЕАЭС 040/2016)."; 
71333;-;-; 
71344;операторы по обращению с твердыми коммунальными отходами;обязанность оборудовать объекты, используемые для обработки, обезвреживания, захоронения твердых коммунальных отходов, средствами измерения массы твердых коммунальных отходов дополняется ссылкой на необходимость соответствия технологическим требованиям, установленным уполномоченным Правительством Российской Федерации федеральным органом исполнительной власти; 
