regulation_project_id;Содержательные издержки: Описание социально-экономических последствий реализации проекта акта;Содержательные издержки: Единовременные;Содержательные издержки: Периодические;Информационные издержки: Описание социально-экономических последствий реализации проекта акта;Информационные издержки: Единовременные;Информационные издержки: Периодические;Преимущества и (или) иные выгоды: Описание социально-экономических последствий реализации проекта акта;Преимущества и (или) иные выгоды: Единовременные;Преимущества и (или) иные выгоды: Периодические
83734;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
83734;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
83737;Оценить не представляется возможным;Оценить не представляется возможным;Оценить не представляется возможным;Оценить не представляется возможным;Оценить не представляется возможным;Оценить не представляется возможным;Оценить не представляется возможным;Оценить не представляется возможным;Оценить не представляется возможным
83737;Оценить не представляется возможным;Оценить не представляется возможным;Оценить не представляется возможным;Оценить не представляется возможным;Оценить не представляется возможным;Оценить не представляется возможным;Оценить не представляется возможным;Оценить не представляется возможным;Оценить не представляется возможным
83738;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
83738;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
83745;-;-;-;-;-;-;-;-;-
83745;-;-;-;-;-;-;-;-;-
83753; ; ; ; ; ; ; ; ; 
83753; ; ; ; ; ; ; ; ; 
83810;нет;нет;нет;нет;нет;нет;нет;нет;нет
83810;нет;нет;нет;нет;нет;нет;нет;нет;нет
83818;нет;нет;нет;нет;нет;нет;нет;нет;нет
83818;нет;нет;нет;нет;нет;нет;нет;нет;нет
83902;-;-;-;-;-;-;-;-;-
83902;-;-;-;-;-;-;-;-;-
83906;-;-;-;-;-;-;-;-;-
83906;-;-;-;-;-;-;-;-;-
83907;-;-;-;-;-;-;-;-;-
83907;-;-;-;-;-;-;-;-;-
83971;Нет данных;-;-;Нет данных;-;-;-;-;-
83971;Вид издержек №;-;-;Вид издержек №;-;-;Преимущество №;-;-
84041; ; ; ; ; ; ; ; ; 
84041; ; ; ; ; ; ; ; ; 
84169;-;-;-;-;-;-;-;-;-
84169;-;-;-;-;-;-;-;-;-
84193;-;-;-;-;-;-;-;-;-
84193;-;-;-;-;-;-;-;-;-
84201;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствует;отсутствует;отсутствует
84201;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;сократится объем вывоза круглой древесины на экспорт;отсутствует;отсутствует
84207;-;-;-;-;-;-;-;-;-
84207;-;-;-;-;-;-;-;-;-
84411;-;-;-;-;-;-;"Установление правовой определенности в соответствующей сфере общественных отношений
";"Установление правовой определенности в соответствующей сфере общественных отношений
";-
84411;-;-;-;-;-;-;Снижение рисков возможного негативного воздействия на плодородный слой почвы необоснованными действиями на землях сельскохозяйственного назначения;1;1
84496;отсутствуют;-;-;отсутствуют;-;-;-;-;-
84496;Вид издержек N;-;-;Вид издержек N;-;-;Преимущество N;-;-
84510;-;-;-;-;-;-;-;-;-
84510;-;-;-;-;-;-;-;-;-
84520;отсутствуют;0;0;отсутствуют;0;0;0;0;0
84520;отсутствуют;0;0;отсутствуют;0;0;отсутствуют;0;0
84534;-;-;-;-;-;-;-;-;-
84534;-;-;-;-;-;-;-;-;-
84558;нет;нет;нет;нет;нет;нет;нет;нет;нет
84558;нет;нет;нет;нет;нет;нет;нет;нет;нет
84577;отсутствуют;0;0;отсутствуют;0;0;0;0;0
84577;отсутствуют;0;0;отсутствуют;0;0;отсутствуют;0;0
84617;отсутствуют;0;0;отсутствуют;0;0;-;-;-
84617;-;-;-;-;-;-;-;-;-
84673;отсутствуют;0;0;отсутствуют;0;0;0;0;0
84673;отсутствуют;0;0;отсутствуют;0;0;отсутствуют;0;0
84688;нет;нет;нет;нет;нет;нет;нет;нет;нет
84688;нет;нет;нет;нет;нет;нет;нет;нет;нет
84743;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
84743;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
84755;-;-;-;-;-;-;-;-;-
84755;-;-;-;-;-;-;-;-;-
84938;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
84938;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
84976;Необходимость проведения сертификационных испытаний оборудования;1;-;отсутствуют;-;-;1;1;-
84976;Необходимость проведения опытной эксплуатации оборудования;1;-;отсутствуют;-;-;-;-;-
84988;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
84988;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
85086;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
85086;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
85115;-;-;-;-;-;-;-;-;-
85115;-;-;-;-;-;-;-;-;-
85134;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
85134;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
85149;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
85149;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
85168;-;-;-;-;-;-;-;-;-
85168;-;-;-;-;-;-;-;-;-
85210;-;-;-;-;-;-;-;-;-
85210;-;-;-;-;-;-;-;-;-
85211; ; ; ; ; ; ; ; ; 
85211; ; ; ; ; ; ; ; ; 
85226;-;-;-;-;-;-;-;-;-
85226;-;-;-;-;-;-;-;-;-
85227;-;-;-;-;-;-;-;-;-
85227;-;-;-;-;-;-;-;-;-
85234;нет;-;-;-;-;-;-;-;-
85234;-;-;-;-;-;-;-;-;-
85240;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо
85240;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо
85253;нет;нет;нет;нет;нет;нет;-;-;-
85253;нет;нет;нет;нет;нет;нет;-;-;-
85254;отсутствуют ;отсутствуют ;отсутствуют ;отсутствуют ;отсутствуют ;отсутствуют ;отсутствуют ;отсутствуют ;отсутствуют 
85254;отсутствуют ;отсутствуют ;отсутствуют ;отсутствуют ;отсутствуют ;отсутствуют ;отсутствуют ;отсутствуют ;отсутствуют 
85307;Отсутствуют ;Отсутствуют ;Отсутствуют;Отсутствуют ;Отсутствуют ;Отсутствуют ;Отсутствуют ;Отсутствуют ;Зависит от количества и условий заключенных специальных инвестиционных контрактов
85307;-;-;-;-;-;-;-;-;-
85314;дополнительны элемент в борьбе по усилению мер по предупреждению, сдерживанию и ликвидации незаконного, несообщаемого и нерегулируемого промысла;"отсутствуют
";отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
85314;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
85328;-;-;-;-;-;-;-;-;-
85328;-;-;-;-;-;-;-;-;-
85344;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
85344;Отсутствуют ;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
85356;Отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.
85356;Отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.
85357;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует
85357;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует
85367;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
85367;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
85369;-;-;-;-;-;-;-;-;-
85369;-;-;-;-;-;-;-;-;-
85394;не требуется;-;-;-;-;-;-;-;-
85394;-;-;-;-;-;-;-;--;-
85417;отсутвует;отсутвует;отсутвует;отсутвует;отсутвует;отсутвует;отсутвует;отсутвует;отсутвует
85417;отсутвует;отсутвует;отсутвует;отсутвует;отсутвует;отсутвует;отсутвует;отсутвует;отсутвует
85434;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
85434;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
85459;Не предполагаются;-;-;Не предполагаются;-;-;-;-;-
85459;Вид издержек №;-;-;Вид издержек №;-;-;7.1.6.;-;-
85489;-;-;-;-;-;-;-;-;-
85489;-;-;-;-;-;-;-;-;-
85510;-;-;-;-;-;-;-;-;-
85510;-;-;-;-;-;-;-;-;-
85531;-;-;-;-;-;-;-;-;-
85531;-;-;-;-;-;-;-;-;-
85618;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
85618;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
85666;-;-;-;-;-;-;-;-;-
85666;-;-;-;-;-;-;-;-;-
85695;-;-;-;-;-;-;-;-;-
85695;-;-;-;-;-;-;-;-;-
85725;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
85725;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
85764;Приобретение оборудования для нанесения дополнительной маркировки транспортных средств (может быть востребовано для органов по сертификации и испытательных лабораторий (центров), ранее не осуществлявших нанесение маркировки  на единичные транспортные средства;единовременные ;отсутствует ;"Ведение учета выдаваемых по результатам нанесения дополнительной маркировки документов, подтверждающих нанесение 
дополнительной маркировки, формирование и ведение соответствующего архива, а также предоставление, при 
необходимости, информации об этом по запросу со стороны контрольно-надзорных и правоохранительных органов";отсутствует ;периодические ;С учетом представляемых полномочий создание условий для получения дополнительных источников доходов ;С учетом представляемых полномочий создание условий для получения дополнительных источников доходов ;периодическое
85764;Вид издержек;единовременные ;отсутствует ;Вид издержек;отсутствует ; периодические;Преимущество;отсутствует;периодические
85791;-;-;-;-;-;-;-;-;-
85791;-;-;-;-;-;-;-;-;-
85807;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует
85807;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует;Отсутствует
85813;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
85813;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных;нет данных
85825;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
85825;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
85840;-;-;-;-;-;-;-;-;-
85840;-;-;-;-;-;-;-;-;-
85873;-;-;-;-;-;-;-;-;-
85873;-;-;-;-;-;-;-;-;-
86195;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
86195;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
86240;Отсутствуют;-;-;Отсутствуют;-;-;-;-;-
86240;Отсутствуют;-;-;Отсутствуют;-;-;В целях строительства объектов инфраструктуры СЭЗ лицо, не являющееся резидентом или управляющей компанией СЭЗ, но с которым заключено соглашение о взаимодействии в сфере развития инфраструктуры СЭЗ, может без проведения торгов арендовать земельный участок, находящийся в государственной или муниципальной собственности и расположенный в границах СЭЗ или на прилегающей к ней территории.-;-;-
86299;-;-;-;-;-;-;-;-;-
86299;-;-;--;-;-;-;-;-;-
86311;Информация отсутствует.;Отсутствуют. ;Отсутствуют.;Информация отсутствует.;Информация отсутствует;Информация отсутствует.;Информация отсутствует;Информация отсутствует;Информация отсутствует.
86311;Информация отсутствует;Информация отсутствует.;Информация отсутствует;Информация отсутствует;Информация отсутствует.;Информация отсутствует;Информация отсутствует;Информация отсутствует.;Информация отсутствует.
86398;отсутствует;0;0;отсутствуют;0;0;0;0;0
86398;отсутствует;0;0;отсутствуют;0;0;отсутствуют;0;0
86510;-;-;-;-;-;-;-;-;-
86510;-;-;-;-;-;-;-;-;-
86521;-;-;1 раз в год;-;-;-;-;-;-
86521;--;-;0-;-;-;-;-;-;-
86537;-;-;-;-;-;-;-;-;-
86537;-;-;-;-;-;-;-;-;-
86725;-;-;-;-;-;-;-;-;-
86725;-;-;-;-;-;-;-;-;-
86780;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
86780;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
86793;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняетсяИнформация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
86793;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
86839;-;-;-;-;-;-;-;-;-
86839;-;-;-;-;-;-;-;-;-
86915;отсутствуют;-;-;отсутствуют;-;-;-;-;-
86915;отсутствуют;-;-;отсутствуют;-;-;отсутствуют;-;-
86953;данные отсутствуют;данные отсутствуют;данные отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
86953;данные отсутствуют;данные отсутствуют;данные отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
87050;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
87050;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
87057;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
87057;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
87064;-;-;-;-;-;-;-;-;-
87064;-;-;-;-;-;-;-;-;-
87069;нет;нет;нет;нет;нет;нет;нет;нет;нет
87069;нет;нет;нет;нет;нет;нет;нет;нет;нет
87074;-;-;-;-;-;-;-;-;-
87074;-;-;-;-;-;-;-;-;-
87075;Отсутствует;-;-;Отсутствует;-;-;-;-;-
87075;-;-;-;-;-;-;-;-;-
87095;                                                      _;                      _;                          _;                                                      _;                         _;                             _;                        _;                        _;                              _
87095;                                                     _;                     _;                          _;                                                      _;                         _;                              _;                                                  _;                         _;                              _
87205;_;_;_;_;_;_;_;_;_
87205;_;_;_;_;_;_;_;_;_
87256;Вид издержек 1;нет;нет;Вид издержек 1;нет;нет;нет;нет;нет
87256;Вид издержек N;нет;нет;Вид издержек N;нет;нет;Преимущество N;нет;нет
87385;нет данных;-;-;нет данных;-;-;Преимущество №;Преимущество №;-
87385;Вид издержек №;-;-;Вид издержек №;-;-;-;-;-
87412;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
87412;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется;Информация уточняется
87416;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо
87416;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо
87440;нет;нет;нет;нет;нет;нет;нет;нет;нет
87440;нет;нет;нет;нет;нет;нет;нет;нет;нет
87503;-;-;-;-;-;-;-;-;-
87503;-;-;-;-;-;-;-;-;-
87519;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
87519;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
87609;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
87609;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
87804;_;_;_;_;_;_;_;_;_
87804;_;_;_;_;_;_;_;_;_
87843;-;-;-;-;-;-;-;-;-
87843;-;-;-;-;-;-;-;-;-
87927;оценка не проводилась;оценка не проводилась;оценка не проводилась;оценка не проводилась;оценка не проводилась;оценка не проводилась;оценка не проводилась;оценка не проводилась;оценка не проводилась
87927;оценка не проводилась;оценка не проводилась;оценка не проводилась;оценка не проводилась;оценка не проводилась;оценка не проводилась;оценка не проводилась;оценка не проводилась;оценка не проводилась
87980;"уменьшение расходов в связи с совершенствованием системы упраления земельными ресурсами; Реализация закона и внедрение схем землеустройства позволит увеличить продуктивность использования земель сельскохозяйственного назначения на 7-8% с 2023 года (данный показатель не может быть выражен в денежном выражении в связи с различными режимом налогооблажения в сельском хозяйстве. Однако, предположительно это увеличит поступления в бюджеты ежегодно на 1.4 млрд руб начиная с 2025 года); укрепление института собственности, создание условий для единообразного порядка установления разрешенного использования земельных участков, развитие системы планирования территорий, упрощение системы управления землями, рост инвестиций в связи с совершенствованием системы планирования использования земель, сокращение срока оформления прав на землю в целях строительства на 3-6 месяцев";-;-;-;-;-;-;-;-
87980;-;-;-;-;-;-;-;-;-
87994;Положительный эффект в связи с совершенствованием института землеустройства;-;-;-;-;-;-;-;-
87994;-;-;-;-;-;-;-;-;-
88067;-;-;-;-;-;-;-;-;-
88067;-;-;-;-;-;-;-;-;-
88080;оценка не проводилась;не проводилась;не проводилась;оценка не проводилась;не проводилась;не проводилась;не проводилась;не проводилась;не проводилась
88080;оценка не проводилась;не проводилась;не проводилась;оценка не проводилась;не проводилась;не проводилась;оценка не проводилась;не проводилась;не проводилась
88093;-;-;-;-;-;-;-;-;-
88093;-;-;-;-;-;-;-;-;-
88106;нет;нет;нет;нет;нет;нет;нет;нет;нет
88106;нет;нет;нет;нет;нет;нет;нет;нет;нет
88107;-;-;-;-;-;-;-;-;-
88107;-;-;-;-;-;-;-;-;-
88111;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
88111;-;-;-;-;-;-;-;-;-
88184;отсутствуют;0;0;отсутствуют;0;0;0;0;0
88184;отсутствуют;0;0;отсутствуют;0;0;отсутствуют;0;0
88191;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Обращение на территории Российской Федерации безопасной пожарно-технической продукции.;Обращение на территории Российской Федерации безопасной пожарно-технической продукции.;Отсутствуют
88191;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
88207;-;-;-;-;-;-;-;-;-
88207;-;-;-;-;-;-;-;-;-
88221;-;-;-;-;-;-;-;-;-
88221;-;-;-;-;-;-;-;-;-
88277;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
88277;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
88312;-;-;-;-;-;-;-;-;-
88312;-;-;-;-;-;-;-;-;-
88338;Вид издержек 1;Отсутствуют;Отсутствуют;Вид издержек 1;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
88338;Вид издержек N;Отсутствуют;Отсутствуют;Вид издержек N;Отсутствуют;Отсутствуют;Преимущество N;Отсутствуют;Отсутствуют
88344;Проведение  регистрации  научных и образовательных организаций, осуществляющих проведение предварительного информационного поиска и подготовку заключения о предварительной оценке патентоспособности;нет;в рамках бюджетных ассигнований;нет;нет;нет;возможность выбора заявителем наиболее оптимальной процедуры проведения информационного поиска и предварительной оценки патентоспособности заявленного решения;возможность выбора заявителем наиболее оптимальной процедуры проведения информационного поиска и предварительной оценки патентоспособности заявленного решения;нет
88344;принятие акта Правительства Российской Федерации;нет;в рамках бюджетных ассигнований;нет;нет;нет;возможность увеличение доходов бюджета за счет оптимизации количества заявлений, по которым возможно получение льготы по освобождению от уплаты патентных пошлин;нет;нет
88400;нет;нет;нет;нет;нет;нет;нет;нет;нет
88400;нет;нет;нет;нет;нет;нет;нет;нет;нет
88427;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
88427;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
88493;-;-;-;-;-;-;-;-;-
88493;-;-;-;-;-;-;-;-;-
88523;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо
88523;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо
88555;-;-;-;-;-;-;-;-;-
88555;-;-;-;-;-;-;-;-;-
88558;-;-;-;-;-;-;-;-;-
88558;-;-;--;-;-;--;-;-;-
88559;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
88559;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует;Информация отсутствует
88567;-;-;-;-;-;-;-;-;-
88567;-;-;-;-;-;-;-;-;-
88575;-;-;-;-;-;-;-;-;-
88575;-;-;-;-;-;-;-;-;-
88593;-;-;-;-;-;-;-;-;-
88593;-;-;-;-;-;-;-;-;-
88624;-;-;-;-;-;-;-;-;-
88624;-;-;-;-;-;-;-;-;-
88673; ; ; ; ; ; ; ; ; 
88673; ; ; ; ; ; ; ; ; 
88692;-;-;-;-;-;-;-;-;-
88692;-;-;-;-;-;-;-;-;-
88703;-;-;-;-;-;-;-;-;-
88703;-;-;-;-;-;-;-;-;-
88756;отсутствует;-;-;отсутствует;-;-;-;-;-
88756;отсутствует;-;-;отсутствует;-;-;отсутствует;-;-
88911;-;-;-;-;-;-;-;-;-
88911;-;-;-;-;-;-;-;-;-
88919;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
88919;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
88925;-;-;-;-;-;-;-;-;-
88925;-;-;-;-;-;-;-;-;-
88975;законопроект будет способствовать решению задачи по вовлечению  в налоговый оборот ранее учтенных земельных участков и объектов капитального строительства, поскольку в отсутствие соответствующих сведений о правообладателе объекта недвижимости в ЕГРН препятствует уплате законно установленных имущественных налогов.;При реализация федерального закона «О внесении изменений в отдельные законодательные акты Российской Федерации в части установления порядка выявления правообладателей ранее учтенных объектов недвижимости» может потребоваться дополнительное финансирование из бюджетов бюджетной системы Российской Федерации на проведение мероприятий по выявлению правообладателей объектов недвижимости и обеспечению внесения сведений о таких правообладателях в Единый государственный реестр недвижимости, при этом указанные расходы будут компенсированы за счет будущих поступлений  в соответствующие бюджеты в виде уплаты налогов на недвижимое имущество;-;-;опубликование в порядке, установленном для официального опубликования (обнародования) муниципальных правовых актов либо законов субъектов Российской Федерации – городов федерального значения Москвы, Санкт-Петербурга и Севастополя, на официальном сайте муниципального образования или уполномоченного органа, в информационно-телекоммуникационной сети «Интернет», на информационных щитах в границах населенного пункта, на территории которого расположены ранее учтенные объекты недвижимости, либо на иной территории, расположенной за границами населенного пункта (в случае проведения работ по выявлению правообладателей объектов недвижимости за пределами границ населенного пункта), сообщения о способах и порядке предоставления в уполномоченные органы сведений о правообладателях ранее учтенных объектов недвижимости такими правообладателями.;-;-;-;-
88975;-;-;-;-;-;-;-;-;-
89136;-;-;-;-;-;-;-;-;-
89136;-;-;-;-;-;-;-;-;-
89215;-;-;-;-;-;-;-;-;-
89215;-;-;-;-;-;-;-;-;-
89256;0;0;0;0;0;0;0;0;0
89256;0;0;0;0;0;0;0;0;0
89329;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо
89329;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо
89338;нет;нет;нет;нет;нет;нет;нет;нет;нет
89338;нет;нет;нет;нет;нет;нет;нет;нет;нет
89355;отсутствует;отсутствует;отсутствует;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
89355;отсутствует;отсутствует;отсутствует;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
89363;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо
89363;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо;не применимо
89419;-;-;-;-;-;-;-;-;-
89419;-;-;-;-;-;-;-;-;-
89489;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
89489;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
89665;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
89665;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
