regulation_project_id;Наименование новой или изменяемой функции, полномочия, обязанности или права;Наименование органа;Единовременные расходы в год возникновения;Периодические расходы за период;Возможные поступления за период
59788;Отсутствуют ;Отсутствует;Отсутствуют ;Отсутствуют ;Отсутствуют 
59826;нет;нет;нет;нет;нет
59828;Создание государственной информационной системы в области племенного животноводства;Минсельхоз России;70 543,6 тыс.р;нет;нет
59840;нет;нет;0;0;0
59841;Нет;Росавиация;Нет;Нет;Нет
59843;Нет;Росавиация;Нет;Нет;0
59855;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено;Отсутствует;не предусматриваются;не предусматриваются;не предусматриваются
59865;Новые функции, полномочия, обязанности или права Ростехнадзору и  МЧС России данными Федеральными нормами и правилами в области промышленной безопасности не вводятся;Ростехнадзор и МЧС России;не предусмотрены;не предусмотрены;не предусмотрены
59925;Государственная регистрация прав, ограничений (обременений) прав на земельные участки из земель сельскохозяйственного назначения, сделок, на основании которых ограничиваются (обременяются) права на них ;Орган, осуществляющий государственный кадастровый учет и государственную регистрацию прав;отсутствуют;отсутствуют;государственная пошлина за совершение государственной регистрации договора аренды земельных участков из земель сельскохозяйственного назначения – 350 рублей
59958;____;Роспотребнадзор;отсутствуют;отсутствуют;отсутствуют
60012;-;отсутсвует;нет;нет;нет
60015;(N.K);вышеуказанные органы отсутствуют;-;-;0
60031;(N.K);(Орган N) отсутствует;отсутствует;отсутствует;отсутствует
60032;нет;нет;0;0;0
60042;-;за счет взыскания штрафов в доход федерального бюджета с нарушителей законодательства Российской Федерации о транспортной безопасности;-;-;-
60066;не определен;расходы не предусмотрены;не предусмотрены;не предусмотрены;не планируются
60073;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено;Отсутствует;не предусматриваются;не предусматриваются;не предусматриваются
60099;(N.K);Налоговые органы;оценка не проводилась;оценка не проводилась;оценка не проводилась
60101;нет;Росрыболовство;нет;нет;нет
60109;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
60125;Оформления и выдачи разрешений на добычу (вылов) водных биоресурсов в электронном виде с использованием электронной подписи;Росрыболовство;нет;нет;нет
60125;Контроль (надзор) в области рыболовства и сохранения водных биоресурсов в части добычи (вылова) пресноводных водных биоресурсов;Росрыболовство;нет;нет;нет
60125;Контроль (надзор) в области рыболовства и сохранения водных биоресурсов в части добычи (вылова) морских водных биоресурсов;ФСБ России;нет;нет;нет
60129;нет;нет;нет;нет;нет
60152;(N.K);(Орган N) отсутствует;отсутствует;отсутствует;отсутствует
60155;Наделение ФТС России полномочиями на утверждение порядка действий уполномоченных должностных лиц таможенных органов при изъятии и уничтожении товаров, а также формы и порядка заполнения, учета и хранения актов о факте изъятия и актов об уничтожении запрещенной к ввозу продукции и форм журналов регистрации таких актов.;Федеральная таможенная служба;отсутствуют.;отсутствуют.;отсутствуют.
60168;Нет;Нет;Единовременные ;Нет;Нет
60177;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено;Минздрав России;не предусматриваются;не предусматриваются;не предусматриваются
60187;нет;нет;нет;нет;нет
60246;"Обработка дополнительной информации 
в  процессе проведения анализа обоснованности применения особых формул расчета ставок вывозных таможенных пошлин на нефть сырую, добываемую на конкретных месторождениях, 
в соответствии с проектом приказа
";все заинтересованные федеральные органы исполнительной власти;0;0;0
60260;Устранение дублирующих источников финансирования льгот по лекарственному обеспечению;Минздрав России;отсутствуют;отсутствуют;отсутствуют
60267;нет;нет;.;.;.
60296;(N.K);вышеуказанные органы отсутствуют;-;-;0
60304;Отсутствие новой или изменяемой функции, полномочия, обязанности или права;все заинтересованные федеральные органы исполнительной власти;0;0;0
60335;-;проект приказа ФНС России не влечет расходов (возможных поступлений);-;-;-
60357;(N.K);(Орган N) отсутствует;отсутствует;отсутствует;отсутствует
60359;Принятие постановления не потребует выделения дополнительных средств из федерального бюджета;Минсельхоз России;Принятие постановления не потребует выделения дополнительных средств из федерального бюджета;Принятие постановления не потребует выделения дополнительных средств из федерального бюджета;Нет.
60366;-;-;Расходов или  поступлений бюджетов бюджетной системы Российской Федерации не предусмотрено;Расходов или  поступлений бюджетов бюджетной системы Российской Федерации не предусмотрено;Расходов или  поступлений бюджетов бюджетной системы Российской Федерации не предусмотрено
60402;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
60405;отсутствует;отсутствует;нет;нет;нет
60408;отсутствует;отсутствует;нет;нет;нет
60416; ;Минздрав России; ;один год;один год
60431;"Формирование и размещение на официальном сайте Росфинмониторинга в информационно-телекоммуникационной сети Интернет сведений об организациях и физических лицах, включенных в перечень организаций и физических лиц, в отношении которых имеются сведения об их причастности к распространению оружия массового уничтожения, а также обработка информации об операциях, подлежащих обязательному контролю в соответствии с пунктом 1 проектируемой статьи 7.5 Федерального закона от 7 августа 2001 г. № 115-ФЗ ""О противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма""";Росфинмониторинг;1,5 млн. рублей (в пределах выделенных Росфинмониторингу бюджетных ассигнований);Отсутствуют;Отсутствуют
60433;(N.K);(Орган N) отсутствует;отсутствует;отсутствует;отсутствует
60444;Отсутствует ;Отсутствует;Отсутствует ;Отсутствует ;Отсутствует 
60448;нет;нет;-;-;-
60465;отсутствует;отсутствует;отсутствуют;отсутствуют;отсутствуют
60476;нет;отсутствует;нет;нет;нет
60492;" Предусмотрено 
введение новых функций, полномочий, обязанностей 

Ведение реестра взаимозаменяемых лекарственных препаратов для медицинского применения
";Минздрав России; ; ; 
60527;контроль и надзор в сфере оказания услуг;Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор).;0;0;0
60544;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
60566;Нет;Нет;Нет;Нет;Нет
60575;____;____;отсутствуют;отсутствуют;отсутствуют
60592;Новые функции, полномочия, обязанности или права Ростехнадзору и  Минтруд России данным проектом не вводятся;Ростехнадзор и Министерство труда и социальной защиты Российской Федерации;не предусмотрены;не предусмотрены;не предусмотрены
60598;-;-;-;-;-
60618;-;-;-;-;-
60627;Не определён.;Количественная оценка расходов (возможных поступлений) не проводилась;Не предусмотрены.;Не предусмотрены.;Не предусмотрены.
60628;нет;нет;нет;нет;нет
60638;(N.K);Наименование органа : проект приказа ФНС России не влечет расходов (возможных поступлений);0;0;0
60655;нет;Росрыболовство;0;0;0
60693;отсутствуют;Принятие проекта акта не потребует расходов бюджетов бюджетной системы Российской Федерации;отсутствуют;отсутствуют;отсутствуют
60698;отсутствуют;отсутствуют;отсутствуют;отсутствуют;отсутствуют
60702;Нет;Нет;Нет;Нет;Нет
60713;Ведение реестра недобросовестных участников аукционов на право пользования участками недр;ФАС России;Не производилась;Не производилась;Не производилась
60723;отсутствует ;отсутствует;0;0;0
60739;Отсутствуют (функции и полномочия не изменятся, по результатам учреждения отдельным  актом Правительства РФ федерального учреждения изменится количество подведомственных Минприроды России федеральных государственных бюджетных учреждений);Минприроды России;"Расходы будут связаны с функционированием ФГБУ ""Государственный природный заповедник ""Васюганский"", которое будет создано отдельным актом Правительства РФ по результатам издания постановления Правительства РФ о создании государственного природного заповедника. Проект акта Правительства РФ об учреждении ФГБУ ""Государственный природный заповедник ""Васюганский"" будет включать соотвествующее финансово-экономическое обоснование";"Проект акта Правительства РФ об учреждении ФГБУ ""Государственный природный заповедник ""Васюганский"" будет включать соответствующее финансово-экономическое обоснование";"Проект акта Правительства РФ об учреждении ФГБУ ""Государственный природный заповедник ""Васюганский""  будет включать соответствующее финансово-экономическое обоснование"
60744;Минтранс России;Министерство транспорта Российской Федерации;нет;нет;количественные данные отсутствуют
60774;нет;нет;нет;нет;нет
60777;-;В связи с увеличением доходов от реализации услуг по перевозке пассажиров и багажа по данным направлениям, ожидается рост поступлений в соответствующие бюджеты бюджетной системы Российской Федерации от налога на прибыль на сумму приблизительно 1,7 млрд. руб. ежегодно. Прогнозируемое сокращение доходов федерального бюджета Российской Федерации в связи с реализацией предлагаемого законопроектом решения (необходимостью возмещения НДС, предъявленного поставщиками товаров, работ, услуг, авиаперевозчикам) составит порядка 8,6 млрд. руб.;-;-;-
60783;низкая;исполнительные органы государственной власти или органы местного самоуправления, уполномоченные на распоряжение земельными участками, находящимися в государственной или муниципальной собственности, орган управления государственным фондом недр;Отсутсвтуют;Отсутсвтуют;Отсутсвтуют
60784;Новые функций, полномочия и обязанности не предусмотрены.;Федеральное дорожное агентство, органы государственной власти субъектов Российской Федерации, органы местного самоуправления;Нет;Нет;Нет
60787;нет;Росрыболовство;0;0;0
60789;нет;Росрыболовство;0;0;0
60807;-;проект приказа ФНС России не влечет расходов (возможных поступлений);-;-;-
60816;Не ожидаются;Роспотребнадзор;В рамках текущего финансирования;Не ожидаются;Не ожидаются
60819;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
60829;(N.K);(Орган N);-;-;около 306 млн. руб.
60835;не установлено;не установлено;не установлено;не установлено;не установлено
60841;Принятие проекта постановления не повлечет появление новых и изменение существующих функций, полномочий, обязанностей или прав для органов исполнительной власти;Росприроднадзор;0;0;Не прогнозируются
60842;(N.K);проект приказа ФНС России не влечет расходов (возможных поступлений);0;0;0
60843; ;Минздрав России; ; ;один год
60852;нет;нет;нет;нет;нет
60861;-;рганы местного самоуправления поселений, городских округов, органы исполнительной власти субъектов Российской Федерации, федеральные органы исполнительной власти;Нет информации;Нет информации;Нет информации
60891;(N.K);проект приказа ФНС России не влечет расходов (возможных поступлений);0;0;0
60897;отсутствует;отсутствует;отсутствуют;отсутствуют;отсутствуют
60901;Федеральный орган исполнительной власти в области связи;Нет;Нет;Нет;Нет
60924;"Определения органами государственной власти субъектов Российской Федерации мест нахождения источников повышенной опасности, в которых не допускается розничная продажа алкогольной продукции и розничная продажа алкогольной продукции при оказании услуг общественного питания; определение органами местного самоуправления границ прилегающих к некоторым зданиям, строениям, сооружениям, помещениям, объектам и местам территорий, на которых не допускается розничная продажа алкогольной продукции и розничная продажа алкогольной продукции при оказании услуг общественного питания";Органы государственной власти субъектов Российской Федерации, органы местного самоуправления;нет;нет;нет 
60943;Осуществление в отношении граждан, использующих внутридомовое и внутриквартирное газовое оборудование,  юридических лиц, индивидуальных предпринимателей, осуществляющих виды деятельности в сфере  использования, технического обслуживания, ремонта и технического диагностирования внутридомового и внутриквартирного газового оборудования, регионального государственного жилищного надзора с периодичностью плановых проверок один раз в год перед наступлением отопительного сезона.;Органы исполнительной власти субъектов Российской Федерации;Нет данных;Нет данных;Нет данных
60967;-;Расходы отсутствуют;0 р.;0 р.;0 р.
60975;Необходимость  в новых или в изменении существующих функций, полномочий, обязанностей или прав отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.;Отсутствует.
60998;отсутстует;Отсутствует;не предусматриваются;отсутствует;отсутствует
61005;нет;нет;нет;нет;нет
61009;Контроль (надзор) за маркировкой вина, игристого вина (шампанского) будет осуществляться в рамках действующих полномочий федеральных органов исполнительсной власти.;ФАС России;не потребуются;не потребуются;не потребуются
61009;Контроль (надзор) за маркировкой вина, игристого вина (шампанского) будет осуществляться в рамках действующих полномочий федеральных органов исполнительсной власти.;ФТС России;не потребуются;не потребуются;не потребуются
61009;Контроль (надзор) за маркировкой вина, игристого вина (шампанского) будет осуществляться в рамках действующих полномочий федеральных органов исполнительсной власти.;Росалкогольрегулирование;не потребуются;не потребуются;не потребуются
61009;Контроль (надзор) за маркировкой вина, игристого вина (шампанского) будет осуществляться в рамках действующих полномочий федеральных органов исполнительсной власти.;Роспотребнадзор;не потребуются;не потребуются;не потребуются
61021; ;Ростехнадзор;Отсутствуют;Отсутствуют;Отсутствуют
61026;"Информирование пользователей автомобильных дорог о введении периодов временного ограничения движения,
Установка дорожных знаков
";органы управления дорожным хозяйством (федеральные казенные учреждения, подведомственные Росавтодору, ГК «Автодор»);~ 12,0 млн. руб;~ 12,0 млн. руб.;-
61027;Новые функции не вводятся, действующие сохраняются ;Министерство труда и социальной защиты Российской Федерации (Минтруд России);0;0;0
61027;Новые функции не вводятся, действующие сохраняются;Федеральная служба по труду и занятости (Роструд);0;0;0
61048;нет;нет;нет;нет;нет
61053;Новые функции, полномочия, обязанности и права не вводятся, действующие сохраняются ;Министерство труда и социальной защиты Российской Федерации (Минтруд России);0;0;0
61053;Новые функции, полномочия, обязанности и права не вводятся, действующие сохраняются ;Федеральная служба по труду и занятости (Роструд);0;0;0
61087;"Предусмотрено 
введение новых функций, полномочий, обязанностей 
Уплата государственных пошлин за совершение уполномоченным федеральным органом исполнительной власти действий, связанных с осуществлением регистрации лекарственных средств, предназначенных для обращения на общем рынке лекарственных средств в рамках Союза, в соответствии с Правилами регистрации в размерах в зависимости от видов осуществляемых действий."; ;Отсутствуют;Отсутствуют;В размере государственных пошлин, уплачиваемых за совершение уполномоченным федеральным органом исполнительной власти действий, связанных с осуществлением регистрации лекарственных средств, предназначенных для обращения на общем рынке лекарственных средств в рамках Союза, в соответствии с Правилами регистрации в размерах в зависимости от видов осуществляемых действий.
61107;Реализация полномочий по нормативно-правовому регулированию в части установления предусмотренных постановлением Правительства Российской Федерации  особенностей проведения специальной оценки условий труда в отношении рабочих мест выбранной группы работодателей.;Министерство труда и социальной защиты Российской Федерации (Минтруд России);0;0;0
61107;Новые функции не вводятся, действующие сохраняются, уточняется порядок реализации действующих функций.;Федеральная служба по труду и занятости (Роструд);0;0;0
61112;отсутствует;Ростехнадзор, Ространснадзор;не потребуются;не потребуются;отсутствуют
61123;нет;нет;нет;нет;нет
61130;(N.K);(Орган N) отсутствует;отсутствует;отсутствует;отсутствует
61132;выдача племенных свидетельств по формам, утверждаемым проектом приказа;органы власти субъектов РФ, осуществляющих полномочия в сфере племенного животнеоводства;нет данных;нет данных;нет данных
61135;-;отсутствует;-;-;-
61144;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
61147;отсутствует;отсутствует;нет;нет;нет
61155;нет;нет;0;0;0
61164;Наделение Россельхознадзора полномочиями на утверждение порядка действий уполномоченных должностных лиц таможенных органов при изъятии и уничтожении товаров, а также формы и порядка заполнения, учета и хранения актов о факте изъятия и актов об уничтожении запрещенной к ввозу продукции и форм журналов регистрации таких актов.;Наименование органа: Федеральная служба по ветеринарному и фитосанитарному надзору;отсутствуют.;отсутствуют.;отсутствуют.
61169;Новые функции, полномочия, обязанности и права данными изменениями в некоторые приказы Ростехнадзора не вводятся;Ростехнадзор;не предусмотрены;не предусмотрены;не предусмотрены
61177;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют;данные отсутствуют
61189;Организация проведения экспертизы нормативов предельно допустимых выбросов в атмосферный воздух и допустимых сбросов в окружающую среду ;Ростехнадзор;Не предусмотрены;В соответствии с федеральным законом о федеральном бюджете на соответствующий календарный год;Предусмотрены
61201;нет;Росрыболовство;0;0;0
61209;Федеральная таможенная служба (ФТС России);Федеральная таможенная служба (ФТС России);отсутствуют;отсутствуют;отсутствуют
61244;-;проект приказа ФНС России не влечет расходов (возможных поступлений);0;0;0
61269;Наделение Росздравнадзора правом на совершение контрольных закупок;Росздравнадзор;не предусматриваются;не предусматриваются;не предусматриваются
61284;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
61285;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
61287;нет;нет;нет;нет;нет
61291;"1.  Направление данных, необходимых для восстановления утраченного пароля к личному кабинету, на адрес электронной почты, указанный пользователем.
2. При получении от пользователя личного кабинета налогоплательщика сведений о необходимости получения документов от налоговых органов на бумажном носителе, направление таких документов налогоплательщику";ФНС России;отсутствуют;отсутствуют;отсутствуют
61302;-;Территориальные налоговые органы;Не потребуются;В случае возникновения будут осуществляться в рамках финансирования ФНС России, предусмотренного федеральным бюджетом;Не прогнозируются
61311;Росприроднадзор и органы исполнительной власти субъектов Российской Федерации, осуществляющие надзор в области обращения с отходами;-;0;0;0
61348;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
61350;информация уточняется;информация уточняется;информация уточняется;информация уточняется;информация уточняется
61358;Отсутствует;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
61377;нет;нет;нет;нет;нет
61381;-;-;-;-;-
61386;-;-;-;-;-
61412;Нет;Нет;Нет;Нет;Нет
61447;Отсутствуют (функции и полномочия не изменятся, по результатам учреждения отдельным  актом Правительства РФ федерального учреждения изменится количество подведомственных Минприроды России федеральных государственных бюджетных учреждений);Минприроды России;Отсутствует;Отсутствует;Отсутствует
61454;Отсутсвует;Отсутсвует;Отсутсвует;Отсутсвует;Отсутсвует
61458;не требуется;Россельхознадзор;Не требуется;Не требуется;отсутствуют
61459;Отсуствуют;Отсутствуют;Отсуствуют;Отсутствуют;Отсутствуют
61467;отсутствует;отсутствует;отсутствуют;отсутствуют;отсутствуют
61468;Информация отсутствует;Информация отсутствует;Информация отсутствует ;Информация отсутствует ;Информация отсутствует 
61470;Утверждение порядка привлечения к участию в  выполнении мероприятий федерального государственного энергетического надзора общественных инспекторов.;Ростехнадзор;Не предусмотрены;"В рамках средств, предусмотренных в федеральном бюджете 
на руководство и управление в установленной сфере деятельности.";Не предусмотрены
61475;Нет данных;Отсутствует;Нет данных;Нет данных;Нет данных
61539;Необходимость  в новых или в изменении существующих функций, полномочий, обязанностей или прав отсутствует;Отсутствует;Отсутствуют;Отсутствуют;Отсутствуют
61556;ФТС России;ФТС России;Будут указаны после поступление сведений от ФТС России;Будут указаны после поступление сведений от ФТС России;не предусматриваются
61616;1. Утверждение порядка и формы ведения реестра членов саморегулируемой организации и реестра физических лиц и организаций, прошедших проверку готовности к выполнению сварочных работ на опасных производственных объектах;Ростехнадзор;"Дополнительного финансирования не требуется.
Будет реализовываться в рамках установленных бюджетных ассигнований";Не предусмотрены;Не предусмотрены
61620;(N.K);вышеуказанные органы отсутствуют;-;-;0
61623;-;-;-;-;-
61635;Расходы бюджетной системы Российской Федерации не предполагаются;Расходы бюджетной системы Российской Федерации не предполагаются;0;0;0
61663;Введение новых или изменение существующих функций, полномочий, обязанностей не предусмотрено ;Министерство здравоохранения Российской Федерации (Минздрав России);отсутствует;отсутствует;отсутствует
61664;-;-;-;-;-
61671;федеральный орган управления государственным фондом недр и его территориальные органы;в рамках текущего финансирования федерального органа управления государственным фондом недр и его территориальных органов;в рамках текущего финансирования федерального органа управления государственным фондом недр и его территориальных органов;в рамках текущего финансирования федерального органа управления государственным фондом недр и его территориальных органов;в рамках текущего финансирования федерального органа управления государственным фондом недр и его территориальных органов
61679;Проведение предварительного расследования по уголовным делам о преступлениях, связанных с нарушением требований к антитеррористической защищенности объектов (территорий) (за исключением объектов транспортной инфраструктуры, транспортных средств и объектов топливно-энергетического комплекса), мест массового пребывания людей.;Следственный комитет Российской Федерации, Федеральная служба безопасности Российской Федерации, Министерство внутренних дел Российской Федерации;отсутствуют;отсутствуют;отсутствуют
61680;-;-;-;-;-
61686;Отсутствует.;Правительство Российской Федерации;Отсутствует.;Отсутствует.;Отсутствует.
61694;-;расходов (возможных поступлений) бюджетов бюджетной системы Российской Федерации не предусматривается;не предусматривается;не предусматривается;не предусматривается
61696;-;-;-;-;-
61714;введение и администрирование налогового вычета к содержащимся в газовом конденсате газообразным компонентам ;Минфин России;не предусмотрены;Выпадающие доходы федерального бюджета от снижения поступлений налога на добычу полезных ископаемых в связи с принятием федерального закона ожидаются в размере от 21 до 25 млрд. руб. в год.;"Указанные выпадающие доходы компенсируются увеличившимися доходами федерального бюджета по НДПИ на газовый конденсат в связи с улучшившимися макроэкономическими параметрами по сравнению с плановыми.

В дальнейшем, в связи с реализацией в регионах крупных инвестиционных проектов, ожидается рост поступлений по налогу на имущество, НДС и налогу на прибыль организаций нефтехимической отрасли. Ожидается рост поступлений в консолидированный бюджет по налогу на прибыль организаций от недропользователей, применяющих предусмотренный законопроектом вычет, в размере до 4 млрд. руб. в год. "
61715;-;-;-;-;-
61716;(N.K);вышеуказанные органы отсутствуют;-;-;0
61747;  Нет;Издание постановления Правительства Российской Федерации «Об утверждении перечня видов медицинской деятельности, осуществление которой юридическими лицами и индивидуальными предпринимателями не препятствует осуществлению розничной продажи алкогольной продукции на территориях, прилегающих к зданиям, строениям, сооружениям, помещениям, находящимся во владении и пользовании указанных юридических лиц и индивидуальных предпринимателей» не потребует выделения дополнительных бюджетных ассигнований из федерального бюджета;  Нет;  Нет;  Нет
61786;нет;нет;нет;нет;нет
61793;Принятие решений об отнесении объектов речных портов, принадлежащих Российской Федерации, к объектам, находящимся  в неудовлетворительном состоянии или не востребованным в качестве объектов внутреннего водного транспорта;Федеральное агентство морского и речного транспорта Росимущество;не потребует выделения средств из федерального бюджета и не окажет влияния на финансово-экономические результаты деятельности ;-;-
61802;Минтранс России;принятие постановления Правительства Российской Федерации не потребует дополнительных расходов из федерального бюджета;0 руб.;0 руб.;0 руб.
61822;отсутствует;отсутствует;отсутствует;отсутствует;отсутствует
