regulation_project_id;Группа участников отношений;Оценка количества участников отношений
46654;Медицинские организации входящие;22700
46654;нет;нет
46658;Организации - исполнители коммунальных услуг  ;53270
46658;Органы Государственного жилищного надзора субъекта Российской Федерации;85
46659;"Организации, независимо от их организационно-правовых форм и форм собственности, осуществляющие деятельность в сфере водопроводно-канализационного хозяйства (водоканалы) 
";Порядка 12 тысяч организаций водопроводно-канализационного хозяйства и сотни тысяч их абонентов 
46659;Отсутствует;Отсутствует
46670;-;-
46670;-;-
46679;Органы государственной власти и местного самоуправления, уполномоченные на управление земельными ресурсами;-
46679;Юридические лица, правообладатели земельных участков;-
46686;управляющие организации, товарищества собственников жилья, жилищные, жилищно-строительные или иные специализированные потребительские кооперативы, а также потребители коммунальных услуг ;отсутствует 
46686;отсутствует;отсутствует 
46711;-;-
46711;-;-
46712;физические лица, претендующие на позиции должностных лиц туроператора ;с учётом количества туроператоров, состоящих в реестре туроператоров (4 156), и штата должностных лиц, попадаемых под действие данного постановления ( как правило бухгалтер и руководитель) единовременное количество может составить порядка 10 000 человек
46712;отсутствует;отсутствует
46716;Туроператор. турагент, турист и (или) иной заказчик;По предварительным данным 20-30 тысяч туроператоров и турагентов, неограниченный круг туристов и (или) иных заказчиков
46716;Федеральное агентство по туризму;Одно
46721;"Юридические лица - туроператоры; юридические лица и индивидуальные предприниматели - турагенты; физические и юридические лица, туристы";Все участники туристского рынка. При этом, в настоящее время официальная статистика отсутствует
46721;Федеральное агентстсво по туризму;Одно
46723;юридические лица и индивидуальные предприниматели,  совершающие сделки с необработанными драгоценными камнями.;-
46723;-;-
46726;Лица, перечисленные в частях 13-17 статьи 29 Федерального закона от 13 июля 2015 г. № 218-ФЗ «О государственной регистрации недвижимости»;сложно оценить, решение принимается самими заявителями, нужна им услуга или нет
46726;отсутствует;отсутствуют
46728;Юридические лица, оказывающие услуги по реализации  туристского продукта (туроператоры, турагенты) ;11614 (по официальной статистике число турфирм за 2014 год)
46728;потребители - заказчики туристского продукта;свыше 50 000 потребителей
46731;Саморегулируемые организации аудиторов;5
46731;Аудиторы;21500
46742;Юридические лица и индивидуальные предприниматели, являющиеся владельцами транспортных средств, автовокзалов и автостанций.;Отсутствуют.
46742;Инвалиды и сопровождающие их лица.;Источники статистических данных отсутствуют
46759;страховые организации(страховщики), кредитные организации (гаранты);"страховые организации – 395 (данные Росстата за  2014 год, без учета филиалов); кредитные организации (банки) – 718 (сведения Банка России о действующих кредитных организациях  на 01.03.2016, без учета филиалов)"
46759;туристы - заказчики туристского продукта;свыше 50 000 туристов
46779;Лица, имеющие намерение  стать  приобретателем объектов незавершенного строительства и земельных участков (прав на земельные участки), предназначенных для размещения объектов незавершенного строительства, и исполнить обязательства застройщика, находящегося в процедуре банкротства перед участниками долевого строительства;Оценка невозможна
46779;Участники долевого строительства;Оценка невозможна
46797;"1.	Юридические лица	
";"1.	Свыше 4,69 млн 
"
46797;"2.	Индивидуальные предприниматели
";"2.	Свыше 5,65 млн
"
46797;3.	Граждане;3.	 Свыше 146 млн.
46797;Отсутствует.;Отсутствует.
46816;субъекты электроэнергетики, потребители электрической энергии;Субъекты электроэнергетики, потребители электрической энергии территорий ДФО, а также ценовых зон оптового рынка.
46816;Нет;Нет
46825;Налогоплательщики НДС, оказывающие услуги по перевозке пассажиров железнодорожным транспортом в пригородном сообщении;Количественные данные отсутствуют
46825;-;-
46833;Отсутствуют;Отсутствуют
46833;Отсутствуют;Отсутствуют
46838;Юридические лица и индивидуальные предприниматели, независимо от их организационно-правовых форм и форм собственности и индивидуальные предприниматели, осуществляющих деятельность в области промышленной безопасности опасных производственных объектов, связанные с производством и потреблением продуктов разделения воздуха;По состоянию на декабрь 2015 года эксплуатацию опасных производственных объектов, связанных с производством и потреблением продуктов разделения воздуха, криогенной техники (не учитывая объекты где получаются, транспортируются, используются расплавы черных и цветных металлов и сплавы на основе этих расплавов) осуществляют порядка 425 предприятий.
46838;Федеральные органы исполнительной власти осуществляющие контрольные и надзорные функции в области промышленной безопасности на производственных объектах;Ростехнадзор
46842;Юридические лица и индивидуальные предприниматели, осуществляющие деятельность в области промышленной безопасности опасных производственных объектов хранения и переработки растительного сырья.;4135 организаций (юридических лиц), осуществляющих деятельность в сфере промышленной безопасности объектов хранения и переработки растительного сырья
46842;Иная группа участников отношений отсутствует;Иная группа участников отношений отсутствует
46851;Юридические лица и индивидуальные предприниматели, содержащие и применяющие эталоны единиц величин для оказания услуг в области обеспечения единства измерений по испытаниям с целью утверждению типа средств измерений и (или) стандартных образцов, поверке средств измерений, аттестации методик (методов) измерений.;приблизительно 5000
46851;Отсутствует;Отсутствует
46895;Недропользователи;Не производилась
46895;Заинтересованные органы государственной власти;Не производилась
46903;Поставщики и производители отдельных видов товаров машиностроения, а также закупающие отдельные виды товаров машиностроения в соответствии с Федеральным законом от 5 апреля 2013 г. № 44-ФЗ «О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд» органы власти и организации ;Оценка количества участников отношений представляется затруднительной
46903;Иная группа участников отношений отсутствует;Не представляется возможной
46905;организации и индивидуальные предприниматели, применяющие упрощенную систему налогообложения и патентную систему налогобложения;достоверно оценить количество указанных субъектов не представляется возможным
46905;-;-
46913;Отсутствует;Отсутствует
46913;Отсутствует;Отсутствует
46922;Юридические лица и индивидуальные предприятия;Отсутсвуют
46922;Отсутсвуют;Отсутсвуют
46925;Юридические лица, резиденты ОЭЗ в Калиниградской области, индивидуальные предприятия ;750 юридических лиц, 106 резидентов ОЭЗ в Калининградской области 
46925;Отсутсвуют;Отсутсвуют
46935;Юридические лица, индивидуальные предприниматели, деятельность которых связана с проектированием производственных зданий, технологических процессов, оборудования и вентиляции, с обеспечением контроля за качеством производственной и окружающей среды, профилактикой неблагоприятного воздействия взрывчатых веществ на здоровье персонала предприятий и населения, а также для органов, уполномоченных на осуществление федерального государственного санитарно-эпидемиологического надзора.;"Промышленные предприятия, осуществляющие работы со взрывчатыми веществами и их компонентами, включенные в Перечень организаций, подлежащих обслуживанию ФМБА России – 7.; Органы, осуществляющие федеральный государственный санитарно-эпидемиологический надзор за предприятиями:; территориальные органы ФМБА России – 3.; Центры гигиены и эпидемиологии ФМБА России, обеспечивающие деятельность его территориальных органов – 3.; Иные аккредитованные испытательные лаборатории (центры) – в соответствии с  Реестром органов по сертификации и аккредитованных испытательных лабораторий (центров)"
46935; -; -
46940;физические лица, оказывающие услуги экскурсоводов (гидов), гидов-переводчиков и инструкторов-проводников;официальная статистика отсутсвует
46940;органы исполнительной власти субъектов Российской Федерации в сфере туризма;85 субъектов Российской Федерации
46940;аккредитованные организации, уполномоченные на проведение аттестации инструкторов-проводников, сопровождающих туристов и обеспечивающих их безопасность при прохождении установленных видов туристских маршрутов;официальная статистика отсутсвует
46962;Юридические лица, индивидуальные предприниматели, деятельность которых связана с проектированием производственных зданий, технологических процессов, оборудования и вентиляции, с контролем качества окружающей среды и профилактикой неблагоприятного воздействия  аммония перхлората на здоровье населения, а также органы, уполномоченные осуществлять федеральный государственный санитарно-эпидемиологический надзор.;"Промышленные предприятия, осуществляющие работы с ракетным топливом и его компонентами, включенные в Перечень организаций, подлежащих обслуживанию ФМБА России –7.; Органы, осуществляющие федеральный государственный санитарно-эпидемиологический надзор за предприятиями:; территориальные органы ФМБА России –4.; Центры гигиены и эпидемиологии ФМБА России, обеспечивающие деятельность его территориальных органов – 4.; НИИ ФМБА России -3.; Иные аккредитованные испытательные лаборатории (центры) –в соответствии с  Реестром органов по сертификации и аккредитованных испытательных лабораторий (центров)."
46962; -;-
46968;Юридические лица, индивидуальные предприниматели, деятельность которых связана с проектированием производственных зданий, технологических процессов, оборудования и вентиляции, с обеспечением контроля за  качеством производственной среды и профилактикой неблагоприятного воздействия аммония перхлората на здоровье работающих, а также органы, уполномоченные осуществлять федеральный государственный санитарно-эпидемиологический надзор.;"Промышленные предприятия, осуществляющие работы с ракетным топливом и его компонентами, включенные в Перечень организаций, подлежащих обслуживанию ФМБА России – 7.; Органы, осуществляющие федеральный государственный санитарно-эпидемиологический надзор за предприятиями:; территориальные органы ФМБА России – 4.; Центры гигиены и эпидемиологии ФМБА России, обеспечивающие деятельность его территориальных органов – 4.; НИИ ФМБА России – 3.; Иные аккредитованные испытательные лаборатории (центры) – в соответствии с  Реестром органов по сертификации и аккредитованных испытательных лабораторий (центров)."
46968; -; -
46970;Юридические лица, индивидуальные предприниматели, осуществляющие контроль за качеством производственной и окружающей среды и профилактикой неблагоприятного воздействия на здоровье работающих и населения, а также  органы, уполномоченные осуществлять федеральный государственный санитарно-эпидемиологический надзор.;"Промышленные предприятия, осуществляющие работы с ракетным топливом и его компонентами, включенные в Перечень организаций, подлежащих обслуживанию ФМБА России –7.; Органы, осуществляющие федеральный государственный санитарно-эпидемиологический надзор за предприятиями:; территориальные органы ФМБА России –4.; Центры гигиены и эпидемиологии ФМБА России, обеспечивающие деятельность его территориальных органов – 4.; НИИ ФМБА России – 3.; Иные аккредитованные испытательные лаборатории (центры) – в соответствии с  Реестром органов по сертификации и аккредитованных испытательных лабораторий (центров)."
47004;Организации, - управляющие многоквартирным домом ;12000
47004;Отсутствует ;Отсутствует
47024;работающее население - вновь принятые работники;данные о количестве новых работников отсутствуют
47024;нет;нет
47032; юридические и физические  лица: владельцы мелиоративных систем и отдельно расположенных гидротехнических сооружений, учреждения сельскохозяйственного водоснабжения и мелиорации земель;Неограниченный круг лиц
47032;федеральные органы государственной власти, органы государственной власти субъектов, органы местного самоуправления;Согласно структуре органов власти соответствующего уровня
47033;редакции средств массовой информации, иные заинтересованные лица;Практика данного законопроекта не наработана. В связи с этим определить количество участников отношений не представляется возможным.
47033;-;-
47050;операторы железнодорожного подвижного состава, иные владельцы железнодорожного подвижного состава и контейнеров, владелец инфраструктуры железнодорожного транспорта общего пользования, перевозчики;не представляется возможным
47050;-;-
47054;Индивидуальные предприниматели и юридические лица;неограниченное количество
47054;Росавиация;1
47058;Граждане, субъекты   экономической деятельности, осуществляющие свою деятельность в сфере общественных перевозок, федеральные органы исполнительной власти, органы исполнительной власти субъектов Российской Федерации;Граждане более 3 500 000
47058;Отсутствует;Отсутствует
47069;сетевые организации, потребители электрической энергии, гарантирующие поставщики, энергосбытовые организации, исполнители коммунальных услуг ;не проводилась
47069;отсутствует;отсутствует
47071;сетевые организации, гарантирующие поставщики, заявители;не проводилась
47071;иные группы отсутствуют;отсутствуют
47073;(Описание группы субъектов предпринимательской и иной экономической деятельности N);Определить количество участников не представляется возможным. 
47073;(Описание иной группы участников отношений N);Определить количество участников не представляется возможным. 
47093;Компании реализующие приоритетные инвестиционные проекты в области освоения лесов.;По состоянию на 31.03.2016 г. в перечень приоритетных инвестиционных проектов в области освоения лесов включено 116 проектов, из них завершено 10.
47093;Юридические лица реализующие приоритетные инвестиционные проекты в области освоения лесов;116
47101;Образовательные организации, организации, осуществляющие обучение, а также индивидуальные предприниматели, за исключением индивидуальных предпринимателей, осуществляющих образовательную деятельность непосредственно ;свыше 2500
47101;Лицензирующие органы: федеральный орган исполнительной власти, осуществляющий функции по контролю и надзору в сфере образования, органы исполнительной власти субъектов Российской Федерации, осуществляющие Российской Федерации переданные полномочия в сфере образования;85
47111;Граждане, юридические лица и индивидуальные предприниматели, деятельность которых связана с эксплуатацией лагерей труда и отдыха. ;Все участники отношений, указанных в пункте 7.1.
47111;"Федеральный орган исполнительной власти, осуществляющий государственный санитарно-эпидемиологический надзор (контроль) за соблюдением  требований санитарных правил (Роспотребнадзор)";"1
85 (за 2015 год)"
47111;Территориальные органы федерального органа исполнительной власти, осуществляющего санитарно-эпидемиологический государственный надзор (контроль) за соблюдением требований санитарных правил;"1
85 (за 2015 год)"
47113;Юридические и физические лица, причинившие вред окружающей среде в результате хозяйственной и иной деятельности;546024
47113;Росприроднадзор;9 Департаментов по Федеральным округам и 72 Управления Росприроднадзора по субъектам Российской Федерации и Цекнтральный аппарат Росприроднадзора
47116;Граждане, юридические лица и индивидуальные предприниматели, деятельность которых связана с эксплуатацией лагерей труда и отдыха. ;Все участники отношений, указанных в пункте 7.1.
47116;"Федеральный орган исполнительной власти, осуществляющий государственный санитарно-эпидемиологический надзор (контроль) за соблюдением  требований санитарных правил (Роспотребнадзор);";"1; 85"
47116;Территориальные органы федерального органа исполнительной власти, осуществляющего санитарно-эпидемиологический государственный надзор (контроль) за соблюдением требований санитарных правил;"1; 85"
47121;Юридические лица и индивидуальные предприниматели, получившие лицензии на оказание услуг местной телефонной связи связи, отнесенные к малым предприятия и микропредприятиям;До 300
47121;Иные группы участников отношений отсутствуют;0
47138;лица, участвующие в строительстве;Не представляется возможным оценить количество участников
47138;Нет;Нет
47150;Организации, осуществляющими сортировку, первичную классификацию и первичную оценку драгоценных камней;4 организации
47150;-;-
47161;Производители отдельных видов промышленной продукции;оценить не представляется возможным
47161;Заинтересованные органы государственной власти и местного самоуправления;оценить не представляется возможным
47169;Неограниченный круг;неограниченное количество
47169;отсутствуют;отсутствуют
47177;территориальные сетевые организации;Около 1500
47177;иные владельцы объектов электросетевого хозяйства;Около 500
47194;Субъекты добычи драгоценных камней,   юридические лица и индивидуальные предприниматели, имеющие право осуществлять операции с драгоценными камнями, или их представители, имеющие письменное подтверждение соответствующих полномочий;-
47194;-;-
47197;"Участники внешнеэкономических деятельности
";"216
"
47197;Таможенные органы;6
47198;Лица занятые в непосредственном управлении беспилотными воздушными судами с взлетной массой более 30 кг. ;Не ограниченное количество
47198;Росавиация, Ространснадзор;2
47202;физические и юридические лица; более 100 тысяч
47202;органы местного самоуправления;около 2,5 тысяч
47210;юридические лица, индивидуальные предприниматели, осуществляющие деятельность на территории свободного порта;не ограничено 
47210;-;-
47233;Недропользователи;Оценка не производилась
47233;Заинтересованные органы государственной власти;Оценка не производилась
47235;Недропользователи;Оценка не производилась
47235;Заинтересованные органы государственной власти;Оценка не производилась
47246;Представители гостиничного бизнеса (владельцы средств размещения, предполагающих многоместное размещение в номерах), на территории субъектов – участников Чемпионата мира по футболу 2018;Порядка 5000 человек (по офиц. статистике 2013 г. в субъектах участниках Чемпионата мира по футболу 2018 – 4824 средство размещения)
47246;"Участники Чемпионата мира по футболу 2018;";"порядка 53000 человек, включая команды-участницы и все клиентские группы;"
47246;Гости Чемпионата мира по футболу 2018 (болельщики);Свыше 25 млн. человек (при условии 80% заполняемости трибун в период игр)
47255;Недропользователи в лицензиях которых допущена техническая ошибка;Оценку количества участников отношения оценить не представляется возможным, поскольку возникновения технической ошибки возникает на разных этапах проведения работ
47255;Органы государственной власти;Не производилась
47258;Заинтересованные федеральные органы исполнительной власти.;Не производилась.
47258;Отсутствует.;Не производилась.
47262;субъекты обращения лекарственных средств для ветеринарного применения и органы государственной власти, держатели или владельцы регистрационных удостоверений лекарственных препаратов для ветеринарного применения, либо уполномоченные ими другие юридические лица;Оценка количества участников отношений не проводилась
47262;Информация отсутствует;Информация отсутствует
47266;федеральные органы исполнительной власти;участники работ по разработке, производству, испытаниям, контролю качества, поставке и применению ЭКБ
47266;юридические лица;участники работ по разработке, производству, испытаниям, контролю качества, поставке и применению ЭКБ
47274;Государственные органы Российской Федерации в области федерального и регионального государственного ветеринарного надзора, представители предпринимательства в области разведения, выращивания животных, владельцы животных, ветеринарные лаборатории, владельцы личных подсобных и крестьянских (фермерских) хозяйств, физические и юридические лица. ;Многочисленная категория граждан 
47274;отсутствуют;отсутствуют
47278;информация уточняется;информация уточняется
47278;информация уточняется;информация уточняется
47279;Федеральные органы исполнительной власти, осуществляющие полномочия в области лесных отношений;1
47279; Органы исполнительной власти субъектов Российской Федерации, осуществляющие полномочия в области лесных отношений;85
47279;Лица, использующие леса;Неограниченно
47289;неопределенный круг лиц; 
47297;Федеральные органы исполнительной власти Российской Федерации, органы государственной власти субъектов Российской Федерации, органы местного самоуправления, юридические и физические лица, осуществляющие деятельность в области землеустройства;более 5 тысяч
47297;отсутствуют;отсутсвуют
47304;Роскомнадзор, пользователи франкировальных машин, организация федеральной почтовой связи;-
47304;-;-
47312;информация уточняется;Многочисленная категория граждан
47312;информация уточняется;информация уточняется
47325;Недропользователи;Оценка не производилась
47325;Органы государственной власти;Оценка не производилась
47329;Федеральные органы исполнительной власти Российской Федерации. Юридические и физические лица, осуществляющие деятельность в области геодезии и картографии;более 5 тысяч
47329;отсутствует;отсутствует
47350;Государственные органы Российской Федерации в области федерального и регионального государственного ветеринарного надзора, представители предпринимательства в области разведения, выращивания животных, владельцы животных, ветеринарные лаборатории, владельцы личных подсобных и крестьянских (фермерских) хозяйств, физические и юридические лица.;Многочисленная категория граждан.
47350;отсутствует;отсутствует
47356;информация уточняется;информация уточняется
47356;информация уточняется;информация уточняется
47363;Юридические лица и индивидуальные предприниматели.;Неограниченное количество.
47363;Росрыболовство и территориальные управления Росрыболовства.;21
47365;информация уточняется;информация уточняется
47365;информация уточняется;информация уточняется
47369;информация уточняется;информация уточняется
47369;информация уточняется;информация уточняется
47371;информация уточняется;информация уточняется
47371;информация уточняется;информация уточняется
47373;"•	Субъекты обращения лекарственных средств:
- физические лица, в том числе индивидуальные предприниматели, осуществляющие деятельность при обращении лекарственных средств, в том числе ветеринарные врачи и владельцы животных;
- юридические лица, осуществляющие деятельность при обращении лекарственных средств, в том числе держатели или владельцы регистрационных удостоверений лекарственных препаратов или уполномоченные ими иными юридические лица, ветеринарные организации, организации оптовой и розничной торговли лекарственными препаратами, организации всех форм собственности, осуществляющие разведение, выращивание и содержание животных.
";Оценка количества участников отношений не проводилась
47373;•	Россельхознадзор и его территориальные органы .;Оценка количества участников отношений не проводилась
47373;Информация отсутствует;Информация отсутствует
47376;Федеральные органы исполнительной власти; 
47376; ; 
47376;Юридические лица; 
47376;Физические лица;Рекламный бизнес, участники дорожного движения
47376;Отсутствуют;Отсутствуют
47380;Должностные лица Минфина России, уполномоченные составлять протоколы об административных правонарушениях в соответствии с КоАП РФ при осуществлении государственного контроля (надзора) за деятельностью саморегулируемых организацций аудиторов;20
47380;-;-
47387;Минобороны России, Минтранс России, МВД России, Минэкномразвития России, Минфин России, Минюст России;-
47387;-;-
47391;физические и юридические лица, федеральные органы государственной власти, органы государственной власти субъектов Российской Федерации и органы местного самоуправления  ;Статистические данные отсутствуют
47391;отсутствуют;отстутствуют
47396;"Субъекты естественной монополии; советы потребителей; тарифные органы субъектов РФ";от 4-х
47396;отсутствует;отсутствует
47411;Физические и юридические лица, участвующие в организации перевозочного процесса.;Не представляется возможным.
47411;-;-
47414;Физические и юридические лица, иностранные граждане или лица без гражданства, органы государственной власти, органы местного самоуправления;Статистические данные отсутствуют
47428;информация уточняется;информация уточняется
47428;информация уточняется;информация уточняется
47431;Информация уточняется;Информация уточняется
47431;Информация уточняется;Информация уточняется
47432;Органы исполнительной власти и юридические лица;-
47432;-;-
47439;Физические и юридические лица;Неопределенное количество динамически прогрессирующее в сторону увеличения, либо уменьшения
47439;Органы государственной власти;Федеральные органы исполнительной власти, а также органы исполнительной власти субъектов Российской Федерации, органы местного самоуправления 
