regulation_project_id;Описание отменяемых обязанностей, запретов или ограничений;Описание и оценка затрат на выполнение отменяемых обязанностей, запретов или ограничений
72801;Отсутствуют;Отсутствуют
72802;отмена обязанностей, запретов или ограничений не предусмотрена;отсутствуют
72805;Отсутствует;Отсутствует
73008;Нет;Не предполагается
73084;отсутствует;отсутствует
73094;отсутствует;отсутствует
73099;не предусмотрено;не предусмотрено
73130;-;-
73144;(N.1);-
73144;(N.K);-
73154;Отсутствуют;Отсутствуют
73177;-;-
73189;нет;отсутствует
73210;-;-
73238;отсутствует;отсутствует
73279;Отсутствуют;Отсутствуют
73300;не имеется;отсутствуют
73308;отсутствуют;отсутствуют
73424;Проектом приказа отменяемых обязанностей, запретов или ограничений не предусмотрено;-
73439;информация уточняется;информация уточняется
73491;информация уточняется;информация уточняется
73540;-;-
73617;-;-
73808;нет;нет
73939;отмена обязанностей, запретов или ограничений не предусмотрена;отсутствует
73942;"Описание отменяемых обязанностей, запретов или ограничений";отсутствуют
73942; ; 
73942;отмена обязанностей, запретов или ограничений не предусмотрена;отсутствуют
73980;-;-
74031;Отсутствует;Отсутствует
74205;Отсутствует;Отсутствует
74221;Отсутствует (№.K);-
74257;нет;нет
74260;нет;нет
74339;нет;нет
74353;-;-
74462;Отсутствует;Отсутствует
74495;Отсутствуют;Отсутствуют
74502;Отсутствует;Отсутствует
74514;Отсутствуют;Отсутствуют
74517;Отсутствует;Отсутствует
74521;-;-
74529;Отсутствуют;Отсутствуют
74617;Отсутствуют;Отсутствуют
74622;Отсутствуют;Отсутствуют
74754;отсутствуют;отсутствуцют
74761;отсутствуют.;отсутствуют.
74840;отсутствуют;отсутствуют
75058;нет;нет
75063;нет;нет
75064;отсудствуют;отсутствуют
75183;-;-
75242;отсутствуют;отсутствуют
75399;отсуствуют;затраты отсутствуют
75641;Отмена обязанности по установке приборов учета электрической энергии в отношении отдельных категорий заявителей;-
75673;Проектом приказа отменяемых обязанностей, запретов и ограничений не предусмотрено.;-
75848;Отсутствуют;Отсутствуют
75986;нет;нет
76008;Нет данных;Нет данных
76042;Отсутствует (№.K);-
76049;-;-
76089;не применимо;не применимо
76127;отсутствует;отсутствует
76131;отсутствует;отсутствует
76166;отсутствует;отсутствует
76208;отсутствует;отсутствует
76383;Отсутствуют;Отсутствуют
76395;Отсутствует;Отсутствует
76538;нет;нет
76567;нет;нет
76581;Отменено требование о представлении при подаче ДТ документов, подтверждающих сведения заявленные в ДТ;информация отсутствует
76633;-;-
76640;снятие ограничения по максимальному количеству членов ОВС; 
76640;исключение обязанности ОВС опубликовывать в средствах массовой информации:; 
76640;"1) устав ОВС;"; 
76640;"2) состав членов ОВС;"; 
76640;"3) порядок прекращения членства в ОВС и сведения о членах ОВС, прекративших членство в ОВС;";-
76640;4) информацию о принятом решении о ликвидации ОВС; 
76640;"исключение обязанности ОВС вступать в саморегулируемую организацию, объединяющую общества взаимного страхования";-
76640;исключение обязанности членов ОВС сообщать в письменной форме в ОВС об отказе от участия в ОВС не менее чем за 30 дней до фактического выхода из ОВС в случае добровольного выхода из ОВС; 
76640; исключение обязанности ОВС извещать в письменной форме члена ОВС о причинах предполагаемого исключения из ОВС не позднее чем за 30 дней до вынесения вопроса об исключении из ОВС на рассмотрение общего собрания членов ОВС; 
76640;"исключение обязанности ОВС направлять членам ОВС протокол общего собрания членов ОВС посредством почтовой, факсимильной связи или по электронной почте";-
76640;исключение обязанности ОВС проводить реорганизацию в форме преобразования, разделения либо выделения в случае, если число членов ОВС превысит 2 тысячи физических лиц или 2 тысячи физических лиц и 500 юридических лиц, в течение 6 месяцев с момента достижения предельной численности;-
76666;отсутствует;отсутствует
76673;отсутствуют;отсутствует
76705;Отменяемых обязанностей, запретов или ограничения не предусмотрено;Затрат на выполнение отменяемых обязанностей, запретов или ограничений не предусмотрено
76711;не отменяются;затраты отсутствуют
76953;-;-
76961;риски решения проблемы предложенным способом регулирования и риски негативных последствий отсутствуют;риски решения проблемы предложенным способом регулирования и риски негативных последствий отсутствуют
77137;Отсутствует;Отсутствует
77189;отсутствует;отсутствует
77190;0;0
77263;(N.K);-
77263;Запрет на осуществление страховой деятельности в Российской Федерации иностранными страховыми (перестраховочными) организациями через созданные ими филиалы;не предусмотрено
77264;Отсутствует;Отсутствует
77287;нет данных;нет данных
77293;С 2019 года отменяются требования Порядка классификации объектов туристской индустрии, включающих гостиницы и иные средства размещения, горнолыжные трассы и пляжи, осуществляемой аккредитованными организациям, утвер-жденного приказом Минкультуры России от 11.07.2014 № 1215;не выявлено
77295;Не выявлено;Отсутсвует
77303;-;-
77383;Отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;Информация отсутствует
77411;Законопроектом предлагается освободить пользователей недр по указанным объектам от уплаты разовых и регулярных платежей за пользование недрами;Оценка не производилась
77491;-;-
77521;Информация отсутствует;Информация отсутствует
77585;-;-
77599;Отсутствует;Отсутствует
77637;нет;нет
77644;Отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;Информация отсутствует
77693;отсутствуют;отсутствует
77736;Не предусмотрено;Не предусмотрено
77738;-;-
77743;-;-
77744;-;-
77747;-;-
77749;-;-
77754;-;-
77763;-;-
77807;Для группы участников отношений № 1 и 2: ; 
77807;"- исключение из состава получаемых и проверяемых при идентификации сведений данных миграционной карты и документа, подтверждающего право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации;";"- в связи с исключением из состава сведений данных миграционной карты и документа, подтверждающего право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации, расходы сократятся, а затраты не потребуются;"
77807;"- исключение из состава информации, подлежащей документальному фиксированию и направлению в Росфинмониторинг по подлежащим обязательному контролю операциям, данных миграционной карты и документа, подтверждающего право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации.";"- в связи с исключением из состава сведений данных миграционной карты и документа, подтверждающего право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации, расходы сократятся, а затраты не потребуются."
77807; ; 
77807;Группа участников отношений № 3:; 
77807;"- исключение из состава получаемых, проверяемых, фиксируемых и подлежащих хранению сведений данных миграционной карты и документа, подтверждающего право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации.";Группа участников отношений № 3:
77807; ; 
77807; ; 
77807;Группа участников отношений № 4:; 
77807;"- исключение из состава устанавливаемых в отношении бенефициарных владельцев сведений данных миграционной карты и документа, подтверждающего право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации;";"-в связи с исключением из состава сведений данных миграционной карты и документа, подтверждающего право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации, расходы сократятся, а затраты не потребуются;"
77807;"- исключение из состава подлежащих хранению сведений о бенефициарных владельцах данных миграционной карты и документа, подтверждающего право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации;";"- в связи с исключением из состава сведений данных миграционной карты и документа, подтверждающего право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации, расходы на хранение сократятся, а затраты не потребуются;"
77807;- исключение из состава представляемой в уполномоченные органы информации данных миграционной карты и документа, подтверждающего право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации.;- в связи с исключением из состава сведений данных миграционной карты и документа, подтверждающего право иностранного гражданина или лица без гражданства на пребывание (проживание) в Российской Федерации расходы по представлению сократятся, а затраты не потребуются.
77814;отсутствуют;отсутствуют
77904;-;нет
77917;-;-
77929;-;-
77952;отсутствует;отсутствует
77973;нет данных;нет данных
77974;отсутсвуют;отстутствуют
77976;нет данных;нет данных
77978;нет данных;нет данных
78020;отсутствуют;отсутствует
78022;отсутствует;отсутствует
78082;-;-
78100;нет;нет
78158;-;-
78234;нет;нет
78244;-;-
78331;-;-
78360;-;-
78407;Информация отсутствует;Информация отсутствует
78412;Информация отсутствует;Информация отсутствует
78413;Информация отсутствует;Информация отсутствует
78415;Информация отсутствует;Информация отсутствует
78417;Отсутствует;Отсутствует
78461;не имеется;не имеется
78465;Не предполагается;0
78495;отсутствуют;отсутствуют
78506;отсутствует;отсутствует
78508;отсутствует;отсутствует
78511;отсутствует;отсутствует
78512;отсутствует;отсутствует
78513;отсутствуют;отсутствуют
78516;отсутствуют;отсутствуют
78522;отсутствуют;отсутствуют
78577;-;-
78654;-;-
78711;Отсутствует;Отсутствует
78731;отсутствуют;отсутствуют
78735;-;-
78788;-;отсутствует
78798;отсутствуют;отсутствуют
78799;Информация отсутствует;Информация отсутствует
78801;информация отсутствует;информация отсутствует
78803;Информация отсутствует;Информация отсутствует
78853;не имеется;не имеется
78933;-;-
79099;Отсутствуют.;Отсутствуют.
79194;Отсутсвуют;Отсутсвует
79259;-;-
79268;-;-
79279;"выделять рыбопромысловые участки, производить добычу рыбы, а также водных животных и растений;";-
79314;нет;нет
79336;нет;нет
79417;-;-
79428;отсутствуют;Отсутствуют
79441;Отсутствуют;Отсутствуют
79443;Отсутствует;Отсутствует
79494;Отсутствует;Отсутствует
79616;Отмена обязанностей, запретов или ограничений не предусмотрена.;Ввиду отсутствия отмены обязанностей, запретов или ограничений затраты на выполнение указанных мероприятий не планируется.
79618;информация уточняется;информация уточняется
79621;информация уточняется;информация уточняется
79683;отсутсвуют;отсутсвуют
79688;не отменяются;отсутсвуют
79694;Отсутствуют;Отсутствуют
79719;-;-
79790;Не предполагается;Не предполагается
79802;-;-
79916;-;-
79996;-;-
80081;информация уточняется;информация уточняется
80110;_________________________________________________________________________________________________________________;_________________________________________________________________________________________________________________
80166;нет;нет
80310;не имеется;отсутствует
80315;Отмена процедуры аттестации эталонов для средств измерений утвержденных типов, входящих в состав эталона;Отсутствует
80377;нет;нет
80385;Информация отсутствует;Информация отсутствует
80398;наделение пользователя недр правом обращаться за получением земельных участков непосредственно после согласования проектной документации на разработку месторождения полезных ископаемых; 
80398;закрепить возможности обоснования получения и изъятия земельных участков, необходимых для целей недропользования, не только лицензией, но и техническими проектам;оценка не проводилась
80403;Не предусмотрено;Не предусмотрено
80404;Не предусмотрено;Не предусмотрено
80406;отсутствует;отсутствует
80425;Снижение количества представляемой отчётности в органы регулирования тарифов в случае введения спецсчёта в связи с наличием доступа к данным об операциях по спецсчёту;-
80433;не отменяются;-
80452;нет;нет
80489;-;-
80545;-;-
80581;Не предусмотрена отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности;Отсутствует
80749;-;-
80751;-;-
80827;-;-
80870;не применимо;-
80880;Законопроектом не предусмотрено;не имеется
80902;Не предусмотрено;-
80942;-;-
80945;Отсутствуют;-
81049;Отменяемые обязанности, запреты, ограничения отсутсвуют;-
81059;отсутствует;отсутствует
81180;информация уточняется;информация уточняется
81192;Отсутствуют;Отсутствуют
81210;-;-
81221;(N.1);отсутствует
81221;(N.K);отсутствует
81230;обязанности, запреты или ограничения не отменяются;отсутствует
81244;отсутствуют;отсутствует
81246;отсутствует;--
81249;отсутствуют;отсутствует
81256;отсутствуют;отсутствуют
81442;(N.K);-
81442;Обязанности, запреты и ограничения не отменяются;-
81518;Отсутствуют;Отсутствуют
81583;-;-
81691;-;-
81703;Отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;Информация отсутствует
81711;Отсутствуют;Отсутствуют
81718;Отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;Информация отсутствует
81763;-;-
81769;Отсутствует;Отсутствует
81785;-;-
81898;Не предусмотрено;Не предусмотрено
81912;-;-
81934;Не предусмотрено;Не предусмотрено
81945;Не предусмотрено;Не предусмотрено
81962;Не предусмотрено;Не предусмотрено
82002;Не предусмотрено;Не предусмотрено
82017;-;-
82032;Отсутствует;-
82046;Отсутствует.;Отсутствует.
82089;отсутствуют;отсутствуют
82121;-;-
82172;-;-
82279;-;-
82340;нет;нет
82419;Отсутствует;Отсутствует
82491;отсутствует;отсутствует
82527;не имеется;отсутствуют
82552;Не предусмотрено;Не предусмотрено
82560;Не предусмотрено;Не предусмотрено
82564;Не предусмотрено;Не предусмотрено
82631;нет;нет
82660;отсутствует;отсутствует
82667;-;-
82681;нет;нет
82701;нет данных;нет данных
82806;Отсутствует;-
82811;-;-
82856;-;-
82885;Отсутствует;-
82946;-;-
82954;-;-
83005;--;-
83009;нет;нет
83012;отсутствуют;отсутствуют
83125;Обязанности не отменяются;затраты не планируются
83144;Отсутствует;Отсутствует
83259;Информация отсутствует;Информация отсутствует
83264;Информация отсутствует;Информация отсутствует
83267;Информация отсутствует;Информация отсутствует
83286;отсутствует;-
83321;отсутствуют;не требуется
83336;-;-
83375;отсутствует;отсутствует
83406;-;-
83419;12.1. Описание отменяемых обязанностей, запретов или ограничений Освобождение от исполнения обязанности направлять обязательное предложение на срок, не превышающий трех месяцев с даты истечения срока для направления обязательного предложения, с целью реализации пакета акций при одновременном соблюдении условий об уведомлении Банка России и эмитента о намерении снизить уровень корпоративного контроля, неосуществлении корпоративного контроля и продаже пакета в течение указанного срока освобождения. Исключение возможности реализации права требовать выкупа ценных бумаг мажоритарным акционером в результате искусственного создания условий для возникновения права требовать выкупа. Вводится норма, устанавливающая прямой запрет на учет акций, приобретенных у связанных лиц, для целей осуществления принудительного выкупа. Исключение механизма уведомления акционеров о наличии у них права требовать выкупа принадлежащих им ценных бумаг.;12.2. Описание и оценка затрат на выполнение отменяемых обязанностей, запретов или ограничений Затраты не требуются
83490;нет данных;нет данных
83506;отмена обязанностей, запретов или ограничений не предусматривается; 
83509;"1. Изменение режима постоянного государственного надзора в отношении опасных производственных объектов, оснащенных системой дистанционного контроля промышленной безопасности.
";Информация отсутствует.
83509;"2. Отмена плановых проверок в отношении опасных производственных объектов, оснащенных системой дистанционного контроля промышленной безопасности.
";Информация отсутствует.
83509;"3. Отмена обязанности по предоставлению сведений о производственном контроле в отношении опасных производственных объектов, оснащенных системой дистанционного контроля промышленной безопасности.
";Информация отсутствует.
83509;4. Введение возможности применения обоснования безопасности при внедрении системы дистанционного контроля промышленной безопасности.;Информация отсутствует.
83532;отмена обязанностей, запретов или ограничений не предусматривается; 
83537;отмена обязанностей, запретов или огра-ничений не предусматривается; 
83575;отсутствуют;отсутствуют
83577;Производители лекарственных препаратов освобождаются от судебного порядка получения права использования результата интеллектуальной деятельности, исключительное право на который принадлежит другому лицу, в случаях, установленных международным договором.;Законопроектом предусмотрено право, а не обязанность Правительства Российской Федерации принимать соответствующие решения, а сам законопроект не определяет конкретные решения, оказывающие влияние на доходы и расходы бюджета бюджетной системы Российской Федерации, юридических и физических лиц. В связи с чем оценка затрат не производилась.
83609;-;-
83624;нет;нет
83642;-;-
83650;Не требуется;Не требуется
83659;-;-
83687;нет;нет
83706;отсутствует;отсутствует
83729;Плановые проверки по отдельным видам государственного контроля (надзора) и муниципального контроля проводятся органами государственного контроля (надзора) и органами муниципального контроля в виде совместных проверок.; 
83729;Первая плановая проверка резидента специальной экономической зоны проводится не ранее 36 месяцев с даты заключения инвестиционного соглашения.; 
83729;Для получения разрешений на строительство линейных объектов инфраструктуры специальной экономической зоны и на ввод таких объектов в эксплуатацию предоставление градостроительных планов земельных участков не требуется.; 
83729;Срок проведения государственной экологической экспертизы проектной документации инфраструктуры специальной экономической зоны не может превышать сорок пять дней после ее предварительной оплаты в полном объеме.; 
83729;Документация по планировке территории специальной экономической зоны утверждается без проведения общественных обсуждений или публичных слушаний.; 
83729;"До выдачи разрешения на строительство инфраструктуры специальной экономической зоны подготовительные работы могут выполняться с даты представления проектной документации, подготовленной в отношении объектов капитального строительства, необходимых для размещения инфраструктуры специальной экономической зоны, в целях проведения экспертизы такой проектной документации.";Затраты на выполнение отменяемых обязанностей, запретов или ограничений отсутствуют
83729;Подготовка и утверждение документации по планировке территории специальной экономической зоны допускаются при отсутствии документов территориального планирования.; 
83729;Срок проведения государственной экологической экспертизы проектной документации инфраструктуры специальной экономической зоны не может превышать сорок пять дней после ее предварительной оплаты в полном объеме.; 
83729;В целях размещения инфраструктуры специальной экономической зоны допускается размещение соответствующих объектов на землях лесного фонда.; 
83729;"Для размещения инфраструктуры специальной экономической зоны в лесах допускается осуществление выборочных и сплошных рубок лесных насаждений (за исключением случаев, предусмотренных Лесным кодексом Российской Федерации и иными законодательными актами Российской Федерации).";Затраты на выполнение отменяемых обязанностей, запретов или ограничений отсутствуют
83729;"При заключении с резидентом специальной экономической зоны договора купли-продажи земельного участка, находящегося в государственной и (или) муниципальной собственности и расположенного в границах специальной экономической зоны, цена такого земельного участка устанавливается в размере не более 15 процентов его кадастровой стоимости.";Затраты на выполнение отменяемых обязанностей, запретов или ограничений отсутствуют
83729;Максимальный размер арендной платы за земельные участки, предоставленные резиденту специальной экономической зоны на основании инвестиционного соглашения, определяется уполномоченным органом по выработке государственной политики.;Затраты на выполнение отменяемых обязанностей, запретов или ограничений отсутствуют
83734;не имеется;отсутствуют
83737;отсутствует;отсутствует
83738;отсутствует;отсутствует
83745;нет;нет
83810;не имеется;не имеется
83818;нет;нет
83902;Отсутствуют.;Отсутствуют.
83906;-;-
83907;-;-
83971;Отсутствует;-
84169;-;-
84193;Отсутствует;Отсутствует
84201;отсутствуют;отсутствуют
84207;-;-
84411;проект приказа распространяется не только на субъектов предпринимательской деятельности, а на любых правообладателей земельных участков;-
84496;Прекращение регулирования взимания утилизационного сбора, обязательных отчислений операторов сети связи общего пользования, курортного сбора, отдельных платежей за предоставление сведений (внесение изменений, просмотр сведений и т. п.) из государственных реестров (регистров) в рамках отраслевого законодательства;отсутствуют
84510;-;-
84520;нет;нет
84534;-;-
84558;нет;нет
84577;отсутствует;отсутствует
84617;отсутствует;отсутствует
84673;Отсутствует;Отсутствует
84688;Не предусмотрено;Не предусмотрено
84743;Отсутствуют;Отсутствуют
84755;-;-
84938;отсутствуют;отсутствуют
84976;не применимо;не применимо
84988;Отсутствуют;Отсутствуют
85086;Информация отсутствует;Информация отсутствует
85115;--;-
85134;Информация уточняется;Информация уточняется
85149;отсутствуют;отсутствуют
85168;-;-
85210;-;-
85226;-;-
85227;-;-
85234;-;-
85240;отсутствуют;отсутствуют
85253;Отсутствуют;Отсутствуют
85254;отсутствуют;отсутствуют
85307;(N.K) Отсутствуют.;-
85307;Отсутствуют;Не повлечет затрат.
85314;отсутствует;отсутствует
85328;-;-
85344;Отмена обязанности ведения трудовой книжки на бумажном носителе;Отсутствуют
85356;Отсутствует.;Отсутствует.
85357;Отсутствуют;Отсутствуют
85367;Информация уточняется;Информация уточняется
85369;-;-
85394;-;-
85417;не определены;не определены
85434;Информация отсутствует;Информация отсутствует
85459;-;-
85489;-;-
85510;-;-
85531;-;-
85618;Отсутствуют;Отсутствуют
85666;-;-
85695;-;-
85725;отсутствует;отсутствует
85764;необходимость отсутствует;необходимость отсутствует
85791;-;-
85807;Отсутствует;Отсутствует
85813;требование о регистрации (учете) в соответствии с нормативными правовыми актами субъектов Российской Федерации; 
85813;требование о ежегодном получении допуска на эксплуатацию;нет данных
85825;Информация уточняется;Информация уточняется
85840;-;-
85873;-;-
86195;Информация отсутствует;Информация отсутствует
86240;Резиденты и управляющие компании специальных экономических зон могут заключать договор аренды земельного участка, находящегося в государственной и (или) муниципальной собственности и расположенного в границах специальной экономической зоны или на прилегающей к ней территории, без проведения торгов;-
86299;-;-
86311;Не предусмотрены.;Отсутствует информация.
86398;Отсутствуют;Отсутствуют
86510;-;-
86521;-;-
86537;-;-
86725;-;-
86780;Информация уточняется;Информация уточняется
86793;Информация уточняется;Информация уточняется
86839;-;-
86915;отсутствуют;отсутствуют
86953;-;-
87050;отсутствует;отсутствует
87057;отсутствует;отсутствует
87064;-;-
87069;нет;нет
87074;-;-
87075;Отсутствует;Отсутствует
87095;нет;нет
87205;_;_
87256;Обязанности не отменяются;затраты не планируются
87385;отсутствует;-
87412;Информация уточняется;Информация уточняется
87440;Необходимость учета разницы в нормативном-правовом регулировании при осуществлении деятельности на территории нескольких субъектов Российской Федерации;-
87503;-;-
87519;Отсутствует;Отсутствует
87609;Отсутствуют;Отсутствуют
87804;_;_
87843;-;-
87927;отмена обязанностей, запретов или ограничений для субъектов предпринимательской и иной экономической деятельности не предусмотрена;информация отсутствует
87980;-;-
87994;-;-
88067;-;-
88080;обязанности, запреты или ограничения не отменяются;оценка не проводилась
88093;-;-
88106;нет;нет
88107;-;-
88111;- открытая норма по запрету размещения объектов, обусловливающих опасность микробного и химического загрязнения вод на на территории 2 и 3 поясов зон санитарной охраны источников водоснабжения заменена на исчерпывающий перечень объектов, неподлежащих расширению, что существенно ограничило круг лиц, подпадающих под данный запрет.;Реализация проекта постановления не повлечет за собой увеличение штатной численности федеральных государственных служащих, а также изменений финансовых обязательств государства и не потребует дополнительных расходов, покрываемых за счет средств федерального бюджета.
88184;отсутствует;отсутствует
88191;Отсутствуют;Отсутствуют
88207;-;-
88221;-;-
88277;Отмена плановых проверок в сфере государственного контроля (надзора) в области регулируемых государством цен (тарифов) в отношении хозяйствующих субъектов, осуществляющих регулируемые виды деятельности в области государственного регулирования цен (тарифов).;отсутствует
88312;-;-
88338;Отсутствует;Отсутствует
88344;право заявителя выбрать организацию, предоставляющую услуги по проведениюинформационного поиска и подготовке заключения о результатахпредварительной оценки патентоспособности;в настоящее время заявитель не имеет возможности оптимизировать затраты, поскольку проведение информационного поиска осуществляется исключительно в рамках предоставления государственной услуги и облагается патентными пошлинами
88400;нет;нет
88427;Отмена обязанности ведения документов, связанных с работой, на бумажном носителе;Отсутствуют
88493;-;-
88523;отсутствуют;отсутствуют
88555;-;-
88558;-;-
