regulation_project_id;Риски решения проблемы предложенным способом и риски негативных последствий;Оценки вероятности наступления рисков;Методы контроля эффективности избранного способа достижения целей регулирования;Степень контроля рисков
39187;Риск невозможности обеспечения контроля соблюдения требований, вводимых новым регулированием;Такой риск минимален, так как новые полномочия Минсельхоза России и Россельхознадзора, устанвливаемые в соответствии с данным проектом федерального закона, будут выполняться в рамках существующей системы функционирования данных федеральных органов исполнительной власти;Данный риск будет контролироваться путем осуществления организационно-технических и информационных мероприятий, в том числе посредством своевременного снабжения должностных лиц необходимыми материальными ресурсами и информацией и т. п.;Полный контроль
39187;Риск несоответствия между способом регулирования и заявленными целями регулирования;Такой риск минимален, так как проект федерального закона направлен на решение проблемы в комплексе с другими правовыми актами. Кроме того, предлагаемая мера носит уведомительный характер и не несет дополнительной нагрузки на участников внешнеэкономической деятельности.;Данный риск будет контролироваться мероприятиями по мониторингу в рамках полномочий Россельхознадзора;Частичный контроль
39187;Риск несоответствия предложенного способа регулирования уровню развития или распространения необходимых технологий;Такой риск минимален, так как новое полномочие не требует применения новых технологий;Данный риск будет контролироваться путем осуществления методологических мероприятий;Полный контроль
39201;Снижения качества оценки деятельности;менее вероятно;non-applicable;non-applicable
39219;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
39220;отсутствуют;отсутствуют;non-applicable;non-applicable
39226;отсутствуют;отсутствуют;существующие;высокая
39228;отсутствуют;отсутствуют;существующие;высокая
39236;не имеется;нет;нет;нет
39238;риски решения проблемы предложенным способом и риски негативных последствий отсутствуют;оценки вероятности наступления рисков отсутствуют;non-applicable;non-applicable
39239;-;-;non-applicable;non-applicable
39264;Риски отсутствуют;-;-;-
39276;риски отсутсвуют;-;-;-
39290;Риски решения проблемы предложенным способом и риски негативных последствий отсутствуют;Отсутствуют;Внутренний, внешний контроль, мониторинг;Отсутствует
39295;отсутствуют;отсутствуют;Существующие;Нет
39307;отсутствуют;отсутствуют;существующие;высокая
39319;отсутствуют;-;non-applicable;non-applicable
39320;Отстутствуют.;Вероятность наступления рисков отсутствует.;-;-
39329;Риски решения проблемы предложенным способом;В случае если работодателем не принимаются локальные нормативные акты, возможны нарушения трудового законодательства в части несоответствия заключенных трудовых договорах установленной нормативным правовым актом примерной форме трудовой договора;non-applicable;non-applicable
39333;Риски отсутствуют;-;Осуществление мероприятий по контролю и надзору;-
39339;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
39357;отсутствуют;отсутствуют;отсутствуют;отсутствуют
39372;Отсутствуют.;Отсутствуют.;Отсутствуют.;Отсутствуют.
39381;-;-;non-applicable;non-applicable
39439;Ограниченность денежных средств на реконструкцию объектов вследствии чего ограничение доступности объектов и услуг для инвалидов;Средняя;Отсутствуют;Отсутствуют
39442;Федеральное агентство по недропользованию не будет наделено полномочиями по созданию и эксплуатации федеральной государственной информационной системы «Единый фонд геологической информации о недрах» в соответствии с Федеральным законом от 29.06.2015 № 205-ФЗ «О внесении изменений в Закон Российской Федерации «О недрах» и отдельные законодательные акты Российской Федерации»;В случае, если соответствующие поправки не будут приняты;non-applicable;non-applicable
39447;отсутствуют;отсутствует;non-applicable;non-applicable
39456;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
39464;нет;нет;периодическая сертификация авиаперевозчиков;нет
39470;Данные будкут внесены в ходе обсуждения проекта акта;Данные будкут внесены в ходе обсуждения проекта акта;Данные будкут внесены в ходе обсуждения проекта акта;Данные будкут внесены в ходе обсуждения проекта акта
39475;отсутствуют;отсутствуют;non-applicable;non-applicable
39480;Отсутствуют;Отсутствуют;Существующие;Высокая
39485;нет;нет;нет;нет
39492;отсутствуют;отсутствует;non-applicable;non-applicable
39496;Риски решения проблемы предложенным способом и риски негативных последствийотсутствуют.;-;-;-
39498;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
39505;Риск невозможности обеспечения контроля соблюдения требований, вводимых новым регулированием;Такой риск минимален, так как он гармонично связан с нормативными правовыми актами, устанавливающими полномочия федеральных органов исполнительной власти;Данный риск будет контролироваться мероприятиями по мониторингу правоприменения соответствующих нормативных правовых актов;Частичный контроль
39505;Риск недостаточности механизмов для реализации предложенного способа решения проблемы;Такой риск минимален, так как предлагаемое регулирование является лишь частью комплексного регулирования отношений в данной сфере;Данный риск будет контролироваться мероприятиями по мониторингу правоприменения соответствующих нормативных правовых актов;Полный контроль
39505;Риск недостаточности необходимых материальных и человеческих ресурсов;Такой риск минимален, так как новые полномочия Минсельхоза России и Россельхознадзора будут выполняться в рамках существующей системы функционирования данных федеральных органов исполнительной власти;Данный риск будет контролироваться путем осуществления организационно-технических и информационных мероприятий, в том числе посредством своевременного снабжения должностных лиц необходимыми материальными ресурсами и информацией и т. п.;Полный контроль
39505;Риск несоответствия между способом регулирования и заявленными целями регулирования;Такой риск минимален, так как проект акта направлен на решение проблемы в комплексе с другими правовыми актами.;Данный риск будет контролироваться мероприятиями по мониторингу в рамках полномочий Россельхознадзора;Частичный контроль
39505;Риск несоответствия предложенного способа регулирования уровню развития или распространения необходимых технологий;Такой риск минимален, так как новые полномочия не требуют применения новых технологий;Данный риск будет контролироваться путем осуществления методологических мероприятий;Полный контроль
39531;Невыполнение работодателем или заказчиком работ (услуг) своих функций из-за отсутствия на рынке труда Российской Федерации требуемых специалистов и невозможности привлечения иностранного работника;Низкая. В отраслях экономики, указанных в проекте постановления есть возможность привлечения российских специалистов;Осуществление контроля за соблюдением работодателями и заказчиками работ (услуг) установленной Правительством Российской Федерации допустимой доли иностранных работников.;Низкая
39533;нет;нет;non-applicable;non-applicable
39534;Риски отсутствуют;Риски отсутствуют;non-applicable;non-applicable
39536;не выявлено;отсутствует;не требуется;не требуется
39557;Отсутствуют;Отсутствуют;non-applicable;non-applicable
39561;отсутствуют;отсутствуют;non-applicable;non-applicable
39575;Отсутствуют;Отсутствуют;non-applicable;non-applicable
39576;нет;-;non-applicable;non-applicable
39577;-;-;non-applicable;non-applicable
39580;-;-;non-applicable;non-applicable
39581;-;-;non-applicable;non-applicable
39584;-;-;non-applicable;non-applicable
39585;-;-;non-applicable;non-applicable
39587;-;-;non-applicable;non-applicable
39597;Не выявлены.;0.;Ежеквартальный отчет Ространсадзора в первый год применения предлагаемого способа регулирования и указание в нем необходимых рекоммендаций по совершенствованию системы выдачи указанных разрешений.;Соответствует предлагаемому способу регулированию.
39621;Риски решения проблемы предложенным способом регулирования и риски негативных последствий не выявлены.;низкая;non-applicable;non-applicable
39625;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
39632;Отсутствуют;Отсутствуют;non-applicable;non-applicable
39642;Риск невозможности обеспечения контроля соблюдения требований, вводимых новым регулированием;Такой риск минимален, так как проект постановления гармонично связан с нормативными правовыми актами, устанавливающими полномочия органов государственной власти, которые обеспечивают механизмы контроля и не связаны с дополнительными расходами бюджетных средств на их обеспечение.;Данный риск будет контролироваться путем осуществления организационно-технических и информационных мероприятий.;Частичный контроль
39642;Риск недостаточности механизмов для реализации предложенного способа решения проблемы;Такой риск минимален, так как предлагаемое регулирование является лишь частью комплексного регулирования указанных отношений, установленного иными нормативными правовыми актами.;Данный риск будет контролироваться мероприятиями по мониторингу правоприменения соответствующих нормативных правовых актов.;Полный контроль
39642;Риск недостаточности необходимых материальных и человеческих ресурсов;Такой риск минимален, так как указанные полномочия осуществляется в настоящее время Роспотребнадзором, Росалкогольрегулировнием, Россельхознадзором и арбитражными судами и судами общей юрисдикции в пределах установленной им штатной численности государственных гражданских служащих и предусмотренных им бюджетных ассигнований;Данный риск будет контролироваться путем осуществления организационно-технических и информационных мероприятий, в том числе посредством своевременного снабжения должностных лиц Роспотребнадзора, Росалкогольрегулировния, Россельхознадзора и арбитражных судов и судов общей юрисдикции необходимыми материальными ресурсами и информацией и т. п.;Полный контроль
39642;Риск несоответствия между способом регулирования и заявленными целями регулирования;Такой риск минимален, так как проект федерального закона дополняет КоАП РФ положениями, которые соответствуют предмету его регулирования.;Данный риск будет контролироваться мероприятиями по мониторингу правоприменения соответствующих нормативных правовых актов.;Полный контроль
39642;Риск несоответствия предложенного способа регулирования уровню развития или распространения необходимых технологий;Такой риск минимален, так как указанное полномочие не требует применения новых технологий, знаний, машин и оборудования.;Данный риск будет контролироваться путем осуществления методологических мероприятий, в том числе посредством разработки методических указаний по осуществлению полномочия, повышения квалификации или переквалификации государственных гражданских служащих Роспотребнадзора, Росалкогольрегулировния, Россельхознадзора и арбитражных судов и судов общей юрисдикции;Полный контроль
39670;риски отсутствуют;риски отсутствуют;риски отсутствуют;риски отсутствуют
39680;Отсутствуют; ;non-applicable;non-applicable
39719;отсутствуют;отсутствуют;отсутствуют;отсутствуют
39724;отсутствуют;отсутствуют;существующие;возможность контроля отсутствует
39726;отсутствуют;отсутствует;отсутствует;отсутствует
39729;-;-;-;-
39732;отсутствуют;отсутствуют;отсутствуют;отсутствует
39734;отсутствуют;отсутствуют;отсутствуют;отсутствуют
39736;отсутствуют;0;non-applicable;non-applicable
39738;риски отсутствуют;риски отсутствуют;non-applicable;non-applicable
39744;-;-;-;-
39753;-;-;-;-
39757;отсутствуют;отсутствуют;non-applicable;non-applicable
39760;Нет;Нет;Нет;Нет
39766;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
39778;риски отсутствуют;риски отсутствуют;риски отсутствуют;риски отсутствуют
39780;Отсутствие порядка обеспечения доступа органов государственной власти Российской Федерации, органов государственной власти субъектов Российской Федерации, органов местного самоуправления, юридических лиц и физических лиц к геологической информации, которая содержится в государственной информационной системе «Единый фонд геологической информации о недрах»;В случае, если не будет принят проект постановления;non-applicable;non-applicable
39785;Неурегулированность порядка взаимодействия федеральной государственной информационной системы «Единый фонд геологической информации о недрах» с иными государственными информационными системами»;В случае, если не будет принят проект постановления;non-applicable;non-applicable
39786;Неурегулированность порядка и условий использования геологической информации о недрах, обладателем которой является Российская Федерация;В случае непринятия проекта постановления;non-applicable;non-applicable
39787;Отсутствие порядка создания и эксплуатации федеральной государственной информационной системы «Единый фонд геологической информации о недрах»;В случае, если не будет принят проект постановления;non-applicable;non-applicable
39789;Пункт будет раскрыт в ходе общественного обсуждения проекта акта;Пункт будет раскрыт в ходе общественного обсуждения проекта акта;Пункт будет раскрыт в ходе общественного обсуждения проекта акта;Пункт будет раскрыт в ходе общественного обсуждения проекта акта
39790;Отсутствуют;Отсутствуют;non-applicable;non-applicable
39792;Отсутствие состава информации, представляемой обладателями информации в федеральную государственную информационную систему «Единый фонд геологической информации о недрах»;В случае, если не будет принят проект постановления;non-applicable;non-applicable
39793;Не определены;Не определены;non-applicable;non-applicable
39797;Неурегулированность порядка информационного взаимодействия оператора федеральной государственной информационной системы «Единый фонд геологической информации о недрах» с обладателями этой информации и её пользователями;В случае, если не будет принят проект постановления;non-applicable;non-applicable
39798;Не определено;Не определено;non-applicable;non-applicable
39799;Не орпеделены;Не определены;non-applicable;non-applicable
39800;Не определены;Не определена;non-applicable;non-applicable
39801;инормация уточняется;инормация уточняется;non-applicable;non-applicable
39802;отсутствуют;отсутствуют;non-applicable;non-applicable
39803;отсутствуют;не определена;неопределен;не определена
39817;Риски отсутствуют;отсутствуют;non-applicable;non-applicable
39836;риски не выявлены;вероятность не выявлена;non-applicable;non-applicable
39837;риски не выявлены;вероятность не выявлена;non-applicable;non-applicable
39845;Отсутствуют;Отсутствуют;non-applicable;non-applicable
39851;Не имеется;Не имеется;non-applicable;non-applicable
39864;Не выявлены;Низкая;Камеральная налоговая проверка, выездная налоговая проверка;Высокая
39873;Данная информация будет размещена в ходе общественного обсуждения проекта акта;Данная информация будет размещена в ходе общественного обсуждения проекта акта;Данная информация будет размещена в ходе общественного обсуждения проекта акта;Данная информация будет размещена в ходе общественного обсуждения проекта акта
39889;Нет сведений;Нет сведений;non-applicable;non-applicable
39911;Риски отсутствуют;Риски отсутствуют;non-applicable;non-applicable
39915;Будет заполнено в процессе общественного обсуждения;Будет заполнено в процессе общественного обсуждения;Будет заполнено в процессе общественного обсуждения;Будет заполнено в процессе общественного обсуждения
39916;Будет заполнено в ходе прохождения общественного обсуждения проекта акта;Будет заполнено в ходе прохождения общественного обсуждения проекта акта;Будет заполнено в ходе прохождения общественного обсуждения проекта акта;Будет заполнено в ходе прохождения общественного обсуждения проекта акта
39919;риски решения проблемы предложенным способом и риски негативных последствий отсутствуют;оценки вероятности наступления рисков отсутствуют;non-applicable;non-applicable
39920;риски решения проблемы предложенным способом и риски негативных последствий отсутствуют;оценки вероятности наступления рисков отсутствуют;методы контроля эффективности избранного способа достижения целей регулирования отсутствуют;степень контроля рисков отсутствует
39921;риски решения проблемы предложенным способом и риски негативных последствий отсутствуют;оценки вероятности наступления рисков отсутствуют;non-applicable;non-applicable
39930;отсутствуют;низкая;non-applicable;non-applicable
39932;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствует
39946;отсутствуют;отсутствуют;отсутствуют;отсутствует
39987;Риски решения проблемы предложенным способом регулирования и риски негативных последствий отсутствуют;Риски решения проблемы предложенным способом регулирования и риски негативных последствий отсутствуют;non-applicable;non-applicable
39998;Риски не выявлены;---;non-applicable;non-applicable
40012;Неисполнение норм, утвержденных постановлением Правительства Российской Федерации;Незначительные;Правовые службы субъектов Российской Федерации, органы, осуществляющие надзор за соблюдением Конституции Российской Федерации и исполнением законов, действующих на территории Российской Федерации;высокая
40031;риски отсутствуют;вероятность отсутствует;приказ подлежит регистрации в Минюсте России;высокая
40033;Не установлены;Не установлены;non-applicable;non-applicable
40036;отсутствуют;0;-;-
40058;отсутствуют;отсутствуют;существующие;возможность контроля отсутствует
40098;отсутствуют;отсутствуют;существующие;возможность контроля отсутствует
40100;...;...;non-applicable;non-applicable
40107;риски решения проблемы предложенным способом регулирования и риски негативных последствий не установлены;-;-;-
40118;Риски отсутствуют;Риски отсутствуют;Утверждение предлагаемого порядка, определяющего правила проведения аттестации уполномоченного лица производителя лекарственных средств для ветеринарного применения, а также устанавливающего требования, предъявляемые к работникам производителя лекарственных средств для ветеринарного применения;Риски отсутствуют
40124;отсутствует;отсутствует;non-applicable;non-applicable
40134;Риски нарушения работодателями установленного срока доведения изменений в графики сменности до работников.;В случае недобросовестного отношения работодателей к соблюдению требований законодательства Российской Федерации.;Федеральный государственный надзор и контроль за соблюдением трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права.;Частичный контроль.
40136;отсутствуют;отсутствует;non-applicable;non-applicable
40153;нет;нет;нет;нет
40158;-;-;non-applicable;non-applicable
40160;Предлагаемый способ решения проблемы является наиболее оптимальным;-;non-applicable;non-applicable
40165;Указанный раздел будет оформлен в ходе обсуждения проекта акта;Указанный раздел будет оформлен в ходе обсуждения проекта акта;Указанный раздел будет оформлен в ходе обсуждения проекта акта;Указанный раздел будет оформлен в ходе обсуждения проекта акта
40171;отсутствуют;отсутствуют;отсутствуют;отсутствуют
40187;риски не выявлены;---;non-applicable;non-applicable
40190;Риски не выявлены;-;-;-
40204;-;-;-;-
40218;Нет;Нет;Нет;Нет
40251;отсутствуют;отсутствуют;non-applicable;non-applicable
40257;Отсутствуют;Отсутствуют;non-applicable;non-applicable
40265;пдрлшььиор ррсо;ддпшееллаас;non-applicable;non-applicable
40274;отсутствуют;отсутствуют;non-applicable;non-applicable
40293;Отсутствуют;-;-;-
40309;Не выявлены;отсутствует;мониторинг и анализ практики применения;отсутствует
40313;отсутствуют;отсутствуют;в рамках государственного экологического надзора;отсутствует
40331;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
40336;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют;Риски отсутствуют
40342;-;-;-;-
40355;Отсутствуют.;Отсутствуют.;non-applicable;non-applicable
40357;Риски отсутствуют.;Риски отсутствуют.;В рамках контрольно-надзорных мероприятий.;Риски отсутствуют.
40370;отсутствуют;отсутствуют;отсутствуют;отсутствуют
40374;Отсутствуют;Нет;non-applicable;non-applicable
40375;Риски минимальны;Низкая;Анализ результатов контрольно-надзорной деятельности, обращений граждан и организаций;Высокая
40403;Риски отсутствуют;Риски отсутствуют;non-applicable;non-applicable
40408;Рисков возникновения негативных последствий не усматривается;нет;Росалкогольрегульрование ежемесячно в соответствии с письмом от 1 октября 2012 г. № П11-42409 направляет в Аппарат Правительства Российской Федерации мониторинг состояния алкогольного рынка страны, а также ежеквартальный отчет, который включает в себя и перечень контрольных мероприятий по выявлению незаконного производства и оборота алкогольной продукции, включая показатели по винодельческой продукции (в том числе игристому вину (шампанскому)). Кроме того, Росалкогольрегулированием совместно с правоохранительными органами проводятся контрольные мероприятия по вывлению незаконного производства и оборота алкогольной продукции;Рисков возникновения негативных последствий не усматривается
40411;невозможности обеспечения достаточного контроля соблюдения предлагаемых требований;Минимален, так как в настоящее время разработан и действует комплекс мер по обеспечению соблюдения правил рыболовства.;Данный риск будет контролироваться мероприятиями по федеральному контролю и надзору в области рыболовства и сохранения водных биоресурсов.;Частичный контроль
40411;недостаточности предлагаемых механизмов регулирования для решения проблемы;Отсутствует, так как по мере необходимости в правила рыболовства вносятся необходимые изменения.;Данный риск будет контролироваться Минсельхозом России, Росрыболовством, заинтересованными органами власти, рыбопромышленными компаниями и гражданами.;Полный контроль
40411;несоответствия между предложенным способом решения проблемы и заявленными целями регулирования;Отсутствует, так как необходимость регулирования рыболовства Правилами рыболовства прямо установлена статьей 43.1 Федерального закона от 20.12.2004 г. № 166-ФЗ «О рыболовстве и сохранении водных биологических ресурсов».;Данный риск будет контролироваться Минсельхозом России, Росрыболовством, заинтересованными органами власти, рыбопромышленными компаниями и гражданами.;Полный контроль
40411;неясности условий и порядка практического применения положений проекта акта для участников отношений предлагаемого регулирования;Отсутствует, так как Минсельхоз России, Росрыболовство, постоянно взаимодействуют с заинтересованными органами власти, юридическими лицами и гражданами в части разъяснения и совершенствования правил рыболовства;Данный риск будет контролироваться Минсельхозом России, Росрыболовством, заинтересованными органами власти, рыбопромышленными компаниями и гражданами.;Полный контроль
40412;Риски отсутствуют; ;non-applicable;non-applicable
40415;Отсутствуют;Отсутствуют;non-applicable;non-applicable
40417;Привлечение к административной ответственности;В зависимости от количества выявленных фактов допускаемых правонарушений;Статистическое наблюдение, анализ правоприменительной практики;Полный контроль
40427;Риск несоответствия между предложенным способом решения проблемы и заявленными целями регулирования;маловероятен;Данный риск будет контролироваться мероприятиями по мониторингу в части улучшения сбора данных от субъектов Российской Федерации;полный
40428;отсутствуют;отсутствуют;отсутствуют;отсутствуют
40429;не установлены;информация отсутствует;non-applicable;non-applicable
40447;Недостаточная степень ознакомления участников национальной системы аккредитации с изменениями;Низкая;Проведения анализа поступающих запросов участников национальной системы аккредитации;Средняя
40452;отсутствуют;отсутствуют;отсутствуют;отсутствуют
40473;Не имеются;Не имеются;non-applicable;non-applicable
40496;предложенный способ решения проблемы не связан с появлением новых рисков и негативных последствий;-;-;-
40502;Риски не выявлены;---;---;---
40543;отсутствуют;отсутствуют;non-applicable;non-applicable
40548;отсутствуют;-;-;-
40553;Риск не прогнозируется;-;-;-
40556;Риск не прогнозируется;-;-;-
40563;Риски отсутствуют;Риски отсутствуют;Утверждение предлагаемых правил;Риски отсутствуют
40572;Отсутствуют;Отсутствуют;non-applicable;non-applicable
40582;Риски для инвестиционного климата;вероятен;мероприятия по мониторингу и иные меры;частичный контроль
40582;Риски для состояния конкуренции;вероятен;мероприятия по мониторингу и иные меры;частичный контроль
40582;Риски невозможности обеспечения достаточного контроля соблюдения предлагаемых требований.;вероятен;мероприятия по мониторингу и иные меры;частичный контроль
40597;Отсутствуют;Отсутствуют;Отсутствуют;Отсутствуют
40607;-;-;Статистическое наблюдение, анализ правоприменительной практики;Полный контроль
40634;Фактически предусмотренные Проектом обязательства операторами аэродромов в настоящее время выполняются. Проект лишь детализирует мероприятия по содержанию и ремонту и нормативно закрепляет за операторами соответствующие обязательства. В этой связи негативные последствия после утверждения Проекта не предвидятся. ; ; ; 
40634;В отношении организаций-балансодержателей наступление в связи с утверждением Проекта негативных последствий также не предвидится, так как обеспечение содержания аэродромной инфраструктуры в эксплуатационном состоянии и в настоящее время является одной из основных функций балансодержателей. Финансирование работ по капитальному ремонту будет осуществляться из федерального бюджета, в связи с чем негативные финансовые последствия в отношении организаций-балансодерджателей в связи с утверждением Проекта также не предвидятся.;Крайне низкая вероятность;в отношении балансодержаталей - в рамках сметы доходов и расходов (государственных заданий) на выполнение работ по капитальному ремонту, в отношении операторов аэродромов - в рамках договоров аренды и )или) путем контроля со стороны Росавиации путем проведения ежегодных инспекторских выездных проверок о выполнении операторами аэродромов сертификационных требований.;высокая степень контроля рисков
